Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
12,What is the estimated amount RBI may transfer as surplus to the government for FY 2024-25?,Rs.1 lakh crore,Rs.2 lakh crore,Rs.3 lakh crore,Rs.4 lakh crore,"Rs.50,000 crore",Rs.3 lakh crore
13,Which company has SBI Card partnered with to launch a health and wellness- focused co-branded credit card in May 2025?,Fortis HealthCare,Max Life,MedPlus,Apollo HealthCo,AIIMS Wellness,Apollo HealthCo
14,"On which date does Sikkim celebrate its Statehood Day, marking its integration as the 22nd state of India in 1975?",May 15,May 16,May 18,May 20,May 12,May 16
15,What is the name of the AI system used in the world’s first AI medical clinic launched in Saudi Arabia?,AI-Medix,MedBotX,Dr. Hua,SmartClinic AI,MedSyn AI,Dr. Hua
16,Where will the first edition of the Khelo India Beach Games (KIBG) be held from 19th to 25th May 2025?,Goa,Puducherry,Diu,Kochi,Visakhapatnam,Diu
17,Who among the following served as the sixth President of India from 1977 to 1982?,Neelam Sanjiva Reddy,Dr. Shankar Dayal Sharma,R. Venkataraman,Giani Zail Singh,Fakhruddin Ali Ahmed,Neelam Sanjiva Reddy
18,"In the new pilot project launched in Delhi, what is the financial threshold above which cybercrime complaints filed at NCRP or 1930 will be automatically converted into FIRs?",Rs.1 lakh,Rs.5 lakh,Rs.10 lakh,Rs.15 lakh,Rs.20 lakh,Rs.10 lakh
19,Which team did India defeat to win the SAFF U-19 Championship 2025 title?,Nepal,Sri Lanka,Pakistan,Bangladesh,Bhutan,Bangladesh
20,When is World Bee Day observed?,22 May,15 May,21 May,20 May,19 May,20 May
21,The Department of Economic Affairs under the Ministry of Finance recently amended Rule 8 of which regulatory framework to improve the ease of doing business for brokers?,"Companies Act, 2013","Securities Contracts (Regulation) Rules, 1957","SEBI Act, 1992","Banking Regulation Act, 1949","Indian Contract Act, 1872","Securities Contracts (Regulation) Rules, 1957"
22,"From which date will the Safety of Household, Commercial and Similar Electrical Appliances (Quality Control) Order, 2025 come into effect for large, medium domestic and foreign enterprises?",1 January 2025,1 August 2025,19 March 2026,31 December 2025,1 April 2026,19 March 2026
23,What is the name of the AI-powered virtual news anchor launched by the Assam government to deliver cabinet updates in Assamese?,SAMPARKA,AI-ASSAM,ANKITA,IRIS,PRAGATI,ANKITA
24,Under which Act was Haryana-based YouTuber Jyoti Rani arrested for allegedly leaking sensitive information to a Pakistani official?,"Right to Information Act, 2005","Prevention of Money Laundering Act, 2002","National Security Act, 1980","Official Secrets Act, 1923","Unlawful Activities (Prevention) Act, 1967","Official Secrets Act, 1923"
25,When is the World Day for Cultural Diversity for Dialogue and Development observed annually?,18 May,19 May,20 May,21 May,22 May,21 May
26,Which Indian Naval ship recently participated in the HADR exercise held in Maldives in May 2025?,INS Sumitra,INS Sharda,INS Vikramaditya,INS Sunayna,INS Kolkata,INS Sharda
27,What new step has the Election Commission of India taken to improve the accuracy of electoral rolls?,Introduced blockchain technology for voter data,Started electronic sharing of death registration data with BLOs,Allowed online voting for all citizens,Made voter ID optional for elections,Replaced Voter Information Slips with Aadhar cards,Started electronic sharing of death registration data with BLOs
28,Aryna Sabalenka won her third Madrid Open title in 2024 by defeating which player?,Iga Swiatek,Petra Kvitova,Naomi Osaka,Coco Gauff,Elena Rybakina,Coco Gauff
29,"Which renowned Indian filmmaker and cinematographer, known for films like Piravi and Vanaprastham, recently passed away?",Adoor Gopalakrishnan,Shaji N. Karun,Girish Kasaravalli,Mrinal Sen,Santosh Sivan,Shaji N. Karun
30,Which temple site from Karnataka is being proposed for UNESCO’s Tentative List in 2025?,Hampi,Belur-Halebidu,Lakkundi,Pattadakal,Shravanabelagola,Lakkundi
31,What is the name of the new single-point app launched by the Election Commission of India for electoral-related activities?,VOTERSETU,ECINET,CHUNAV-ONE,eBallot,MyVoteHub,ECINET
32,Who among the following has been recently appointed as a Member of the Union Public Service Commission (UPSC)?,Preeti Sudan,Sujata Chaturvedi and Anuradha Prasad,Raj Shukla and Anil Sahasrabuddhe,Smita Sabharwal and Arvind Panagariya,P K Sinha and Vinay Kumar,Sujata Chaturvedi and Anuradha Prasad
33,Who will succeed Warren Buffett as the CEO of Berkshire Hathaway at the end of 2025?,Charlie Munger,Peter Buffett,Tim Cook,Jamie Dimon,Greg Abel,Greg Abel
34,What are the names of the two genome-edited rice varieties recently unveiled by India?,IR-64 and Swarna,Sona Masoori and Rasi Hybrid,Basmati Gold and Shakti,Pusa Basmati 1 and MT-9,Kamala and Pusa DST Rice 1,Kamala and Pusa DST Rice 1
35,Where will the 28th National Conference on e-Governance (NCeG) be held in June 2025?,New Delhi,Bengaluru,Visakhapatnam,Hyderabad,Bhopal,Visakhapatnam
36,Which northeastern state has set a target to produce 150 MW of solar energy by March 2027?,Assam,Meghalaya,Tripura,Manipur,Arunachal Pradesh,Tripura
37,Which major change has been approved by the Cabinet Committee on Political Affairs (CCPA) for the upcoming population census in India?,Online-only census process,Inclusion of caste enumeration,Census every 5 years,Combining census with local elections,Dropping household economic data,Inclusion of caste enumeration
38,Under which mission has the Ministry of Agriculture and Farmers' Welfare released recommendations for the establishment of Bio-Input Resource Centers (BRCs)?,National Mission on Sustainable Agriculture,National Mission on Edible Oilseeds,National Mission on Natural Farming,PM-KISAN Yojana,Rashtriya Krishi Vikas Yojana,National Mission on Natural Farming
39,Which two sports have been officially included in the 2026 Asian Games by the Olympic Council of Asia and AINAGOC?,Baseball and Kabaddi,Cricket and Mixed Martial Arts,Squash and Karate,Wrestling and Polo,Tennis and Esports,Cricket and Mixed Martial Arts
40,What recent step has the Reserve Bank of India (RBI) taken to boost rupee- denominated trade using vostro accounts?,Introduced a new digital currency linked to vostro accounts,Requested government approval to remove the 30% cap on buying short-term sovereign debt,Banned the use of vostro accounts for treasury bills,Allowed foreign banks to withdraw funds from vostro accounts in cash,Limited vostro account usage to trade in commodities only,Requested government approval to remove the 30% cap on buying short-term sovereign debt
41,How much gold did the Reserve Bank of India (RBI) purchase during the fiscal year 2024–25?,27.5 tonnes,50.1 tonnes,57.5 tonnes,62.3 tonnes,45.8 tonnes,57.5 tonnes
42,Who was awarded the AIFF Men’s Footballer of the Year for 2024–25?,Sunil Chhetri,Sahal Abdul Samad,Subhasish Bose,Gurpreet Singh Sandhu,Brandon Fernandes,Subhasish Bose
43,What is the purpose of the AIM4NatuRe initiative launched by the FAO in 2025?,Promoting organic farming worldwide,Restoring 30% of degraded ecosystems by,Ending deforestation by 2028,Reducing plastic waste in oceans,Promoting renewable energy in agriculture,Restoring 30% of degraded ecosystems by
44,Angola became the ___ member of the International Solar Alliance after signing the Framework Agreement in 2025.,121st,122nd,123rd,124th,125th,123rd
45,What is the name of the report released in 2025 to honor exceptional self- made women leaders across various sectors?,Women of Honor 2025,Shakti Icons 2025,W-Power 2025,Nari Shakti List,Bharat Women Achievers,W-Power 2025
46,"What is the title of the book authored by Arun Singhal and Devendra Kumar Sharma, recently launched in New Delhi?",Genius of Numbers,The Mathematical Mind,Ramanujan: Journey of a Great Mathematician,Numbers Never Lie,Legacy of Ramanujan,Ramanujan: Journey of a Great Mathematician
47,Which historic artifact did the Maharashtra Government recently purchase at an auction in London?,Shivaji Maharaj’s Armor,Bajirao’s War Helmet,Raghuji Bhonsle’s Sword,Holkar’s Battle Shield,Peshwa's Signet Ring,Raghuji Bhonsle’s Sword
48,Which Indian city recently joined the WHO’s Global Network for Age-friendly Cities and Communities (GNAFCC)?,Thiruvananthapuram,Kochi,Kozhikode,Mysuru,Chennai,Kozhikode
49,What is the name of the surface-to-surface missile Pakistan test-launched in its training exercise in 2025?,Shaheen-III,Ghauri,Nasr,Babur,Fatah Series,Fatah Series
50,What is the name of the innovation conclave addressed by Prime Minister Narendra Modi to boost India's innovation ecosystem?,NAVACHAR Bharat,Srijan Manthan,Viksit Sankalp,YUGM,Nayi Soch,YUGM
51,Which indigenous helicopter model was recently cleared for operations after being grounded due to a crash in January 2025?,HAL Rudra,ALH Dhruv,LCH Prachand,Cheetah Helicopter,Garuda Mark II,ALH Dhruv
52,The USA approved a USD 131 million Foreign Military Sale to India under which Quad initiative?,Indo-Pacific Maritime Partnership (IPMP),Quad Maritime Cooperation Program (QMCP),Indo-Pacific Maritime Domain Awareness (IPMDA),Strategic Indo-Pacific Security Pact (SISP),Allied Naval Surveillance Mission (ANSM),Indo-Pacific Maritime Domain Awareness (IPMDA)
53,"Which Indian state became the first to introduce a dedicated policy for shipbuilding, ship repair, and ship recycling in 2025?",Gujarat,Tamil Nadu,Andhra Pradesh,Maharashtra,Kerala,Maharashtra
54,When is World Portuguese Language Day observed annually?,3 May,5 May,7 May,9 May,11 May,5 May
55,"Which company has launched India’s first AI-powered Gold-Melting ATM, revolutionizing gold transactions?",MMTC-PAMP,Titan Gold Ltd. / टाइटन गो,Goldsikka,Kalyan Jewellers,Tanishq Digital,Goldsikka
56,Who has been appointed as the Chairman-cum-Managing Director (CMD) of Oriental Insurance Company Limited (OICL) in 2025?,R.R. Singh,Amit Misra,Sanjay Joshi,Tapan Singhel,G. Srinivasan,Sanjay Joshi
57,"What financial milestone did M. Nagaraju, Secretary of the Department of Financial Services, mark by ringing the ceremonial bell at NSE in 2025?",Launch of India’s first Green Bond,Listing of India’s first mortgage-backed Pass Through Certificates (PTCs),Introduction of Digital Rupee,Launch of Sovereign Gold Bonds /,Debut of Infrastructure Investment Trust (InvIT),Listing of India’s first mortgage-backed Pass Through Certificates (PTCs)
58,How many new IITs are included under Phase-B construction approved by the Union Cabinet in 2025?,3,5,7,10,6,5
59,Why was former Indian cricketer S. Sreesanth suspended by the Kerala Cricket Association (KCA) in 2025?,Match-fixing allegations,Disrespectful behavior towards fans,Remarks criticizing KCA over Sanju Samson’s exclusion,Refusal to attend team camp,Promoting a private league without permission,Remarks criticizing KCA over Sanju Samson’s exclusion
60,What is India's HDI rank in the 2023 report released by UNDP?,126,133,130,135,129,130
61,"Who has been appointed as the Interim Executive Director to represent India, Bangladesh, Bhutan, and Sri Lanka at the IMF in 2025?",Raghuram Rajan /,Krishnamurthy V. Subramanian,Parameswaran Iyer,V. Anantha Nageswaran,Arvind Subramanian,Parameswaran Iyer
62,"Who is the author of the book “The Johnson & Johnson Files: The Indian Secrets of a Global Giant”, praised by former Chief Justice of India D.Y. Chandrachud?",Josy Joseph,Kaunain Sheriff M,Sagarika Ghose,Rana Ayyub,Priya Ramani,Kaunain Sheriff M
63,What is the name of the initiative launched by President Droupadi Murmu for the welfare of senior citizens in 2025?,Ageing with Dignity – Initiatives for the Welfare of Senior Citizens,Senior Dignity Scheme,ElderCare India Mission,Golden Years Support Programme,Senior Citizen Empowerment Yatra,Ageing with Dignity – Initiatives for the Welfare of Senior Citizens
64,What percentage of Indian merchandise shipments will get duty-free access to the UK under the FTA? l,85%,90%,94%,99%,100%,99%
65,Where is the Kalanamak Rice Research Centre being set up in Uttar Pradesh?,Gorakhpur,Maharajganj,Deoria,Kushinagar,Siddharthnagar,Siddharthnagar
66,What is India’s rank in the World Press Freedom Index 2025 released by Reporters Without Borders (RSF)?,145th,151st,155th,159th,165th,151st
67,How many permanent members are there in the United Nations Security Council (UNSC)?,10,5,15,7,20,5
68,"What was the name of the military operation launched by the Indian Armed Forces in response to the April 22, 2025 terrorist attack in Pahalgam?",Operation Shakti,Operation Sunrise,Operation Sindoor,Operation Vijay,Operation Trinetra,Operation Sindoor
69,Which Himalayan peak did the Indo-Tibetan Border Police (ITBP) successfully scale in April 2025?,Mt. Everest,Mt. Annapurna,Mt. Dhaulagiri,Mt. Makalu,Mt. Kanchenjunga,Mt. Makalu
70,Who has been appointed as the new Managing Director (MD) of the National Film Development Corporation (NFDC) in 2025?,Bhupendra Kainthola,Prakash Magdum,Sunit Tandon,Vani Tripathi,Ujwal Nirgudkar,Prakash Magdum
71,"Who has been appointed as the new Prime Minister of Yemen, replacing Ahmed Awad bin Mubarak?",Maeen Abdulmalik Saeed,Ali Mohsen al-Ahmar,Mohammed Al-Jabe,Khaled Mahfoudh Bahah,Salem Saleh Bin Braik,Salem Saleh Bin Braik
72,Who won the Pulitzer Prize 2025 in the Investigative Reporting category?,The New York Times staff,The Washington Post staff,Reuters staff – “Fentanyl Express,The Wall Street Journal staff,Alissa Zhu & team,Reuters staff – “Fentanyl Express
73,"When is International Leopard Day observed, and which Indian state has the highest leopard population as per the NTCA report 2022? l",3 May; Karnataka,4 May; Maharashtra,3 May; Madhya Pradesh,5 May; Rajasthan,2 May; Uttarakhand,3 May; Madhya Pradesh
74,What was the theme of World Laughter Day 2025 observed on 4 May?,"Laugh Together, Live Longer",Smile for Global Harmony,"Laugh for Health, Peace and Happiness",Laughter: The Best Medicine,Joyful World Through Laughter,"Laugh for Health, Peace and Happiness"
75,"How much dividend per share has SBI declared for FY25, the highest in the last 12 years?",Rs.10.50,Rs.12.00,Rs.20.00,Rs.18.20,Rs.15.90,Rs.15.90
76,In what form has FIMMDA been recognized by RBI?,Rating Agency,Primary Dealer,Self-Regulatory Organisation (SRO),Financial Institution,Market Intermediary,Self-Regulatory Organisation (SRO)
77,India will launch 52 spy satellites in the coming how many years?,2 Years,3 Years,5 Years,7 Years,10 Years,5 Years
78,Rajasthan and Madhya Pradesh are jointly establishing India’s first interstate cheetah conservation corridor. What is the total area of this wildlife corridor?,"10,000 sq km","12,500 sq km","15,000 sq km","17,000 sq km","20,000 sq km","17,000 sq km"
79,When will India officially launch chip-based e-passports for international travel?,January 2025,April 2025,May 2025,July 2025,December 2025,May 2025
80,Why did Nicaragua decide to withdraw from UNESCO in 2025?,Due to financial constraints,Due to climate disagreement,In protest of a press freedom award,Due to UNESCO reforms,For joining another UN body,In protest of a press freedom award
81,What is the total outlay of the scheme approved by the Cabinet for upgrading ITIs and setting up five National Centres of Excellence for Skilling?,"Rs.10,000 crore","Rs.25,000 crore","Rs.60,000 crore","Rs.75,000 crore","Rs.90,000 crore","Rs.60,000 crore"
82,Who won the Sudirman Cup 2025 World Mixed Team Badminton Championship?,India,Japan,South Korea,Malaysia,China,China
83,Which Ministry has directed states to conduct mock drills to evaluate civil defence preparedness in 2025?,Ministry of Defence,Ministry of Home Affairs,Ministry of External Affairs,Ministry of Civil Aviation,Ministry of Environment,Ministry of Home Affairs
84,"What is the name of India’s first Transmedia Entertainment City to be developed in Amaravati, Andhra Pradesh?",CineHub India,Creatorland,Amaravati VFX City,MediaWorld,Bharatwood,Creatorland
85,Where did DRDO conduct the maiden flight-trials of the Stratospheric Airship Platform?,"Sheopur, Madhya Pradesh","Agra, Uttar Pradesh","Pokhran, Rajasthan","Balasore, Odisha","Jaisalmer, Rajasthan","Sheopur, Madhya Pradesh"
86,"What does the term ‘Orange Economy’ refer to, as highlighted by PM Modi at WAVES 2025?",Renewable energy sector,Agricultural exports,Creative and cultural industries,Textile and handicrafts sector,Tourism and hospitality industry,Creative and cultural industries
87,Who is the Chairman of the Committee on Estimates (CoE) for the fiscal year 2025–26?,Jayant Sinha,Dr. Sanjay Jaiswal,Rajeev Chandrasekhar,Arjun Ram Meghwal,Baijayant Panda,Dr. Sanjay Jaiswal
88,What name did the first American Pope Robert Prevost choose upon his election?,John Paul III,Leo XIV,Benedict XVII,Francis II,Pius XIII,Leo XIV
89,What is the maximum range of Pakistan’s Abdali Weapon System as per its latest test in 2025?,200 km,250 km,300 km,450 km,500 km,450 km
90,Where has the Indian Institute of Foreign Trade (IIFT) received approval to establish a new off-campus centre in 2025?,Bengaluru,Mumbai,Hyderabad,"GIFT City, Gandhinagar",Chennai,"GIFT City, Gandhinagar"
91,International Day of the Midwife observed every year on which day ?,5 May,6 May,7 May,8 May,9 May,5 May
92,What restrictions did the RBI withdraw to ease FPI investments in corporate debt securities?,Minimum capital and reporting limit,Short-term investment limit and concentration limit,Tax-related disclosures,Exchange rate cap,Lock-in period and exit norms,Short-term investment limit and concentration limit
93,Why did the RBI approve the formation of a “Committee of Executives” at IndusInd Bank?,To expand rural operations,Due to RBI inspection findings,To implement digital banking reforms,For launching a new product line,Following resignation of the CEO,Following resignation of the CEO
94,"According to SBI's report, what is the expected range of India’s CPI inflation for Q1 FY26 (April–June 2025)?",Above 6%,Between 4% and 5%,Below 3%,Between 3% and 4%,Between 5% and 6%,Below 3%
95,Which company has launched India’s first Model Context Protocol (MCP) server for a payment gateway?,Paytm,Razorpay,PhonePe,CCAvenue,Google Pay,Razorpay
96,"What is the maximum cashless treatment benefit provided per person under the Cashless Treatment of Road Accident Victims Scheme, 2025?","Rs.50,000",Rs.1 lakh,Rs.1.5 lakh,Rs.2 lakh,"Rs.75,000",Rs.1.5 lakh
97,Who assumed the role of Acting President of South Korea after Han Duck- soo’s resignation in 2025?,Yoon Suk Yeol,Park Jin,Kim Dae-jung,Lee Ju-ho,Moon Jae-in,Lee Ju-ho
98,Which stadium will host the final match of the 2027 Women’s World Cup in Brazil?,Estádio Nacional,Arena Corinthians,Maracana Stadium,Morumbi Stadium,Arena da Baixada,Maracana Stadium
99,Which flagship Indian scheme is being showcased at the World Bank Land Conference 2025 for digital land reforms?,SVAMITVA Scheme,MGNREGA,PM-KISAN,PM Fasal Bima Yojana,UDAY Scheme,SVAMITVA Scheme
100,What is the total foodgrain production target for 2025-26 crop year as set by the Indian government?,330.97 million tonnes,341.55 million tonnes,354.64 million tonnes,368.00 million tonnes,315.61 million tonnes,354.64 million tonnes
101,What is the purpose of the Multi-Influence Ground Mine (MIGM) recently validated by DRDO and the Indian Navy?,Targeting modern stealth ships and submarines,Neutralizing aerial threats,Missile guidance in space warfare,Surveillance in high-altitude terrains,Intercepting ballistic missiles,Targeting modern stealth ships and submarines
102,Which organization developed the upgraded Health Management Information System (HMIS) platform under the Central Government Health Scheme (CGHS)?,National Informatics Centre (NIC),Tata Consultancy Services (TCS),Centre for Development of Advanced Computing (C-DAC),Bharat Electronics Limited (BEL),Infosys,Centre for Development of Advanced Computing (C-DAC)
103,Who recently visited India to strengthen UK-India cultural ties and cooperation in creative sectors?,Rishi Sunak,David Cameron,James Cleverly,Suella Braverman,Lisa Nandy,Lisa Nandy
104,"Who has been appointed as the 10th Chancellor of Germany, replacing Olaf Scholz?",Olaf Scholz,Annalena Baerbock,Friedrich Merz,Armin Laschet,Frank-Walter Steinmeier,Friedrich Merz
105,What is the main objective of Mukhyamantri Neera Samvardhan Yojana launched by Bihar Government?,Promote tourism in rural areas,Ban toddy tapping,Support toddy tappers and increase neera production,Export neera to foreign countries,Replace sugar with neera in all state products,Support toddy tappers and increase neera production
106,What is the name of India’s first dedicated transhipment and semi-automated port commissioned by PM Modi in Kerala?,Cochin Port,Tuticorin Port,Vizhinjam Port,Paradip Port,Ennore Port,Vizhinjam Port
107,Who inaugurated the 22nd edition of the Bharat Telecom event held in New Delhi?,Ashwini Vaishnaw,Rajeev Chandrasekhar,Jyotiraditya Scindia,Devusinh Chauhan,Nirmala Sitharaman,Jyotiraditya Scindia
108,Who was appointed as the Chairperson of the Public Accounts Committee (PAC) of the Indian Parliament in 2025?,Adhir Ranjan Chowdhury,Mallikarjun Kharge,K C Venugopal,Shashi Tharoor,Rahul Gandhi,K C Venugopal
109,"When is World Asthma Day observed in 2025, and what is its theme?",4 May,6 May,7 May,9 May,10 May,6 May
110,"As per SEBI's proposal, what is the minimum outstanding debt value for an entity to be classified as a High Value Debt Listed Entity (HVDLE)?",Rs.500 crore,Rs.750 crore,"Rs.1,000 crore","Rs.1,500 crore","Rs.2,000 crore","Rs.1,000 crore"
111,What is the name of the large-scale employee engagement and skill development initiative launched by the State Bank of India (SBI)?,SBI Udaan and Skill India,Digital Banker 2.0,FutureSBI and SkillNext,Next LEAP and SuPer SBI,SBI Shakti and GrowthX,Next LEAP and SuPer SBI
112,How much penalty did the Reserve Bank of India (RBI) impose on State Bank of India (SBI) in May 2025?,Rs.2 crore,Rs.1 crore,Rs.1.72 crore,Rs.75 lakh,Rs.50 lakh,Rs.1.72 crore
113,"Which two foreign banks reported the highest net additions of credit cards in FY25, reflecting growth in India’s digital economy?",Citi Bank and Barclays,HSBC and American Express,Standard Chartered and DBS,HSBC and Standard Chartered,American Express and Citi Bank,HSBC and American Express
114,"Which Japanese bank has agreed to acquire 20% stake in YES Bank in a deal worth Rs.13,483 crore?",Mizuho Bank,Sumitomo Mitsui Banking Corporation,Bank of Japan,Nomura Holdings,Mitsubishi UFJ Financial Group,Sumitomo Mitsui Banking Corporation
115,Recently which Bank launched the Solitaire Credit Card ?,ICICI Bank,State Bank of India,Kotak Mahindra Bank,HDFC Bank,Axis Bank,Kotak Mahindra Bank
116,Which country’s drone named 'Songar' is reportedly used by Pakistan against India?,China,Russia,Turkey,Iran,USA,Russia
117,Which state government Laucnhed Pandit Lakhmi Chand Kalakar Samajik Samman Yojana ?,Uttar Pradesh,Punjab,Haryana,Madhya Pradesh,Rajasthan,Haryana
118,Which Indian cricketer announced his retirement from Test cricket in 2025 while continuing to play ODIs?,Virat Kohli,Cheteshwar Pujara,Rohit Sharma,Ravichandran Ashwin,KL Rahul,Rohit Sharma
119,"Under the expanded Credit Guarantee Scheme for Startups (CGSS), what is the new maximum ceiling of guarantee cover per borrower?",Rs.5 crore,Rs.10 crore,Rs.15 crore,Rs.20 crore,Rs.25 crore,Rs.20 crore
120,Which state Government Announces Biopic on Ahilyabai Holkar for 300th Birth Anniversary ?,Maharashtra,Karnataka,Gujarat,Tamil Nadu,Uttar Pradesh,Maharashtra
121,"What is the name of the advanced air defence missile system used by the Indian Air Force to intercept aerial threats on May 7–8, 2025?",Akash,Barak 8,S-400 'Sudarshan Chakra',Prithvi Air Defence,Iron Dome,S-400 'Sudarshan Chakra'
122,What is the main objective of the ‘AI Pragya’ initiative launched by UP CM Yogi Adityanath?,Promote digital agriculture,Train 10 lakh youth in AI,Distribute AI tablets to farmers,Build rural digital centers,Promote robotics in industries,Train 10 lakh youth in AI
123,Who was appointed as the Director of the Central Bureau of Investigation (CBI) with a one-year extension in 2025?,Rakesh Asthana,Alok Verma,Praveen Sood,Subodh Jaiswal,Y C Modi,Praveen Sood
124,Delhi to Conduct Five Cloud-Seeding Trials with which IIT ?,IIT Guwahati,IIT Delhi,IIT Madras,IIT Kanpur,IIT Roorkee,IIT Kanpur
125,When did India and Chile sign the Terms of Reference (ToR) for negotiating a Comprehensive Economic Partnership Agreement (CEPA)?,01 May 2025,05 May 2025,08 May 2025,10 May 2025,30 April 2024,08 May 2025
126,Which two foreign universities signed MoUs with the Maharashtra government to establish campuses in Navi Mumbai’s EduCity?,Harvard University and Oxford University,University of York and University of Western Australia,University of Cambridge and University of Sydney,MIT and University of Melbourne,Stanford University and University of Toronto,University of York and University of Western Australia
127,What is the primary objective of Maharashtra’s ‘Adishakti Abhiyan’ campaign launched in 2025?,Empower women and ensure awareness of welfare schemes,Improve road infrastructure in tribal regions,Promote digital literacy among rural youth,Promote tourism in historical places,Encourage organic farming in villages,Empower women and ensure awareness of welfare schemes
128,Which loitering munition did India use against Pakistan?,Akash,S-400,HAROP,Astra,Pralay,HAROP
129,What is the name of the first Anti-Submarine Warfare (ASW) Shallow Water Craft delivered by GRSE to the Indian Navy in 2025?,INS Kavaratti,INS Kadmatt,INS Kalvari,INS Arnala,INS Shivalik,INS Arnala
130,What is the objective of Kerala's newly launched 'Jyothi' initiative?,Support migrant children’s education,Encourage digital learning,Promote girl child education,Provide midday meals,Set up new government schools,Support migrant children’s education
131,"What is the name of the proposed greenfield airport to be developed in Puri, Odisha?",Veer Surendra Sai Airport,Kalinga International Airport,Odisha Gateway Airport,Bhubaneswar Civil Terminal,Shree Jagannath Airport,Shree Jagannath Airport
132,What is the theme of World Red Cross and Red Crescent Day 2025?,Embracing Humanity,Be Human Kind,Keeping Humanity Alive,Together for Humanity,Humanitarian Hope,Keeping Humanity Alive
133,What is the theme of World Lupus Day 2025 observed on May 10?,Unite Against Lupus,Lupus: Fight the Inflammation,Healing Begins with Knowledge,Awareness is Cure,Let’s bring lupus together,Let’s bring lupus together
134,What is the primary objective of the PRASHAST app launched by Delhi’s Directorate of Education?,Monitor teacher performance,Promote digital literacy in rural areas,Identify students with disabilities early,Conduct online board examinations,Offer vocational courses to students,Identify students with disabilities early
135,"By what percentage did UPI QR codes grow in FY 2024–25, according to RBI data?",75.2%,81.3%,91.5%,87.9%,95.0%,91.5%
136,Which credit rating agency recently upgraded India’s Long-Term Foreign and Local Currency – Issuer Ratings to BBB with a stable trend?,S&P Global Ratings,Fitch Ratings,Moody’s Investors Service,Morningstar DBRS,CARE Ratings,Morningstar DBRS
137,What was the total cumulative net profit reported by Public Sector Banks (PSBs) in FY25?,Rs.1.41 lakh crore,Rs.1.62 lakh crore,Rs.1.78 lakh crore,Rs.1.59 lakh crore,Rs.1.69 lakh crore,Rs.1.78 lakh crore
138,"Where is the Anak Krakatau volcano, which triggered a deadly tsunami in 2018, located?",Philippines,Japan,Fiji,Papua New Guinea,Indonesia,Indonesia
139,"What is the name of the community event organized by SECL in Surajpur, Chhattisgarh to strengthen local relations?",Jan Samvad,Sneh Milan Mela,Gram Milan Utsav,Parivartan Sammelan,Coal Sampark,Sneh Milan Mela
140,What is the name of the Delhi Police initiative launched to reintegrate school dropouts into the education system?,Shiksha Udaan,Nayi Disha,Vidya Jyoti,Padho India,Disha Shakt,Nayi Disha
141,"Who has been appointed as the CEO of NTPC Green Energy Limited, the renewable energy arm of NTPC Ltd?",Rajiv Gupta,Gurdeep Singh,Sarit Maheshwari,Suman Sharma,Praveer Sinha,Sarit Maheshwari
