Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
12,India has nominated which institute as the UN’s Centre of Excellence (COE) for Artificial Intelligence (AI)?,IIT Bombay,IIT Delhi,IIT Madras,IISc Bengaluru,IIT Kanpur,IIT Madras
13,"Which country has announced the launch of the new K-Visa for global young STEM professionals from October 1, 2025?",United States,Australia,Canada,United Kingdom,China,China
14,"Which authority launched the Dubai Autonomous Zone (DAZ), a 15-kilometre corridor for driverless vehicles and marine transport?",Dubai Civil Aviation Authority,Dubai Roads and Transport Authority (RTA),Dubai Maritime Authority,Dubai Smart City Authority,Dubai Traffic Police,Dubai Roads and Transport Authority (RTA)
15,"According to the Kroll Celebrity Brand Valuation 2024, who retained the top spot in India with a brand value of USD 231.1 million?",Rohit Sharma,Shahrukh Khan,MS Dhoni,Ranveer Singh,Virat Kohli,Virat Kohli
16,"By 2030, how much green energy capacity does ONGC aim to acquire?",1–1.5 GW,5–6 GW,2.5–3 GW,7–8 GW,10 GW,2.5–3 GW
17,Which popular Assamese singer passed away on 19 September 2025 in Singapore during a scuba diving accident?,Bhupen Hazarika,Zubeen Garg,Angaraag Mahanta,Papon,Jayanta Hazarika,Zubeen Garg
18,Which public sector bank became the second PSB to be approved as a Trading-Cum-Clearing Member (TCM) on the India International Bullion Exchange (IIBX)?,Punjab National Bank,Indian Bank,Canara Bank,Union Bank of India,Bank of Baroda,Bank of Baroda
19,BRICS-backed New Development Bank (NDB) will issue its first rupee- denominated bond in India before which year?,2024,2025,2026,2027,2028,2026
20,"The Central Consumer Protection Authority (CCPA) recently imposed a penalty of ₹2,00,000 on which company for false and misleading price representations?",Amazon,Flipkart,FirstCry (Digital Age Retail Pvt. Ltd.),Snapdeal,Myntra,FirstCry (Digital Age Retail Pvt. Ltd.)
21,Which regulator barred HDFC Bank’s DIFC branch from taking new clients?,DFSA,SEBI,RBI,IMF,FATF,DFSA
22,Which bank signed an MoU with Tata Power Renewable Energy Limited to provide financial support for solar energy adoption by MSMEs and C&I customers?,State Bank of India,Punjab National Bank,ICICI Bank,Bank of Baroda,HDFC Bank,Bank of Baroda
23,Which country clinched their ninth Asia Cup title with a thrilling five-wicket victory over Pakistan at the Dubai International Stadium?,India,Japan,France,Russia,China,India
24,"Under the PM E-Drive scheme, what subsidy is provided for EV charging stations at government premises?",50% on both infrastructure and EVSE,80% on both infrastructure and EVSE,100% on infrastructure only,100% on both infrastructure and EVSE,70% on EVSE and 50% on infrastructure,100% on both infrastructure and EVSE
25,Which ministry is organizing the 29th Conference of Central and State Statistical Organizations (CoCSSO) in Chandigarh?,Ministry of Finance,Ministry of Statistics and Programme Implementation,Ministry of Home Affairs,Ministry of Planning,Ministry of Science and Technology,Ministry of Statistics and Programme Implementation
26,Who won the Changemaker of the Year Award at The Hindu BusinessLine Changemaker Awards 2024?,Azim Premji Foundation,DRDO,Bhashini,Impulse NGO Network,eVidyaloka,DRDO
27,"From 1 October 2025, what type of arrival card will foreigners travelling to India need to submit?",Physical Arrival Card,Digital Arrival Card (E-Arrival Card),Visa-on-Arrival Form,Paperless Travel Card,Manual Immigration Form,Digital Arrival Card (E-Arrival Card)
28,The book “Akashvani: A Century of Stories from All India Radio” has been authored by which of the following?,Vikram Sampath and Anant Pai,Neelesh Kulkarni and Vikrant Pande,Rajdeep Sardesai and Shashi Tharoor,R. Jagannathan and Arun Shourie,Krishna Sobti and Ruskin Bond,Neelesh Kulkarni and Vikrant Pande
29,"Who has been appointed as the Attorney General of India for a two-year term starting October 1, 2025?",K.K. Venugopal,R. Venkataramani,Mukul Rohatgi,Gopal Subramanium,Soli Sorabjee,R. Venkataramani
30,Prime Minister Narendra Modi inaugurated BSNL’s “Swadeshi 4G stack” in which state?,Gujarat,Maharashtra,Madhya Pradesh,Uttar Pradesh,Odisha,Odisha
31,"Which integrated neuro-rehabilitation centre was recently unveiled by the Ministry of AYUSH at the All India Institute of Ayurveda (AIIA), Goa?",Prayas,Aarogya,Niramay,Swasthya,Samarth,Prayas
32,"India recently designated two new Ramsar Sites in Bihar. With this, how many Ramsar Sites does India now have?",91,92,93,94,95,93
33,"Which company did TVS Motors acquire to establish a Global Centre of Excellence for Design and Engineering in Bologna, Italy?",Engine Engineering,Piaggio Engineering,Ducati Design Labs,Ferrari Technologies,Magneti Marelli,Engine Engineering
34,Where was the 69th General Conference (GC) of the International Atomic Energy Agency (IAEA) held?,"Geneva, Switzerland","New York, USA","Rome, Italy","Paris, France","Vienna, Austria","Vienna, Austria"
35,Which organization launched India’s first AI-integrated Integrated Command & Control Centre (ICCC) for a pilgrimage ecosystem?,Shri Mata Vaishno Devi Shrine Board,Tirumala Tirupati Devasthanams (TTD),Kashi Vishwanath Temple Trust,Jagannath Temple Administration,Somnath Temple Trust,Tirumala Tirupati Devasthanams (TTD)
36,"Which scheme launched by Haryana CM Nayab Singh Saini provides Rs 2,100 per month to eligible women?",Mukhya Mantri Mahila Samman Yojana,Haryana Women Empowerment Scheme,Beti Bachao Beti Padhao,Pradhan Mantri Matru Vandana Yojana,Deendayal Lado Lakshmi Yojana,Deendayal Lado Lakshmi Yojana
37,Which Cold Desert Biosphere Reserve in Himachal Pradesh was recently included in UNESCO’s World Biosphere Reserve Network?,Khangchendzonga,Spiti Valley,Great Himalayan National Park,Nanda Devi,Pin Valley,Spiti Valley
38,India’s first bullet train project’s initial Surat–Bilimora stretch will be operational by which year?,2025,2026,2027,2028,2029,2027
39,"Where was the third edition of the HDSR Star Party, focusing on amateur astronomy and astrophotography, held?","Spiti Valley, Himachal Pradesh",Sikkim,"Leh, Ladakh","Kaza, Himachal Pradesh","Hanle, Ladakh","Hanle, Ladakh"
40,"Which Indian artist’s untitled 1970 oil on canvas painting recently sold for ₹67.08 crore, making it the second-most expensive Indian artwork ever?",Tyeb Mehta,FN Souza,VS Gaitonde,MF Husain,S H Raza,VS Gaitonde
41,Which Indian cricketer became the first capped Indian male player to sign with a Big Bash League (BBL) team?,Ravichandran Ashwin,Virat Kohli,Rohit Sharma,Rishabh Pant,Shikhar Dhawan,Ravichandran Ashwin
42,Which global initiative is being organised by the Ministry of Youth Affairs & Sports along with the Ministry of External Affairs as part of Seva Pakhwada 2025?,Bharat Run 2025,Rashtriya Ekta Run 2025,Seva Marathon 2025,Global Youth Run 2025,Viksit Bharat Run 2025,Viksit Bharat Run 2025
43,"Which renowned Kannada writer, remembered by PM Modi in Mann Ki Baat, passed away on September 24, 2025?",Girish Karnad,S.L. Bhyrappa,U.R. Ananthamurthy,K. Shivaram Karanth,Vaidehi,S.L. Bhyrappa
44,When is World Maritime Day 2025 observed?,September 25,September 24,September 26,September 27,September 28,September 25
45,What is the theme of World Tourism Day 2025?,Green Tourism & Innovation,Tourism for Prosperity,Tourism and Sustainable Transformation,Cultural Tourism & Heritage,Ecotourism and Community Development,Tourism and Sustainable Transformation
46,"Which digital payments platform, in collaboration with Mastercard, launched the exclusive ‘Tap & Pay’ feature for Mastercard cardholders in India?",Paytm,Google Pay,PhonePe,Amazon Pay,BharatPe,PhonePe
47,"Who has been appointed as the new Deputy Governor of the Reserve Bank of India (RBI) effective from October 9, 2025?",Rajeshwar Rao,Poonam Gupta,Swaminathan Janakiraman,T. Rabi Sankar,Shirish Chandhra Murmu,Shirish Chandhra Murmu
48,Which body currently selects Non-Official Directors (NODs) for Public Sector Banks (PSBs)?,Reserve Bank of India,Ministry of Finance (Department of Financial Services),Boards of PSBs,P J Nayak Committee,SEBI,Ministry of Finance (Department of Financial Services)
49,RBI is likely to allow which company’s exit from the Upper Layer NBFC classification?,Reliance Capital,Shriram Finance,Tata Sons,Bajaj Finance,HDFC Ltd,Tata Sons
50,Which company has been barred by SEBI and fined along with its three senior executives for alleged financial misstatement?,Man Industries (India) Ltd.,Adani Enterprises,Reliance Power,L&T Finance,Hindustan Zinc,Man Industries (India) Ltd.
51,The Reserve Bank of India imposed a monetary penalty of ₹2.7 lakh on which company for non-compliance with norms related to ‘Internal Ombudsman’?,Manappuram Finance Limited,Mahindra Finance,Bajaj Finance Limited,Shriram Finance Limited,Muthoot FinCorp Limited,Muthoot FinCorp Limited
52,Which two institutions have partnered to co-lend gold loans targeting semi- urban and rural customers?,SBI and Bajaj Finance,Bank of Baroda and IIFL Finance,HDFC Bank and Muthoot Finance,Axis Bank and Manappuram Finance,PNB and Shriram Finance,Bank of Baroda and IIFL Finance
53,"From which date will the RBI’s new rules on interest rates, gold loans, and exposure norms come into effect?",September 15,October 1,November 1,December 31,January 1,October 1
54,Who have been recently appointed as the Managing Directors (MD) & Chief Executive Officers (CEO) of Union Bank of India?,Asheesh Pandey,A. Manimekalai,Rajeev Pandey,Kalyan Kumar,Rajesh Kumar,Asheesh Pandey
55,"Which organisation launched ‘Ideabaaz’, India’s first integrated marketplace for start-ups and investors?",SEBI,BSE,NSE,SIDBI,Invest India,NSE
56,Moody’s has affirmed India’s long-term local and foreign-currency issuer ratings at which level?,BBB+,BBB,Baa3,A2,P-3,Baa3
57,"UST and Kaynes Semicon will set up a ₹3,330 crore OSAT facility in which state?",Karnataka,Maharashtra,Gujarat,Tamil Nadu,Telangana,Gujarat
58,Where was the 3rd edition of the Unmesha International Literature Festival held?,Patna,Bhopal,Shimla,Kolkata,New Delhi,Patna
59,"What was India’s milk production in 2023-24, as per the Department of Animal Husbandry and Dairying?",200 million tonnes,220 million tonnes,146.30 million tonnes,250 million tonnes,239.30 million tonnes,239.30 million tonnes
60,The book “Song of India: A Study of the National Anthem” has been authored by whom?,Ramachandra Guha,Jairam Ramesh,Shashi Tharoor,Rudrangshu Mukherjee,Romila Thapar,Rudrangshu Mukherjee
61,Which company has signed a $700 million Sustainability-Linked Trade Facility (SLTF) deal with Standard Chartered?,Reliance Industries,Adani Enterprises,JSW Steel,Tata Power,Larsen & Toubro,Larsen & Toubro
62,"By how much has the Union Cabinet approved an increase in Dearness Allowance (DA) for Central Government employees effective October 1, 2025?",1%,2%,3%,4%,5%,3%
63,Which actor earned an International Emmy Award nomination for Best Actor in 2025 for the biopic “Amar Singh Chamkila”?,Shahid Kapoor,Ranveer Singh,Varun Dhawan,Ayushmann Khurrana,Diljit Dosanjh,Diljit Dosanjh
64,India will build its first cross-border rail links with Bhutan connecting which Indian states to Bhutan?,Sikkim and Arunachal Pradesh,Assam and West Bengal,Assam and Sikkim,Arunachal Pradesh and West Bengal,Sikkim and West Bengal,Assam and West Bengal
65,"Who inaugurated India’s first Maritime Simulation Centre at the Academy of Maritime Education and Training (AMET) Knowledge Park, near Chennai?",Nitin Gadkari,Rajnath Singh,Piyush Goyal,Hardeep Singh Puri,Sarbananda Sonowal,Sarbananda Sonowal
66,Which insurance company signed a bancassurance agreement with Equitas Small Finance Bank to expand insurance access?,ICICI Lombard,HDFC ERGO,TATA AIG General Insurance,SBI General Insurance,Reliance General Insurance,TATA AIG General Insurance
67,"According to the World Gold Council (WGC), what is India’s global rank as an investor in gold ETFs in 2025?",5th,6th,7th,8th,9th,7th
68,"According to the Asian Development Bank (ADB), what is India’s GDP growth forecast for FY26?",6.2%,6.5%,6.7%,7.0%,7.2%,6.5%
69,"As per the Controller General of Accounts (CGA), what percentage of the full- year fiscal deficit target had the Centre reached by August-end 2025?",25%,27%,33%,38.1%,40%,38.1%
70,"According to the new RBI guidelines, what flexibility have lenders received regarding EMI-based floating rate personal loans?",Mandatory switch to fixed rate,No option to switch,Discretion to offer switch at reset,Switch allowed only once during loan tenure,Borrower must decide at loan sanction,Discretion to offer switch at reset
71,"Which bank, in partnership with Freecharge, launched India’s first gold- backed credit line on UPI?",HDFC Bank,Axis Bank,ICICI Bank,Kotak Mahindra Bank,State Bank of India,Axis Bank
72,RBL Bank has partnered with which organization for a bancassurance agreement?,SBI Life Insurance,HDFC Life Insurance,Max Life Insurance,Life Insurance Corporation of India (LIC),ICICI Prudential Life Insurance,Life Insurance Corporation of India (LIC)
73,"For Q3 FY26 (Oct–Dec 2025), what is the interest rate for the Public Provident Fund (PPF)?",7.5%,7.7%,8.2%,7.1%,6.9%,7.1%
74,RBI’s “Scheme for Facilitating Accelerated Payout – Inoperative Accounts and Unclaimed Deposits” will be effective for which period?,April 2025 – March 2026,October 2025 – September 2026,January 2025 – December 2025,July 2025 – June 2026,None of these,October 2025 – September 2026
75,Against which team did the Indian national futsal team record its first-ever international victory?,Kuwait,Australia,Mongolia,Indonesia,Japan,Mongolia
76,How many medals did India win at the 15th edition of the World Para Archery Championships-2025?,5,4,3,6,7,5
77,What was the total receipt of the Government of India up to August 2025?,"₹12,82,709 crore","₹10,50,000 crore","₹14,00,000 crore","₹11,75,000 crore","₹13,50,000 crore","₹12,82,709 crore"
78,"Which institute did the Parcel Directorate, Department of Posts, sign a comprehensive MoU with for innovative and sustainable packaging solutions?",Indian Institute of Packaging,"Indian Institute of Technology, Delhi",National Institute of Design,All India Institute of Packaging,Institute of Materials Handling,Indian Institute of Packaging
79,"Which Act came into effect on October 1, 2025, banning real-money gaming across India?","Digital Gaming Safety Act, 2025","Online Gambling Regulation Act, 2025","Promotion and Regulation of Online Gaming Act, 2025","Responsible eGaming Act, 2025","National Cyber Entertainment Act, 2025","Promotion and Regulation of Online Gaming Act, 2025"
80,Which team won the 8th edition of the Laver Cup 2025?,Team Europe,Team World,Team USA,Team Asia,Team Australia,Team World
81,"According to NCRB’s 2023 report, what percentage of total road accident deaths were caused by speeding?",45.8%,58.6%,23.6%,34.6%,19.2%,58.6%
82,Which company did Garden Reach Shipbuilders & Engineers Ltd (GRSE) sign a USD 62.44 million deal with for constructing hybrid multi-purpose vessels?,ThyssenKrupp,"Carsten Render Schiffsmakler und Reederei GmbH & Co., Germany",Hyundai Heavy Industries,Fincantieri,Daewoo Shipbuilding,"Carsten Render Schiffsmakler und Reederei GmbH & Co., Germany"
83,Maintenance Command of the Indian Air Force signed an MoU with which IIT for collaborative projects on defence technology?,IIT Delhi,IIT Bombay,IIT Kanpur,IIT Madras,IIT Ropar,IIT Ropar
84,The Government of India has extended the export benefits under the RoDTEP scheme till which year?,March 2025,June 2026,December 2025,March 2026,March 2027,March 2026
85,Who was elected as the 37th President of the Board of Control for Cricket in India (BCCI)?,Sourav Ganguly,Roger Binny,Mithun Manas,Rahul Dravid,Anil Kumble,Mithun Manas
86,Which programme did ICAR launch in its 2nd edition as a Brazil-India Cross- Incubation initiative?,AgriStart,MAITRI,FarmInnovate,AgroBridge,CropConnect,MAITRI
87,Which company did Cochin Shipyard Limited sign an MoU with for long-term strategic collaboration in shipbuilding?,"Hyundai Heavy Industries, South Korea","Samsung Heavy Industries, South Korea","Daewoo Shipbuilding, South Korea","HD Korea Shipbuilding & Offshore Engineering, South Korea","Fincantieri, Italy","HD Korea Shipbuilding & Offshore Engineering, South Korea"
88,What type of deposit insurance premium model has been proposed by the Reserve Bank of India (RBI)?,Flat-rate premium model,Interest-linked premium model,Risk-based premium model,Credit growth-based model,Market-linked model,Risk-based premium model
89,By how much has RBI recently raised the limits for IPO financing and loans against shares?,₹10 Lakh to ₹20 Lakh,₹10 Lakh to ₹25 Lakh and ₹20 Lakh to ₹50 Lakh,₹10 Lakh to ₹25 Lakh and ₹20 Lakh to ₹1 Crore,₹5 Lakh to ₹15 Lakh,₹5 Lakh to ₹35 Lakh,₹10 Lakh to ₹25 Lakh and ₹20 Lakh to ₹1 Crore
90,The newly formed Payments Regulatory Board (PRB) by RBI replaces which of the following?,Board for Financial Supervision (BFS),Monetary Policy Committee (MPC),Board for Regulation and Supervision of Payment and Settlement Systems (BPSS),Financial Stability Board (FSB),Digital Payment Council (DPC),Board for Regulation and Supervision of Payment and Settlement Systems (BPSS)
91,Which major reforms did the RBI recently announce for the cooperative banking sector?,Introduction of new digital banking platforms,Reexamination of licensing framework for UCBs and expansion of grievance redressal system,Merger of all cooperative banks with commercial banks,Reduction in repo rate for cooperative banks,Introduction of private equity participation in cooperative banks,Reexamination of licensing framework for UCBs and expansion of grievance redressal system
92,Which major step has been taken by RBI in its final guidelines on “Forms of Business and Prudential Regulation for Investments”?,Increased capital requirement for NBFCs,Removed proposed restriction on overlap between banks and group entities,Imposed limits on banks’ lending to NBFCs,Restricted IPO participation of bank subsidiaries,Introduced new investment ceiling for mutual funds,Removed proposed restriction on overlap between banks and group entities
93,"In October 2025, the RBI’s Monetary Policy Committee decided to keep the repo rate unchanged at –",5.25%,5.5%,5.75%,6%,6.25%,5.5%
94,Which institution recently unveiled its most comprehensive reforms in over a decade to expand corporate credit and deepen capital market activity?,Securities and Exchange Board of India (SEBI),Reserve Bank of India (RBI),Ministry of Finance,NITI Aayog,Insurance Regulatory and Development Authority of India (IRDAI),Reserve Bank of India (RBI)
95,What is the main objective of RBI’s proposal to reduce risk weights for NBFCs’ infrastructure loans?,To increase tax benefits for NBFCs,To reduce cost of infrastructure financing and promote long-term lending,To stop NBFCs from giving infra loans,To merge NBFCs with banks,To raise deposit insurance limit,To reduce cost of infrastructure financing and promote long-term lending
96,Which ministry is coordinating the nationwide campaign “आपक,Ministry of Corporate Affairs,Ministry of Consumer Affairs,Ministry of Finance,Ministry of Home Affairs,Ministry of Labour,Ministry of Finance
97,Where was the 20th Edition of the World Athletics Championships 2025 held?,"Beijing, China","Doha, Qatar","Paris, France","Budapest, Hungary","Tokyo, Japan","Tokyo, Japan"
98,Which project was approved by Bihar Tourism Department in collaboration with IWAI for Patna?,Patna Metro Rail Project,Patna Smart City Transport Plan,Patna River Cruise Initiative,Patna Ferry Service Upgrade,Patna Water Metro Service,Patna Water Metro Service
99,"What did PM Modi release to mark the 100-year anniversary of the RSS on October 1, 2025?",₹50 commemorative coin and a postage stamp,₹100 commemorative coin and a postage stamp,Special edition banknote,Commemorative medal,RSS official magazine,₹100 commemorative coin and a postage stamp
100,What initiative did the Andhra Pradesh government and Visakhapatnam Port Authority agree to under a recent MoU?,National Cruise Tourism Hub,Green Energy Port Initiative,Coastal Fisheries Development Project,National Mega Shipbuilding Cluster at Dugarajapatnam,Inland Waterways Transport Hub,National Mega Shipbuilding Cluster at Dugarajapatnam
101,"According to the 2025 Index of Economic Freedom, what is India’s global rank and economic status?",115th – Moderately Free,98th – Mostly Free,128th – Mostly Unfree,140th – Repressed,75th – Free,128th – Mostly Unfree
102,Which Indian space observatory recently completed a decade of its operation?,Chandrayaan-2,Astrosat,Aditya-L1,Mangalyaan,GSAT-6A,Astrosat
103,What facility was inaugurated at Vijayawada International Airport to enhance passenger experience?,Duty-Free Shopping Zone,Udan Yatri Cafe,VIP Lounge,Airport Hotel,Digital Check-in Kiosks,Udan Yatri Cafe
104,Which company did the Indian Navy sign a Rs. 47 crore contract with for advanced underwater drones?,BEL,Mazagon Dock Shipbuilders,L&T Defence,DRDO,IROV Technologies Private Limited (EyeROV - Kochi),IROV Technologies Private Limited (EyeROV - Kochi)
105,What is the objective of the “Mission for Aatmanirbharta in Pulses” approved by the Union Cabinet?,To promote organic farming of pulses,To achieve self-sufficiency in pulses production,To export pulses to neighboring countries,To reduce pulse consumption in India,To establish international pulse research centers,To achieve self-sufficiency in pulses production
106,What recognition did the Directorate General of Civil Aviation (DGCA) receive recently for aviation safety oversight?,International Civil Aviation Organisation (ICAO) Council President Certificate,ICAO Safety Excellence Award,Global Aviation Safety Medal,DGCA Outstanding Performance Award,Aviation Safety Leadership Certificate,International Civil Aviation Organisation (ICAO) Council President Certificate
107,What event did Rajesh Agrawal inaugurate on International Coffee Day 2025 in Bengaluru?,Coffee Experience Zone and Expo,Coffee Science Conference,National Coffee Awards Ceremony,Coffee Plantation Workshop,International Coffee Festival,Coffee Experience Zone and Expo
108,What new facility has the RBI allowed for NRIs regarding investment in India?,NRIs can invest in Indian mutual funds through rupee accounts.,NRIs can invest in Indian debt market through rupee accounts.,NRIs can invest in real estate using rupee accounts.,NRIs can invest in gold bonds only.,NRIs can open rupee accounts for remittance only.,NRIs can invest in Indian debt market through rupee accounts.
109,What is the purpose of the Mutual Fund Investment Tracing and Retrieval Assistant (MITRA) platform launched by SEBI?,To provide tax benefits on mutual fund investments,To help investors track and reclaim inactive or unclaimed mutual fund folios,To offer high-risk mutual fund schemes,To facilitate direct mutual fund purchases without brokers,To provide educational courses on mutual fund investing,To help investors track and reclaim inactive or unclaimed mutual fund folios
110,Who has joined the board of the Fintech Association for Consumer Empowerment (FACE) as an Independent Director?,M. Rajeshwar Rao,T. Rabi Sankar,Manoranjan Mishra,Shaktikanta Das,Sugandh Saxena,Manoranjan Mishra
111,What is the new deadline set by SEBI for the complete rollout of algorithm trading rules for retail investors?,"October 01, 2025","January 03, 2026","August 01, 2025","November 30, 2025","April 01, 2026","April 01, 2026"
112,Which organisation has been granted SRO status by the RBI for the non-bank lending sector?,NAFR,FINO Council,FIDC,MFIN,IBA,FIDC
113,From which date will UIDAI’s revised Aadhaar service charges become effective?,"July 1, 2025","October 1, 2025","January 1, 2026","September 30, 2025","April 1, 2026","October 1, 2025"
114,"As per the draft Basic Savings Bank Deposit Account (BSBDA) Directions, 2025 issued by the Reserve Bank of India (RBI), by when will the new framework be implemented?","December 31, 2025","January 31, 2026","April 30, 2026","March 31, 2026","June 30, 2026","March 31, 2026"
115,Which two initiatives has SEBI launched to enhance payment security and curb fraudulent fund collections?,UPI Safe & SEBI Verify,Validated UPI Handles & SEBI Check,Investor Shield & UPI Trust,Saarthi Pay & SafeHandle,SEBI SecurePay & UPI Trust,Validated UPI Handles & SEBI Check
116,Where was the 2025 edition of the Chief Science Advisers’ Roundtable (CSAR) held under South Africa’s G20 Presidency?,"Pretoria, South Africa","Johannesburg, South Africa","Cape Town, South Africa","Durban, South Africa","Bloemfontein, South Africa","Pretoria, South Africa"
117,The High-Level Committee chaired by Union Home Minister Amit Shah approved flood mitigation projects worth how much amount?,₹3645.60 crore,₹4445.60 crore,₹4645.60 crore,₹4945.60 crore,₹4245.60 crore,₹4645.60 crore
118,Which exercise was recently completed successfully by the Election Commission of India in Bihar?,Special Intensive Revision (SIR) of electoral rolls,Voter Awareness Campaign,Electoral Photo Verification Drive,Digital Voting Implementation,By-Election Preparatory Exercise,Special Intensive Revision (SIR) of electoral rolls
119,"Who won the 62nd National Chess Championship held in Guntur, Andhra Pradesh?",Grandmaster P. Iniyan,IM H Goutham Krishna,Grandmaster Krishnan Sasikiran,Viswanathan Anand,Pentala Harikrishna,Grandmaster P. Iniyan
120,Which district has become India’s first to be declared free of child marriages under the ‘Child Marriage-Free India’ campaign?,Raipur,Balod,Bilaspur,Durg,Kanker,Balod
121,Which Indian organization virtually participated in the Science Summit 2025 at the 80th United Nations General Assembly in New York?,ISRO,Department of Science and Technology,DRDO,NITI Aayog,CSIR - National Institute of Science Communication and Policy Research,CSIR - National Institute of Science Communication and Policy Research
122,Who topped the M3M Hurun India Rich List 2025 published by M3M India Private Limited in partnership with Hurun Research Institute?,Gautam Adani and family,Cyrus Poonawalla,Roshni Nadar and family,Shiv Nadar,Mukesh Ambani,Mukesh Ambani
123,Which state has received the highest allocation from the ₹1.01 lakh crore fund released by the Centre in October 2025?,Bihar,Maharashtra,Madhya Pradesh,Uttar Pradesh,Rajasthan,Uttar Pradesh
124,Which fighter aircraft was officially retired by the Indian Air Force in a ceremony at Chandigarh Air Force Station?,Mirage 2000,MiG-21,Jaguar,Sukhoi-30MKI,Tejas Mk1A,MiG-21
125,"Which Abu Dhabi-based company acquired a 41.2% stake in Sammaan Capital for ₹8,850 crore?",Mubadala Investment Company,Abu Dhabi Investment Authority (ADIA),International Holding Company (IHC),Avenir Investment RSC Ltd,Emirates Investment Authority,International Holding Company (IHC)
126,Which plant species is Andhra Pradesh Biodiversity Board conserving with NBA funding of ₹82 lakh?,Sandalwood,Banyan,Neem,Teak,Red Sanders,Red Sanders
127,What is the total investment commitment received under the Electronics Component Manufacturing Scheme (ECMS)?,"₹22,919 crore","₹45,000 crore",₹1.15 lakh crore,"₹91,600 crore","₹59,350 crore",₹1.15 lakh crore
128,Which organization signed an MoU with New Space India Limited to establish Direct Broadcast Network stations under Mission Mausam?,Indian Institute of Tropical Meteorology,India Meteorological Department,National Centre for Medium Range Weather Forecasting,Indian Space Research Organisation,Ministry of Earth Sciences,National Centre for Medium Range Weather Forecasting
129,What event did Union Minister Bhupender Yadav preside over related to environmental monitoring in New Delhi?,Launch of National Air Quality Index,51st Foundation Day of Central Pollution Control Board,India Water Quality Summit,National Environmental Science Congress,Launch of Green Energy Mission,51st Foundation Day of Central Pollution Control Board
130,Which company has partnered with Airbus to set up India’s first private- sector Final Assembly Line (FAL) for helicopters?,Hindustan Aeronautics Limited (HAL),Reliance Defence,Mahindra Aerospace,Tata Advanced Systems Limited (TASL),L&T Defence,Tata Advanced Systems Limited (TASL)
131,What is observed globally from October 1 to 31 to promote awareness about breast cancer?,World Cancer Month,Breast Cancer Awareness Month,Health and Wellness Month,Pink Ribbon Month,Women’s Health Month,Breast Cancer Awareness Month
132,What is observed on October 2 as the 19th International Day of Non- Violence?,World Peace Day,Global Harmony Day,Mahatma Gandhi Jayanti,Human Rights Day,International Day of Non-Violence,International Day of Non-Violence
133,Which organisation has provided a USD 190 million loan for the Indore Metro Rail Project?,World Bank,International Monetary Fund (IMF),New Development Bank (NDB),Japan International Cooperation Agency (JICA),Asian Development Bank (ADB),Asian Development Bank (ADB)
