Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
27,Who has become the youngest female to scale the highest peaks on all seven continents?,Malavath Purna,Kaamya Karthikeyan,Arunima Sinha,Bachendri Pal,Tashi Malik,Kaamya Karthikeyan
28,Rajat Verma has been appointed as the new CEO of which Bank?,DBS Bank India,Axis Bank,Yes Bank,HDFC Bank,ICICI Bank,DBS Bank India
29,What is the new deadline for implementing the transaction volume cap on UPI apps as per NPCI?,"December 31, 2024","December 31, 2025","December 31, 2026","December 31, 2027","December 31, 2028","December 31, 2026"
30,The Reserve Bank of India (RBI) has approved the reappointment of Anup Kumar Sinha as the Non-Executive Chairman of which Bank ?,ICICI Bank,Axis Bank,IndusInd Bank,HDFC Bank,Bandhan Bank,Bandhan Bank
31,"Reserve Bank of India (RBI) will Closed which type of Bank Accounts to Be starting January 1, 2025 ?",Dormant Accounts,Inactive Accounts,Zero Balance Accounts,Both Dormant and Inactive Accounts,"Dormant, Inactive and Zero Balance Accounts","Dormant, Inactive and Zero Balance Accounts"
32,"What is the projected GDP growth rate for India in FY25, according to the RBI report?",6.4%,6.6%,7.2%,7.4%,7.8%,6.6%
33,Who was awarded Bahrain's 'Medal of Efficiency' (First Class) by King Hamad bin Isa Al Khalifa?,Yusuf Ali M.A,Dr. Ravi Pillai,Mukesh Ambani,Sunil Bharti Mittal,Azim Premji,Dr. Ravi Pillai
34,Who has been appointed as the new Director General of the Central Reserve Police Force (CRPF)?,Kuldiep Singh,Subodh Jaiswal,Praveen Sood,Vitul Kumar,Sanjay Arora,Vitul Kumar
35,"The Ministry of Defence (MoD) has signed a contract with which company for DRDO-made Air Independent Propulsion (AIP) system worth nearly Rs 1,990 crore?",Cochin Shipyard Limited,Hindustan Shipyard,Garden Reach Shipbuilders & Engineers,Mazagon Dock Shipbuilders,None of these,Mazagon Dock Shipbuilders
36,What is the key achievement of the India-Australia Economic Cooperation and Trade Agreement (Ind-Aus ECTA) after completing two years?,Establishing a defense partnership,Advancing trade ties and creating opportunities for MSMEs and employment,Enhancing technological cooperation,Promoting cultural exchanges,Launching a joint space exploration program,Advancing trade ties and creating opportunities for MSMEs and employment
37,Karnataka Gov declared which day as Computer Operators’ Day ?,26 December,27 December,28 December,29 December,30 December,26 December
38,Who has been appointed as the new Secretary General of the Associated Chambers of Commerce and Industry of India (ASSOCHAM)?,Dilip Chenoy,Uday Shankar,Manish Singhal,Chandrajit Banerjee,Praveen Mittal,Manish Singhal
39,Which country is set to construct its largest nuclear plant for electricity generation after receiving approval from its atomic energy regulatory agency?,China,Pakistan,Bangladesh,Malaysia,None of these,Pakistan
40,Who has taken charge as the chief of the Indian Air Force’s Western Air Command?,Air Marshal Raghunath Nambiar,Air Marshal Jeetendra Mishra,Air Marshal Sandeep Singh,Air Marshal Balabhadra Radha Krishna,Air Marshal Vivek Ram Chaudhari,Air Marshal Jeetendra Mishra
41,Global Family Day is observed annually on which day ?,28 December,29 December,31 December,1 January,2 January,1 January
42,What is the name of the initiative launched by YES Bank and FICCI FLO to promote women entrepreneurs?,YES Women’s Empowerment,YES Power to Women,YES PowherUp,Women Entrepreneurship Drive,EmpowerHer,YES PowherUp
43,What is the GST collection in December ?,Rs.1.57 lakh crore,Rs.1.67 lakh crore,Rs.1.77 lakh crore,Rs.1.87 lakh crore,Rs.1.97 lakh crore,Rs.1.77 lakh crore
44,"Consider the following statement About proposed lookup facility for NEFT and RTGS: 
(a) Member banks are required to implement the facility by Januaruy 1, 2025.  
(b) The facility will allow users to verify the beneficiary’s name before initiating a transaction. 
(c) NPCI will develop the facility and onboard all banks. 
Which of the following statement is/are True? ",Only a,Only b,Both a and b,Both a and c,Both b and c,Both b and c
45,"Who released the “Report on Trend and Progress of Banking in India 2023- 24,” ?",RBI,SEBI,NABARD,SBI,IMF,RBI
46,What is the unique feature of the Undergraduate Minor Programme in Quantum Technologies announced recently in India?,It is the first UG program fully funded by private institutions,It is India’s first UG Minor Programme in Quantum Technologies,It focuses exclusively on theoretical physics,It is mandatory for all engineering students,It offers dual degrees in Quantum Computing and Artificial Intelligence,It is India’s first UG Minor Programme in Quantum Technologies
47,Who has recently been appointed as the CEO of the Unique Identification Authority of India (UIDAI)?,Sanjay Malhotra,Bhuvnesh Kumar,Amit Agrawal,Arvind Kumar,Rajesh Verma,Bhuvnesh Kumar
48,Who successfully launched the Space Docking Experiment (SpaDeX) mission ?,ISRO,DRDO,NASA,HAL,None of these,ISRO
49,PM CARES Fund created in which year ?,2014,2016,2018,2020,2021,2020
50,Which team won the 78th edition of the Santosh Trophy by defeating Kerala in the final?,West Bengal,Karnataka,Uttarakhand,Haryana,Maharashtra,West Bengal
51,Which state government has launched a 15 day reading campaign amongst students?,West Bengal,Karnataka,Uttarakhand,Haryana,Maharashtra,Maharashtra
52,Where has the Indian Army recently unveiled a grand statue of Chhatrapati Shivaji Maharaj ?,Siachen Glacier,"Galwan Valley, Ladakh","Tawang, Arunachal Pradesh","Leh, Ladakh","Pangong Tso, Ladakh","Pangong Tso, Ladakh"
53,Where was India’s first glass bridge over sea inaugurated?,Bengaluru,New Delhi,Chennai,Greater Noida,Gurugram,Chennai
54,The Income Tax Department has extended the deadline for the Vivad Se Vishwas Scheme 2024. What is the new deadline ?,31 January 2025,31 February 2025,31 March 2025,31 April 2025,31 May 2025,31 January 2025
55,Which organization has partnered with Vivifi Finance to launch a pilot project for providing unsecured loans to gig workers?,National Payments Corporation of India (NPCI),Small Industries Development Bank of India (SIDBI),Reserve Bank Innovation Hub (RBIH),Securities and Exchange Board of India (SEBI),Indian Banks’ Association (IBA),Reserve Bank Innovation Hub (RBIH)
56,Who has been appointed as the Chief Executive Officer of ITI Asset Management (ITI AML)?,Rajesh Bhatia,Suresh Kumar,Jatinder Pal Singh,Anil Jain,Rohit Sharma,Jatinder Pal Singh
57,What was the total value of UPI transactions in December 2024?,Rs 23.25 trillion,Rs 20.25 trillion,Rs 21.75 trillion,Rs 23 trillion,Rs 22 trillion,Rs 23.25 trillion
58,Which bank has introduced a TAB-based end-to-end digital onboarding process for Non-Resident Indians (NRIs) ?,Canara Bank,State Bank of India,HDFC Bank,UCO Bank,Axis Bank,State Bank of India
59,Which microfinance company has applied for a small finance bank (SFB) license under the ‘on tap’ licensing guidelines?,Ujjivan Small Finance Bank,Bandhan Bank,Janalakshmi Financial Services,Equitas Small Finance Bank,VFS Capital,VFS Capital
60,National Stock Exchange of India Limited (NSE) partners with which company to Empower Delivery Partners with Financial Literacy ?,Amazon,Flipkart,Google,Messho,Swiggy,Swiggy
61,Which year has India declared as the ‘Year of Reforms’ in the defence sector?,2024,2025,2026,2027,2030,2025
62,Where did Blinkit first launch its 10-minute ambulance service?,Bengaluru,New Delhi,Chennai,Greater Noida,Gurugram,Gurugram
63,Who released the book ‘Jammu Kashmir & Ladakh Through the Ages: A Visual Narrative of Continuities and Linkages’?,Anurag Thakur,Piyush Goyal,Narendra Modi,Dharmendra Pradhan,Amit Shah,Amit Shah
64,Which state becomes 5th state to provide 100% piped water supply to rural household ?,Punjab,Karnataka,Uttarakhand,Haryana,Maharashtra,Punjab
65,What is the total outlay approved by the Union Cabinet for the continuation of the Pradhan Mantri Fasal Bima Yojana (PMFBY) and the Restructured Weather Based Crop Insurance Scheme (RWBCIS) until 2025-26?,"Rs.42,415.71 Crore","Rs.52,500.71 Crore","Rs.69,515.71 Crore","Rs.73,415.71 Crore","Rs.80,165.71 Crore","Rs.69,515.71 Crore"
66,"India’s coffee exports have reached a remarkable milestone, achieving a record _ between April and November of FY24 .",$1.04 billion,$1.14 billion,$2.10 billion,$3.15 billion,$2.25 billion,$1.14 billion
67,Which institution has partnered with the Union Ministry of Agriculture and Farmers Welfare to enhance the agricultural extension system?,IIT Guwahati,IIT Delhi,IIT Madras,IIT Indore,IIT Roorkee,IIT Madras
68,"Which country introduced a new tourist tax, replacing the earlier resort fee from January 1, 2025 ?",United States,China,India,Japan,Russia,Russia
69,Which team won their first-ever Pro Kabaddi League (PKL) title?,Patna Pirates,Jaipur Pink Panthers,Bengaluru Bulls,Haryana Steelers,U Mumba,Haryana Steelers
70,World Introvert Day celebrated on which day ?,1 January,2 January,3 January,4 January,5 January,3 January
71,International Mind-Body Wellness Day celebrated on which day ?,1 January,2 January,3 January,4 January,5 January,3 January
72,Which state signed an MOU with State Bank of India (SBI) and Union Bank of India (UBI) to offer insurance benefits to state government employees ?,Tripura,Sikkim,Assam,Arunachal Pradesh,Meghalaya,Assam
73,Which bank Enhances Digital Rupee App with Accessibility Features ?,Karnataka Bank,Central Bank of India,Indian Overseas Bank,Union Bank of India,Punjab & Sind Bank,Union Bank of India
74,What are the Interest rate on Saving deposits for Jan-March 2025 ?,3%,3.25%,3.75%,4%,4.25%,4%
75,What is the name of the transaction banking platform launched by Federal Bank?,FinnAxia,FedOne,SmartBank,FedPay,E-Banking,FedOne
76,The Central Board of Indirect Taxes and Customs (CBIC) has provided guidance on the GST treatment of which type of transactions?,Real estate transactions,Vouchers,Cross-border transactions,Capital goods,Input tax credit adjustments,Vouchers
77,Who has been appointed as the chief of the Directorate General of Civil Aviation (DGCA)?,Faiz Ahmed Kidwai,Rajiv Bansal,Sanjeev Kumar,Arun Kumar,Ajay Kumar Bhalla,Faiz Ahmed Kidwai
78,How much aid has the Government of India announced for the quake-hit nation of Vanuatu?,$5 lakh,$10 lakh,$15 lakh,$20 lakh,$25 lakh,$5 lakh
79,Who among the following has not been selected for the 2024 Major Dhyan Chand Khel Ratna Award?,Harmanpreet Singh,Vantika Agrawal,Praveen Kumar,Manu Bhaker,Gukesh D,Vantika Agrawal
80,Who has been appointed as the Chairman and Managing Director (CMD) of the Food Corporation of India (FCI)?,Faiz Ahmed Kidwai,Anil Kumar Gupta,Ashutosh Agnihotri,Arun Kumar,Ajay Kumar Bhalla,Ashutosh Agnihotri
81,"The Union Cabinet, chaired by Prime Minister Narendra Modi, has approved the extension of One-time Special Package on Di-Ammonium Phosphate (DAP). It belongs to which Department ?",Department of Higher Education,Department of Official Language,Department of Fertilizers,Department for Promotion of Industry and Internal Trade,Department of Consumer Affairs,Department of Fertilizers
82,Whom did Jyoti Sharma succeed as the CEO of Nasscom Foundation?,Nandan Nilekani,Arundhati Bhattacharya,Nidhi Bhasin,Falguni Nayar,Shikha Sharma,Nidhi Bhasin
83,On which day 67th Foundation Day of DRDO is celebrated ?,1 January 2025,2 January 2025,3 January 2025,4 January 2025,5 January 2025,2 January 2025
84,World Braille Day celebrated on which day ?,1 January,2 January,3 January,4 January,5 January,4 January
85,"Who has approved the voluntary merger of The National Co-operative Bank Ltd., Bangalore (Karnataka) with Cosmos Co-operative Bank Limited (Maharashtra)?",NABARD,RBI,EPFO,SEBI,NPCI,RBI
86,"Which bank has launched the deposit schemes ""Har Ghar Lakhpati"" and “ Patrons""?",Canara Bank,State Bank of India,HDFC Bank,UCO Bank,Axis Bank,State Bank of India
87,What is the current rural poverty ratio in India as per the SBI report for FY 2023-24?,3.25%,4.25%,4.86%,4.75%,5.5%,4.86%
88,Punjab & Sind Bank will launch an instant loan scheme for the MSME sector. What is the maximum loan amount under the instant loan scheme for the MSME sector by Punjab & Sind Bank?,Rs 5 lakh,Rs 10 lakh,Rs 15 lakh,Rs 20 lakh,Rs 25 lakh,Rs 25 lakh
89,What is the Rank of India in Global Aging Index ?,120,121,122,123,124,123
90,Which is the first state to link forest ecosystem with Green GDP ?,Tripura,Jammu and Kashmir,Nagaland,Bihar,Chhattisgarh,Chhattisgarh
91,What is the name of the flagship initiative launched by the Mira Bhayandar Municipal Corporation (MBMC) to empower women entrepreneurs?,Sakhi Yojana,Women Entrepreneurs Program,Faral Sakhi,Mahila Udyog,Nari Shakti Initiative,Faral Sakhi
92,"First phase of the ‘One Nation, One Subscription (ONOS)’ launched by which ministry ?",Union Ministry of Home Affairs,Union Ministry of Education,"Union Minister of Ports, Shipping and Waterways","Union Ministry of Micro, Small and Medium Enterprises","Ministry of Environment, Forest and Climate Change",Union Ministry of Education
93,When was India’s 4th Biennial Update Report (BUR-4) submitted to the UNFCCC?,1st January 2025,15th December 2024,25th November 2024,30th December 2024,31st December,30th December 2024
94,Who won the Padmapani Lifetime Achievement Award recently?,Shyam Benegal,Sai Paranjpye,Mira Nair,Zoya Akhtar,Vishal Bhardwaj,Sai Paranjpye
95,Who launched the revamped ‘Baanknet’ portal?,Finance Minister Nirmala Sitharaman,RBI Governor Shaktikanta Das,Financial Services Secretary M Nagaraju,Economic Affairs Secretary Ajay Seth,Revenue Secretary Sanjay Malhotra,Financial Services Secretary M Nagaraju
96,"Who was K S Manilal, who recently passed away in Thrissur ?",historian,botanist,physician,zoologist,geologist,botanist
97,Which city will be the headquarters of the newly proposed 69th Railway Division of Indian Railways?,Pathankot,Amritsar,Srinagar,Jammu,Firozpur,Jammu
98,National Bird Day is celebrated every year on which day ?,4 January,5 January,6 January,7 January,8 January,5 January
99,World Day of War Orphans celebrated on which Day ?,4 January,5 January,6 January,7 January,8 January,6 January
100,Which company has launched the “Digit Glow Term Life Insurance” plan?,Bajaj Allianz General Insurance,ICICI Prudential Life Insurance,Kotak Mahindra Life Insurance,Go Digit Life Insurance,Magma HDI General Insurance,Go Digit Life Insurance
101,Employees’ Provident Fund Organisation (EPFO) established in which year ?,1952,1958,1999,1985,1949,1952
102,"IndiaBonds.com, a SEBI-registered Stock Broker (Debt Segment) and licensed Online Bond website Provider (OBPP), now offers Digital Fixed Deposits (FDs) on its website. What is the maximum interest rate available on fixed deposit investments made through IndiaBonds.com?",5.5%,6.5%,7.4%,8.4%,9.4%,9.4%
103,Who recently assumed command of the Base Repair Depot (BRD) at Tughlakabad?,Air Commodore Rishi Seth,Air Commodore Debakinandan Sahu,Air Commodore Arvind Kumar,Air Vice Marshal Rajeev Gupta,Wing Commander Anil Sharma,Air Commodore Debakinandan Sahu
104,"Who inaugurates Delhi-Meerut Namo Bharat RRTS line worth Rs 4,600 crore ?",Anurag Thakur,Piyush Goyal,Narendra Modi,Dharmendra Pradhan,Amit Shah,Narendra Modi
105,Who launched the BHARATPOL portal developed by the Central Bureau of Investigation in New Delhi ?,Anurag Thakur,Piyush Goyal,Narendra Modi,Dharmendra Pradhan,Amit Shah,Amit Shah
106,"Consider the following Statement About Pravasi Bharatiya Divas Convention 2025 : 
(a)The 18th Pravasi Bharatiya Divas (PBD Convention 2025), will be held at New Delhi.
(b) The theme of this three-day convention is “The Diaspora’s Contribution to a Viksit Bharat”. 
(c) Prime Minister Narendra Modi will inaugurate the PBD Convention. 
Which of the following Statement is/are True ?",Only a,Both a and b,Both b and c,Only b,Only c,Both b and c
107,Who won the Men’s 10-meter Air Pistol finals at the 67th National Shooting Championship 2024?,Saurabh Chaudhary,Abhishek Verma,Varun Tomar,Divyansh Singh Panwar,Anish Bhanwala,Varun Tomar
108,Rishi Dhawan has announced his retirement recently. He is related to which sport?,Cricket,Football,Shooting,Badminton,tennis,Cricket
109,How many individuals were honored with the Presidential Medal of Freedom in this ceremony?,12,15,17,19,22,19
110,"The latest edition of Asia's largest biannual air show and aviation exhibition, Aero India 2025, will take place in which city ?",Bengaluru,New Delhi,Chennai,Greater Noida,Gurugram,Bengaluru
111,India’s first coastal and wader bird census held in which state ?,Uttar Pradesh,Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,Gujarat
112,"Rajiv Ranjan Singh, Union Minister of Animal Husbandry and Fisheries, has opened the country's first organic fisheries cluster in which state ?",Arunachal Pradesh,Sikkim,Himachal Pradesh,Maharashtra,Uttarakhand,Sikkim
113,Dr Rajagopala Chidambaram passed away at the age of 88. He joined Bhabha Atomic Research Centre in which year ?,1950,1988,1954,1962,1960,1962
114,Earth’s Rotation Day is observed every year on which day ?,4 January,5 January,6 January,7 January,8 January,8 January
115,Who has been appointed as the Managing Director (MD) and Chief Executive Officer (CEO) of TATA AIG General Insurance Company?,Rajesh Bansal,Sanjay Gupta,Amit Ganorkar,Ramesh Kumar,Piyush Tiwari,Amit Ganorkar
116,What is the projected GDP growth rate for India in the fiscal year 2024-25 as per the first advance estimates?,5.6%,5.8%,6%,6.4%,7.2%,6.4%
117,"Bajaj Broking, the broking arm of Bajaj Finance Ltd., has partnered with which Bank to introduce a comprehensive 3-in-1 account solution ?",South Indian Bank,Axis Bank,Tamilnad Mercantile Bank,Punjab National Bank,Karur Vyasya Bank,Tamilnad Mercantile Bank
118,"Nitin Gadkari, Union Minister of traffic Transport and Highways, has announced a new plan that will provide cashless treatment to traffic accident victims. What is the maximum financial help provided by the new cashless treatment system for road accident victims?",Rs 1.5 lakh,Rs 2 lakh,Rs 2.5 lakh,Rs 3 lakh,Rs 3.5 lakh,Rs 1.5 lakh
119,Which state has launched the 'Atlas of Indian Wolf Habitats ‘ ?,Uttar Pradesh,Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,Gujarat
120,India signed MOU with which country on Non-Basmati White Rice Trade ?,Indonesia,Sweden,Bhutan,Mauritius,Dubai,Indonesia
121,Who has inaugurated the Gandhi Darshan Art Gallery at Rajghat in New Delhi?,Draupadi Murmu,Narendra Modi,Om Birla,S Jaishankar,None of these,Om Birla
122,Prabowo Subianto has formally accepted New Delhi's invitation to be the chief guest at the 2025 Republic Day parade. He is the President of which country ?,Indonesia,Sweden,Bhutan,Mauritius,Dubai,Indonesia
123,Which state has installed the ‘SSI Mantra (Multi-Arm Novel Tele Robotic Assistance) surgical robot’ ?,Uttar Pradesh,Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,Maharashtra
124,Which organization approved ‘Nadi Tarangini’ for use as a medical device?,Indian Council of Medical Research (ICMR),World Health Organization (WHO),Central Drugs Standard Control Organization (CDSCO),Ministry of AYUSH,National Accreditation Board for Hospitals (NABH),Central Drugs Standard Control Organization (CDSCO)
125,"PLI scheme for Specialty Steel, termed as PLI Scheme 1.1 Launched by which ministry ?",Union Ministry of Home Affairs,Union Ministry of Education,Union Ministry of Steel and Heavy Industries,"Union Ministry of Micro, Small and Medium Enterprises","Ministry of Environment, Forest and Climate Change",Union Ministry of Steel and Heavy Industries
126,What is the Rank of India in Threat Landscape Report 2024 Published by CloudSEK ?,1st,2nd,3rd,4th,5th,2nd
127,Council of Scientific and Industrial Research (CSIR) established in which year ?,1947,1942,1956,1958,1962,1942
128,Who has been elected as the new President of the Athletics Federation of India (AFI)?,Milkha Singh,PT Usha,Bahadur Singh Sagoo,Neeraj Chopra,Abhinav Bindra,Bahadur Singh Sagoo
129,"In January 2024, the e-Shram portal has been upgraded in how many languages?",12,18,15,20,22,22
130,Who has been appointed as the Deputy Managing Director and Group Chief Risk Officer of the State Bank of India (SBI)?,Rajnish Kumar,Arundhati Bhattacharya,Baldev Prakash,Dinesh Khara,P K Gupta,Baldev Prakash
131,Export-Import Bank of India established in which year ?,1982,1985,1989,1995,1998,1982
132,What was the theme of the 3rd edition of the Reserve Bank of India’s Global Hackathon?,Financial Inclusion and Literacy,Zero Financial Frauds and Being Divyang Friendly,Digital Banking Transformation,AI and Blockchain Innovations,Enhancing Rural Banking Services,Zero Financial Frauds and Being Divyang Friendly
133,"Who maintains the Floating Rate Savings Bonds (Taxable) FRSB interest rate at 8.05% from January 1 to June 30, 2025 ?",NABARD,RBI,EPFO,SEBI,NPCI,RBI
134,"Who is set to become the next chairman of the Indian Space Research Organisation (ISRO) on January 14, 2025?",Dr. K Sivan,Dr. V Narayanan,Dr. A S Kiran Kumar,Dr. Sivanathan,Dr. M Annadurai,Dr. V Narayanan
135,Which edition of Ammunition- Cum TorpedoCum Missile (ACTCM) Barge conducted by Indian Navy ?,4th,5th,7th,8th,10th,8th
136,"Who has been appointed as the Secretary of the Department of Revenue, Ministry of Finance?",Ajay Seth,Tuhin Kanta Pandey,Rajiv Kumar,Tarun Bajaj,Sanjay Malhotra,Tuhin Kanta Pandey
137,What percentage of the budgetary allocation was utilized by Indian Railways for capital expenditure in FY25?,45%,55%,60%,76%,84%,76%
138,"Inauguration of the Adivasi Mela 2025, ahead of the Pravasi Bharatiya Divas(PBD) program, at the Exhibition Grounds in which state ?",Kerala,Tamil Nadu,Odisha,Andhra Pradesh,Telangana,Odisha
139,Which country Joins BRICS as 10th Full Member ?,Indonesia,Sweden,Bhutan,Mauritius,Dubai,Indonesia
140,"As the year 2025 brought upon the world the ‘Generation Beta’, India got its first baby of this generation on New Year ’s Day, January 1 in which state ?",Tripura,Mizoram,Assam,Manipur,Meghalaya,Mizoram
141,In which city was the British Junior Open 2024 held?,London,Manchester,Edinburgh,Glasgow,Birmingham,Birmingham
142,Martin Guptill announced his retirement from international cricket at the age of 38. He is from which country?,England,New Zealand,Australia,South Africa,Ireland,New Zealand
143,Agnes Keleti was the world’s oldest living Olympic gold medalist in which sport?,Tennis,Gymnastic,Badminton,Wushu,Archery,Gymnastic
144,Mirae Asset Investment Managers (India) Pvt. Ltd. has launched a new fund named Mirae Asset Smallcap Fund. Which of the following statements about the fund is correct?,It is an open-ended equity scheme focusing on smallcap stocks,It primarily invests in large-cap stocks to ensure stability,The fund exclusively focuses on midcap stocks,It is a closed-ended debt scheme targeting short-term investments,It aims to invest in both smallcap and cryptocurrency markets,It is an open-ended equity scheme focusing on smallcap stocks
145,ICICI Lombard General Insurance has partnered with __ to offer insurance cover for people travelling to the Maha Kumbh Mela.,Paytm,Cashfree,PhonePe,Google Pay,Razorpay,PhonePe
146,Microfinance Institutions Network established in which year ?,2003,2005,2009,2010,2011,2009
147,What is the revised GDP growth forecast for India by SBI for FY25?,6.1%,6.2%,6.3%,6.4%,6.5%,6.3%
148,Which state has launched the ‘Bima Sakhi Yojana’ recently ?,Himachal Pradesh,Maharashtra,Goa,Punjab,Gujarat,Goa
149,"According to a United Nations report, by what percentage is the Indian economy expected to expand in 2025?",6.4%,6.6%,6.8%,7%,7.2%,6.6%
150,Study in India (SII) portal Launched in which year ?,2016,2018,2019,2021,2022,2018
151,What is the Rank of India in Henley Passport Index 2025 Published by Henley ?,78th,80th,82nd,84th,85th,85th
152,Which IIT has successfully commissioned Asia’s largest shallow wave basin at its Discovery campus in Thaiyur ?,IIT Guwahati,IIT Delhi,IIT Madras,IIT Indore,IIT Roorkee,IIT Madras
153,Which wars did Havaldar (retd) Baldev Singh participate in?,Four wars against Pakistan,Two wars against Pakistan and one against China,Three wars against Pakistan and one peacekeeping mission,One war against Pakistan and the Kargil conflict,Only one war during the 1965 India-Pakistan conflict,Four wars against Pakistan
154,"Which state has launched the first phase of its flagship education evaluation programme, Gunotsav 2025 ?",Tripura,Mizoram,Assam,Manipur,Meghalaya,Assam
155,What is the name of the initiative launched by NITI Aayog's Women Entrepreneurship Platform (WEP) in collaboration with New Shop?,EmpowHER Biz – Sapno Ki Udaan,Women on the Rise,Empower Women Entrepreneurs,Sapne Saakar – Women in Business,Entrepreneurial Growth for Women,EmpowHER Biz – Sapno Ki Udaan
156,India and which country have announced a strategic partnership aimed at co-producing sonobuoys for Undersea Domain Awareness (UDA) within the Indian Navy ?,Spain,China,USA,France,UK,USA
