Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
23,"According to SEBI's new mechanism, what is the minimum investment threshold for Specialized Investment Funds (SIF)?",Rs.5 lakh,Rs.7 lakh,Rs.10 lakh,Rs.15 lakh,Rs.20 lakh,Rs.10 lakh
24,Which global financial institutions did LIC sign USD 1 billion worth of Forward Rate Agreements (FRAs) with in 2025?,Goldman Sachs and HSBC,Citi Bank and UBS,JPMorgan Chase & Bank of America,Barclays and Credit Suisse,Deutsche Bank and Wells Fargo,JPMorgan Chase & Bank of America
25,How many crore digital payment transactions did India log between FY19 and FY25?,"45,000","55,000","60,000","65,000","75,000","65,000"
26,"Who delivered the keynote address at the 20th edition of the ""Re-imagining Governance: Discourse for Excellence (RGDE)"" series hosted by PDUNASS under EPFO?",Naseeruddin Shah,Adil Hussain,Rajkummar Rao,Anupam Kher,Pankaj Tripathi,Adil Hussain
27,How many smart classrooms have been approved under the Samagra Shiksha Scheme across India?,"96,000","1,25,040","1,46,040","1,38,500","1,56,000","1,46,040"
28,What is the name of the scheme launched by the Ministry of Culture to promote scientific temper and awareness through the establishment of Science Centres in India?,Vigyan Bharat Abhiyan,Science for Society Scheme,Scheme for Advancement of Science & Technology,Scheme for Promotion of Culture of Science (SPoCS),National Scientific Awareness Mission,Scheme for Promotion of Culture of Science (SPoCS)
29,"What is the total amount of the 20th installment of the PM-Kisan scheme to be released by PM Modi on August 2, 2025?","Rs.15,000 crore","Rs.18,500 crore","Rs.20,500 crore","Rs.25,000 crore","Rs.22,000 crore","Rs.20,500 crore"
30,"When was the Indian Hockey Federation (IHF), the national body for hockey, officially formed?","January 26, 1930","November 7, 1925","August 15, 1947","October 2, 1924","December 18, 1926","November 7, 1925"
31,Which two initiatives were presented in the 29th National Good Governance Webinar under the theme ‘Innovation – State’ as winners of the PM’s Award for Excellence in Public Administration 2024?,e-Sanjeevani and KAVACH,"UK-GAMS and Shiksha Setu, Axom",Jal Shakti Abhiyan and Digital Gram,Mission Buniyaad and Pragati Path,Poshan Tracker and e-Vidya,"UK-GAMS and Shiksha Setu, Axom"
32,India recently signed a Maritime Security and Safety Cooperation agreement with which country during the 13th JDCC meeting?,Saudi Arabia,Oman,United Arab Emirates,Qatar,Bahrain,United Arab Emirates
33,Which organization signed an MoU with Ather Energy to boost startups under the Build in Bharat initiative?,DPIIT,Ministry of Power,Ministry of Road Transport,NITI Aayog,Invest India,DPIIT
34,Which team won the 14th UEFA European Women’s Championship (Women’s Euro Cup) in 2025 by defeating the defending World Champions Spain?,Germany,France,Netherlands,Sweden,England,England
35,"In which district of Bihar is the newly constructed “Buddha Samyak Darshan Museum and Memorial Stupa” located, which is being inaugurated by CM Nitish Kumar?",Nalanda,Gaya,Patna,Vaishali,Rajgir,Vaishali
36,"As of 29 July 2025, which Indian Chief Minister holds the record for the longest continuous tenure in office in Uttar Pradesh?",Mulayam Singh Yadav,Mayawati,Govind Ballabh Pant,Yogi Adityanath,Akhilesh Yadav,Yogi Adityanath
37,"As per the article, what penalty has the US added on top of the 25% tariffs imposed on Indian goods?",Penalty for exporting to Europe,Penalty for buying Chinese goods,Penalty for oil import from Iran,Penalty for buying arms and oil from Russia,Penalty for trade with ASEAN nations,Penalty for buying arms and oil from Russia
38,What are BHISHM cubes recently gifted by India to the Maldives on its 60th Independence Day?,Indigenous mobile hospital units,Mobile library units,Disaster relief drones,Renewable energy kits,Smart classroom kits,Indigenous mobile hospital units
39,"Which Indian state became the first to launch a statewide, evidence-based anti-drug curriculum in government schools starting August 1, 2025?",Delhi,Maharashtra,Punjab,Kerala,Gujarat,Punjab
40,Who launched the Sanchar Saathi mobile app in multiple Indian languages to combat telecom frauds?,Ashwini Vaishnaw,Nirmala Sitharaman,Jyotiraditya Scindia,Rajeev Chandrasekhar,Amit Shah,Jyotiraditya Scindia
41,"What is the name of India’s first quasi-ballistic missile, successfully tested by DRDO from Dr APJ Abdul Kalam Island in Odisha?",Agni Prime,Shaurya,Pralay,Sagarika,Prahaar,Pralay
42,Which country has announced a ban on YouTube accounts for children under 16 starting from December 2025?,Canada,United States,Germany,United Kingdom,Australia,Australia
43,Which Indian state has declared August 7 as “Sustainable Agriculture Day” to honor the legacy of Dr. M.S. Swaminathan?,Maharashtra,Punjab,Tamil Nadu,Karnataka,Haryana,Maharashtra
44,What is the main objective of the “Saksham Niveshak” campaign launched by IEPFA in July 2025?,Promoting investment in mutual funds,Attracting foreign portfolio investors,Creating awareness about unclaimed dividends and assisting shareholders in reclaiming them,Promoting digital currency among investors,Funding start-ups through equity investments,Creating awareness about unclaimed dividends and assisting shareholders in reclaiming them
45,What was the weighted average lending rate (WALR) on fresh rupee loans of scheduled commercial banks (SCBs) in June 2025?,9.20%,8.62%,9.48%,8.75%,7.99%,8.62%
46,"As per RBI's revised guidelines effective from January 1, 2026, what is the maximum total investment limit that all regulated entities (REs) can contribute to a single AIF scheme?",5%,10%,15%,20%,25%,20%
47,What is the name of the baby star around which astronomers observed the formation of a new solar system for the first time?,Orion-X,Proxima-C,HOPS-315,Vega-2,Sirius-B,HOPS-315
48,"What is the primary objective of the Bills of Lading Bill, 2025 passed by the Indian Parliament?",Increase customs duties on shipping goods,Introduce subsidies for Indian shipping companies,"Replace the colonial-era Indian Lading Act, 1856 with a simplified legal framework",Establish a new ministry for maritime affairs,Mandate only digital bills of lading,"Replace the colonial-era Indian Lading Act, 1856 with a simplified legal framework"
49,Who has been appointed as the new Director General (DG) of Sashastra Seema Bal (SSB)?,Sanjay Singhal,Rajiv Singh,Amrit Mohan Prasad,V. S. Yadav,Kuldiep Singh,Sanjay Singhal
50,How much total grant-in-aid has the Union Cabinet approved for the National Cooperative Development Corporation (NCDC) under the new Central Sector Scheme for 2025–29?,"Rs.1,000 crore","Rs.1,500 crore","Rs.2,000 crore","Rs.2,500 crore","Rs.5,000 crore","Rs.2,000 crore"
51,"Where is the Bahmani (Gulbarga) Fort, known for housing the world’s longest cannon, located?",Maharashtra,Telangana,Andhra Pradesh,Karnataka,Madhya Pradesh,Karnataka
52,When did the Ministry of Skill Development and Entrepreneurship observe the Swachhata Pakhwada campaign in 2025?,1st July to 15th July 2025,16th July to 31st July 2025,1st August to 15th August 2025,5th June to 20th June 2025,10th July to 25th July 2025,16th July to 31st July 2025
53,Where will the IUCN World Conservation Congress 2025 be hosted?,"Geneva, Switzerland","Nairobi, Kenya","Paris, France","Abu Dhabi, UAE","Tokyo, Japan","Abu Dhabi, UAE"
54,What is the name of the counter-infiltration mission conducted by the Indian Army in Poonch to eliminate terrorists trying to cross the LoC?,Operation SuryaShakti,Operation Mahadev,Operation Sarvashakti,Operation Trinetra,Operation ShivShakti,Operation ShivShakti
55,Which two Indian texts were recently inscribed in the UNESCO Memory of the World International Register?,Vedas and Manusmriti,Upanishads and Arthashastra,Bhagavad Gita and Natyashastra,Ramayana and Mahabharata,Charaka Samhita and Yoga Sutras,Bhagavad Gita and Natyashastra
56,What is the name of the sixth Adamya-class Fast Patrol Vessel (FPV) launched by Goa Shipyard Limited for the Indian Coast Guard?,ICGS Akshar,ICGS Amulya,ICGS Achal,ICGS Atal,ICGS Akshay,ICGS Atal
57,On which railway section was the indigenously developed Kavach 4.0 first commissioned in India?,Mumbai–Pune section,Delhi–Ambala section,Howrah–Kharagpur section,Mathura–Kota section,Secunderabad–Hyderabad section,Mathura–Kota section
58,Who set a new world record by performing Bharatanatyam continuously for 170 hours in July 2025?,Sudhir Jagpath,Remona Evette Pereira,Sri Vidya,Meenakshi Iyer,Rukmini Devi Arundale,Remona Evette Pereira
59,Which Indian state received the Centre's nod for the country’s first AI-based road safety pilot project?,Maharashtra,Gujarat,Karnataka,Uttar Pradesh,Tamil Nadu,Uttar Pradesh
60,"Who is the author of the book ""The Man Who Became Cinema"", which deconstructs Dilip Kumar’s acting method?",Yasir Usman,Ashok Chopra,Anupama Chopra,Bhawana Somaaya,Rauf Ahmed,Ashok Chopra
61,"According to the SOFI 2025 report, what was the estimated percentage of global hunger in 2024?",7.0%,8.2%,9.5%,10.1%,11.3%,8.2%
62,"According to the new trade deal, what flat tariff rate will the US impose on most goods exported from the European Union?",10%,12%,15%,20%,25%,15%
63,What is the primary aim of the Setubandha Scholar Scheme launched by the Ministry of Education?,Promote foreign language education,Integrate traditional scholars into IIT research ecosystem,Offer scholarships to engineering toppers,Support startups in Sanskrit learning,Fund international conferences in humanities,Integrate traditional scholars into IIT research ecosystem
64,"As per the recent announcement by Bihar CM Nitish Kumar, what is the revised incentive amount for ASHA workers?","Rs.1,000","Rs.1,500","Rs.2,000","Rs.3,000","Rs.3,500","Rs.3,000"
65,Which eminent Indian-born economist and UK House of Lords member passed away at the age of 85 in 2025?,Amartya Sen,Meghnad Desai,Raghuram Rajan,Kaushik Basu,Jagdish Bhagwati,Meghnad Desai
66,What new customer authentication method has India Post Payments Bank (IPPB) introduced for secure transactions?,Voice recognition authentication,Iris scan authentication,Face authentication using Aadhaar,Smart card authentication,Palm vein recognition,Face authentication using Aadhaar
67,"The Banking Laws (Amendment) Act, 2025, which introduces key reforms across five major banking legislations, came into effect from which date?",1st July 2025,1st August 2025,15th August 2025,1st September 2025,30th June 2025,1st August 2025
68,"What is a new filter introduced under the revised Enhanced Surveillance Mechanism (ESM) framework for companies with market capitalisation under Rs.1,000 crore?",Debt-to-equity ratio filter,Promoter holding filter,Price-to-earnings ratio filter,Volume-to-market-cap ratio filter,Dividend payout ratio filter,Price-to-earnings ratio filter
69,Who has been appointed as the new Vice-Chief of the Army Staff of India?,Lt. Gen. N.S. Raja Subramani,Lt. Gen. Anil Chauhan,Lt. Gen. Pushpendra Singh,Lt. Gen. R.P. Kalita,Lt. Gen. Manoj Pande,Lt. Gen. Pushpendra Singh
70,Which shipyard delivered the stealth frigate Himgiri (Yard-3022) to the Indian Navy under Project 17A?,Mazagon Dock Shipbuilders Limited,Hindustan Shipyard Limited,Cochin Shipyard Limited,Garden Reach Shipbuilders & Engineers,Goa Shipyard Limited,Garden Reach Shipbuilders & Engineers
71,Which Indian state made it mandatory to register borewells and imposed charges on groundwater extraction starting July 2025?,Maharashtra,Karnataka,Tamil Nadu,Gujarat,Andhra Pradesh,Karnataka
72,What is the total estimated cost of the recently approved railway multi- tracking projects across 6 states?,"Rs.10,500 crore","Rs.11,169 crore","Rs.12,000 crore","Rs.9,574 crore","Rs.13,829 crore","Rs.11,169 crore"
73,The recently signed GENIUS Act in the US provides a federal framework for which of the following digital financial instruments?,Central Bank Digital Currencies,Crypto ETFs,Stablecoins,NFTs,Digital Bonds,Stablecoins
74,"What is the total approved outlay for the Pradhan Mantri Kisan SAMPADA Yojana (PMKSY) during the 15th Finance Commission Cycle (FCC), as per the recent Union Cabinet decision?",Rs.4520 crores,Rs.5620 crores,Rs.6520 crores,Rs.7200 crores,Rs.8120 crores,Rs.6520 crores
75,Who has been appointed as the new Managing Director of IFFCO after US Awasthi’s term ended?,Ramesh Chand,KJ Patel,Suresh Narayanan,Rajeev Sinha,Anil Kumar,KJ Patel
76,What is the name of the first scientifically authenticated monofloral lavender honey developed in India?,Aroma Gold,Pulwama Nectar,Lavender Delight,Lavender Honey,Himalayan Bloom,Lavender Honey
77,What is the primary objective of the 'Benevolence Fund' established by the All India Football Federation (AIFF)?,To sponsor international football events,To provide medical and financial assistance to retired football community members,To reward best performing teams annually,To fund AIFF infrastructure projects,To train new referees and coaches,To provide medical and financial assistance to retired football community members
78,Where was India’s first-ever Grassland Bird Census conducted between March and May 2025?,Jim Corbett National Park,Keoladeo National Park,Kaziranga National Park,Gir National Park,Bharatpur Bird Sanctuary,Kaziranga National Park
79,"Who is the author of the upcoming biography ""M S Swaminathan: The Man Who Fed India""?",Harper Lee,Priyambada Jayakumar,Shashi Tharoor,Gurcharan Das,Ramachandra Guha,Priyambada Jayakumar
80,What is the primary objective of the recently adopted New York Declaration by the United Nations?,Establishing global climate action targets,Creating a demilitarised Palestinian state alongside Israel,Promoting international trade regulations,Declaring Gaza as a UN-administered territory,Imposing sanctions on countries violating human rights,Creating a demilitarised Palestinian state alongside Israel
81,Which of the following universities was recently issued a Letter of Intent (LoI) to set up a campus in India as per the Union Education Ministry's announcement at ABSS 2025?,Harvard University,University of Southampton,Yale University,Stanford University,Western Sydney University,Western Sydney University
82,"T. N. Manoharan, who recently passed away, was associated with which of the following institutions as Chairman at the time of his demise?",Reserve Bank of India,Canara Bank,ICICI Bank,Lakshmi Vilas Bank,IDBI Bank,IDBI Bank
83,"Pramila Medhe, who recently passed away, was associated with which of the following organisations as its Chief?",Bharatiya Janata Party,Rashtriya Swayamsevak Sangh,Vishwa Hindu Parishad,Akhil Bharatiya Vidyarthi Parishad,Rashtra Sevika Samiti,Rashtra Sevika Samiti
84,What is the new extended implementation date for Phase-III of SEBI’s new nomination framework in the securities market?,"September 1, 2025","October 31, 2025","November 30, 2025","December 15, 2025","January 1, 2026","December 15, 2025"
85,What was the total GST collection reported for July 2025?,Rs.1.83-lakh crore,Rs.1.89-lakh crore,Rs.1.96-lakh crore,Rs.2.01-lakh crore,Rs.1.76-lakh crore,Rs.1.96-lakh crore
86,"As per DIPAM, what is the total percentage of stake that the Government and LIC will divest in IDBI Bank?",49.24%,45.48%,94.72%,60.72%,30.24%,60.72%
87,What is the concessional government guarantee fee notified by the Finance Ministry for NaBFID’s borrowings from multilateral and foreign institutions?,0.05%,0.1%,0.5%,1%,2%,0.1%
88,What was the total number of UPI transactions recorded in July 2025?,18.40 billion,25.08 billion,19.47 billion,20.20 billion,22.35 billion,19.47 billion
89,"According to S&P Global, India’s Manufacturing PMI in July 2025 reached a 16-month high of how much?",55.3,57.2,58.4,59.1,60.5,59.1
90,"As per Union Minister Rajiv Ranjan Singh, what is India’s rank in global fish production?",First,Second,Third,Fourth,Fifth,Second
91,Who has been appointed as the 13th Prime Minister of Myanmar in the newly formed government?,Win Myint,Aung San Suu Kyi,Than Shwe,Htin Kyaw,U Nyo Saw,U Nyo Saw
92,Who won the Best Actor award in a leading role at the 71st National Film Awards?,Salman Khan & Ranbir Kapoor,Shah Rukh Khan & Ranveer Singh,Shah Rukh Khan & Vikrant Massey,Vikrant Massey & Ayushmann Khurrana,Ranbir Kapoor & Vikrant Massey,Shah Rukh Khan & Vikrant Massey
93,Who was conferred with the 43rd Lokmanya Tilak National Award in 2025?,Sudha Murty,Narendra Modi,Nitin Gadkari,Sharad Pawar,Dr. K. Kasturirangan,Nitin Gadkari
94,What is the name of the first joint Earth observation mission launched by ISRO and NASA?,RISAT-2BR1,Cartosat-3,NISAR,Oceansat-3,SARal,NISAR
95,What is the initial funding amount allocated by the Tamil Nadu government for the new semiconductor facility in collaboration with IIT Madras?,Rs.500 crore,Rs.250 crore,Rs.100 crore,Rs.150 crore,Rs.75 crore,Rs.100 crore
96,What is the name of the green legacy initiative launched under the ‘Ek Ped Maa Ke Naam’ programme in the Aravalli Hills?,Matri Van,Green India Mission,Van Vikas Abhiyan,Harit Aravalli Yojana,Aravalli Eco Park,Matri Van
97,Which country has adopted Assam’s ‘Hargila Army’ conservation model to protect storks?,Nepal,Bhutan,Myanmar,Cambodia,Vietnam,Cambodia
98,Where will the NFDC’s fully residential 3D Animation and VFX training program for North East India candidates be conducted?,"Guwahati, Assam","Shillong, Meghalaya","Aizawl, Mizoram","Ghaziabad, Uttar Pradesh","Imphal, Manipur","Ghaziabad, Uttar Pradesh"
99,Where was India’s first indigenously-built 1 MW green hydrogen power plant inaugurated?,"Paradip Port, Odisha","Visakhapatnam Port, Andhra Pradesh","Mumbai Port, Maharashtra","Deendayal Port, Gujarat","Cochin Port, Kerala","Deendayal Port, Gujarat"
100,Where is Google setting up its first and Asia’s largest data centre in India?,Bengaluru,Mumbai,Visakhapatnam,Hyderabad,Chennai,Visakhapatnam
101,FSSAI’s definitive list of Ayurveda Aahara is based on which regulation?,"Food Safety and Standards (Ayurveda Aahara) Regulations, 2019","Food Safety and Standards (Ayurveda Aahara) Regulations, 2020","Food Safety and Standards (Ayurveda Aahara) Regulations, 2021","Food Safety and Standards (Ayurveda Aahara) Regulations, 2022","Food Safety and Standards (Ayurveda Aahara) Regulations, 2023","Food Safety and Standards (Ayurveda Aahara) Regulations, 2022"
102,"Who has been appointed as the General Officer Commanding (GOC) of Dakshin Bharat Area, Indian Army, from August 1, 2025?",Lt. Gen. V. Sreehari,Lt. Gen. N.S. Raja Subramani,Lt. Gen. Pushpendra Singh,Lt. Gen. M. Shankar,Lt. Gen. K.R. Mehta,Lt. Gen. V. Sreehari
103,What date has been declared as ‘Safai Andolan Day’ for the Indus River under the Mission Indus Clean-up by Ladakh?,August 5,August 10,August 12,August 15,August 20,August 12
104,Which country will host the 8th Commonwealth Youth Games (CYG) in 2027?,India,Australia,Canada,Malta,England,Malta
105,Which two-time Olympic biathlon champion of Germany died in a mountaineering accident at Laila Peak in Pakistan?,Magdalena Neuner,Laura Dahlmeier,Kati Wilhelm,Denise Herrmann,Uschi Disl,Laura Dahlmeier
106,"Nippon India Mutual Fund opened its first-ever mutual fund office in which high-altitude region, located 11,500 feet above sea level?",Shimla,Manali,Leh,Mussoorie,Nainital,Leh
107,What is the main objective of the 30-member Regulatory Review Cell set up by the RBI in August 2025?,Launching new banking products,Implementing monetary policy changes,Eliminating outdated and irrelevant regulations,Promoting digital currency adoption,Enhancing RBI’s overseas presence,Eliminating outdated and irrelevant regulations
108,"Until which year has the PM E-DRIVE scheme been extended, and will there be any additional budget for it?","Till 2026, Yes","Till 2027, No","Till 2028, No","Till 2029, Yes","Till 2028, Yes","Till 2028, No"
109,Which brand name has been chosen by eight co-operative institutions for launching a new taxi service to compete with Ola and Uber?,Sahkaar Cabs,Bharat Taxi,Swadeshi Ride,Co-op Cabs,Desh Yatra,Bharat Taxi
110,"As of July 23, 2025, what is the total amount of deposits under the Pradhan Mantri Jan Dhan Yojana (PMJDY)?",Rs.2.58 lakh crore,Rs.2.60 lakh crore,Rs.2.62 lakh crore,Rs.2.63 lakh crore,Rs.2.64 lakh crore,Rs.2.62 lakh crore
111,"According to NPCI's new circular effective from August 1, 2025, how many times per day can a UPI user check their bank balance per app?",25 times,30 times,50 times,75 times,Unlimited,50 times
112,What was the title of the 1st BIMSTEC Traditional Music Festival held in New Delhi?,"One Asia, One Song",Harmony of Nations,"SaptaSur: Seven Nations, One Melody",Sound of Unity,Melodies of the East,"SaptaSur: Seven Nations, One Melody"
113,Which company has partnered with Numaligarh Refinery Ltd to deploy India’s first 5G captive private network in the refinery sector?,Jio,Airtel,BSNL,MTNL,Vi,BSNL
114,Who assumed charge as the Controller Personnel Services (CPS) of the Indian Navy on 31 July 2025?,Vice Admiral Dinesh Kumar Tripathi,Vice Admiral Sanjay Jasjit Singh,Vice Admiral C R Praveen Nair,Vice Admiral Ajendra Bahadur Singh,Vice Admiral R. Hari Kumar,Vice Admiral C R Praveen Nair
115,Which state government has announced insurance coverage for Govindas participating in the Dahi Handi festival during Gokulashtami?,Uttar Pradesh,Gujarat,Maharashtra,Madhya Pradesh,Rajasthan,Maharashtra
116,"Who won the first-ever Chess Esports World Cup held in Riyadh, Saudi Arabia?",Magnus Carlsen,Hikaru Nakamura,Alireza Firouzja,Arjun Erigaisi,Ian Nepomniachtchi,Magnus Carlsen
117,Who became the first player in World Test Championship (WTC) history to score over 6000 runs?,Steve Smith,Marnus Labuschagne,Joe Root,Virat Kohli,Ben Stokes,Joe Root
118,Where was the last of the 16 Airbus C-295 aircraft received by Indian officials in 2025?,"Madrid, Spain","Toulouse, France","Hyderabad, India","Seville, Spain","Bengaluru, India","Seville, Spain"
119,Which Indian state became the first to introduce a Sabbatical Leave scheme for government employees?,Kerala,Himachal Pradesh,Uttarakhand,Sikkim,Goa,Sikkim
120,"What is the name of the mascot unveiled for the Asia Rugby Under-20 (Sevens) Championship 2024 to be held in Rajgir, Bihar?",Ashoka,Cheetah,Veer,Sheru,Agile,Ashoka
121,"The heritage train service on the Patalpani–Kalakund line, recently resumed by Western Railway, was originally envisioned by which historical ruler?",Maharaja Ranjit Singh,Maharaja Tukoji Rao Holkar II,Maharaja Sayajirao Gaekwad,Maharaja Shivaji Rao Scindia,Lord Curzon,Maharaja Tukoji Rao Holkar II
122,"Who has been appointed as the new Director of Vikram Sarabhai Space Centre (VSSC), Thiruvananthapuram?",S. Somanath,Dr. A. Rajarajan,S. Unnikrishnan Nair,K. Sivan,Ritu Karidhal,Dr. A. Rajarajan
123,What is the name of India’s first Specialised Investment Fund (SIF) approved by SEBI in 2025?,QSIF Equity Long-Short Fund,Quant Alpha Advantage Fund,QAMC Alternative Growth Fund,Quant Startups Select Fund,SEBI-SIF Opportunity Fund,QSIF Equity Long-Short Fund
124,Who has been appointed as the brand ambassador for Australia's $130 million tourism campaign in 2025?,Anushka Sharma,Sara Tendulkar,Deepika Padukone,Rishabh Pant,Virat Kohli,Sara Tendulkar
125,Who has been appointed as the head coach of the Indian men’s national football team in 2025?,Igor Stimac,Savio Medeira,Manolo Marquez,Khalid Jamil,Stephen Constantine,Khalid Jamil
126,"Abdulla Aboobacker, who recently won the men’s triple jump title at the Qosanov Memorial 2025, hails from which Indian state?",Tamil Nadu,Kerala,Karnataka,Andhra Pradesh,Haryana,Kerala
127,What is the name of the Russian intermediate-range hypersonic ballistic missile capable of reaching speeds of Mach 10 and expected to be deployed in Belarus by the end of 2025?,Avangard,Zircon,Oreshnik,Kinzhal,Iskander-M,Oreshnik
128,What is the name of the analogue station developed by Protoplanet and ISRO to simulate Moon and Mars conditions in Ladakh?,ARES,VIKRAM,HOPE,ASTRA,SURAJ,HOPE
129,"The 8th edition of which flagship initiative, led by PM Narendra Modi, received the Guinness World Record for the “Most people registered on a Citizen Engagement Platform in one month” in 2025?",Mann Ki Baat,Pariksha Pe Charcha,Fit India Movement,Ek Bharat Shreshtha Bharat,Swachh Bharat Mission,Pariksha Pe Charcha
130,"On which river is the proposed 2,185 MW Sawalkote Hydropower Project planned?",Jhelum River,Chenab River,Beas River,Sutlej River,Ravi River,Chenab River
131,"In August 2025, India conducted a joint naval sail and exercise with which country in the South China Sea?",Vietnam,Indonesia,Philippines,Malaysia,Brunei,Philippines
132,What is the objective of the Darwin Tree of Life (DToL) project?,To decode the human genome,To map extinct species,"To sequence the genomes of 70,000 eukaryotic species in Britain and Ireland",To develop genetically modified crops,To track species migration using satellites,"To sequence the genomes of 70,000 eukaryotic species in Britain and Ireland"
133,Which organisation signed two MoUs to promote conservation and awareness of medicinal plants in 2025?,Ministry of Health and Family Welfare,Central Council for Research in Ayurvedic Sciences,National Medicinal Plants Board (NMPB),Indian Council of Medical Research,"Ministry of Environment, Forest and Climate Change",National Medicinal Plants Board (NMPB)
134,Under which initiative has the Union Government approved the establishment of PM Ekta Malls in 27 states?,Digital India,Make in India,Smart Cities Mission,"One District, One Product (ODOP)",Start-up India,"One District, One Product (ODOP)"
135,Which state received the National Organ and Tissue Transplant Organisation (NOTTO) award for having the maximum organ donations in India in 2024?,Tamil Nadu,Telangana,Maharashtra,Kerala,Gujarat,Telangana
136,Where has India’s first-ever FIFA Talent Academy for girls been launched in 2025?,New Delhi,Bengaluru,Mumbai,Hyderabad,Chennai,Hyderabad
