Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
21,Which football club won the 2025 Indian SuperLeague (ISL) Winners' Shield?,Odisha FC,Mumbai City FC,Mohun Bagan Super Giant,Bengaluru FC,FC Goa,Mohun Bagan Super Giant
22,PM Narendra Modi Released 19th Installment of PM-KISAN Scheme in which state ?,Tripura,Jammu and Kashmir,Nagaland,Bihar,Chhattisgarh,Chhattisgarh
23,Which team defeated India 3-0 in the 2nd Pink LadiesCup?,United States,China,Australia,South Korea,Germany,South Korea
24,Who launched a series of major initiatives to modernize India’s maritime infrastructure?,Sarbananda Sonowal,Jyotiraditya Scindia,Nitin Gadkari,Hardeep Singh Puri,Piyush Goyal,Sarbananda Sonowal
25,Which Indian organization is responsible formanufacturing the Tejas Mk-1A?,ISRO,DRDO,NASA,Hindustan Aeronautics Limited (HAL),None of these,Hindustan Aeronautics Limited (HAL)
26,International Booker Prize started in which year ?,2000,2002,2005,2007,2009,2005
27,"Which edition of the “India in Bahrain Festival” drewmore than 2,000 visitors to Dana Mall in Sanabis, showcasing India’s cultural diversity ?",1st,2nd,3rd,4th,5th,2nd
28,"India is hosting its first-ever conference on womenpeacekeepers, titled “Women in Peacekeeping: A Global South Perspective,” in which city ?",Bengaluru,New Delhi,Pune,Greater Noida,Mumbai,New Delhi
29,Which edition of the Khajuraho DanceFestival held in 2025?,50th,51th,52nd,53rd,54th,51th
30,Who won the 2025 Asian Snooker Championship men’s title?,Aditya Mehta,Amir Sarkosh,Pankaj Advani,Ding Junhui,Sourav Kothari,Pankaj Advani
31,Anmol Savings Account Launched by which bank ?,Federal Bank,Axis Bank,IndusInd Bank,HDFC Bank,Kotak Mahindra Bank,HDFC Bank
32,What was India’s real GDP growth rate in the third quarter (October to December) of the fiscal year 2024-25?,5.60%,5.80%,6.20%,6.80%,7.20%,6.20%
33,Accidental Insurance scheme for School Children launched in which state ?,Uttar Pradesh,Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,Rajasthan
34,Which insurance company partnered with K.M. Dastur Reinsurance Brokers (KMD) to launch India’s first Air Quality Index (AQI)-based parametric insurance policies ?,Go Digit General Insurance,Universal Sompo General Insurance,Kotak Mahindra Life Insurance,Bajaj Finance,None of these,Go Digit General Insurance
35,"National Stock Exchange (NSE) signed Mou with which state government to skill youth in Banking, Financial Services and Insurance (BFSI) sector ?",Assam,Meghalaya,Tripura,Manipur,Arunachal Pradesh,Assam
36,"Which bank hosted the 9th edition of Evolve, its flagship knowledge-sharing seminar for MSMEs in Bengaluru, Karnataka ?",South Indian Bank,Axis Bank,Indian Bank,Punjab National Bank,Karur Vyasya Bank,Axis Bank
37,Where was the ‘Cali Fund’ launched?,"Paris, France","Cali, Colombia","Rome, Italy","Geneva, Switzerland","Nairobi, Kenya","Rome, Italy"
38,"As per the report, India is set to become a High-Income Nation (HIN) with a projected Gross Domestic Product (GDP) between USD 23-USD 35 trillion by which year ?",2035,2038,2040,2042,2047,2047
39,The government has introduced an updated scheme to provide highquality coaching to children covered under the PM CARES scheme in which year plan ?,During the Fifth Five-Year Plan,During the Sixth Five-Year Plan,During the Eighth Five-Year Plan,During the Eleventh Five-Year Plan,During the Twelfth Five-Year Plan,During the Sixth Five-Year Plan
40,"In February 2025, what is the name of the bi-annual Hindi magazine released by Rajnath Singh?",Sashakt Bharat,Defence Unit,Raksha grah,Raksha Dal,None of the above,Sashakt Bharat
41,Who attended Nyokum Yullo celebration in Arunachal Pradesh ?,Jagdeep Dhankhar,Rajesh Kumar Singh,Ashwini Vaishnaw,Droupadi Murmu,Narendra Modi,Jagdeep Dhankhar
42,World NGO Day is observed annually on which day ?,26 February,27 February,28 February,1 March,2 March,27 February
43,National Science Day is observed every year on which day ?,26 February,27 February,28 February,1 March,2 March,28 February
44,Who has been appointed as the Deputy Chief Executive Officer (CEO) of SBI Life Insurance Company?,Dorababu Daparti,Amitabh Chaudhry,Salila Pande,Shahrukh Todiwala,Deepak Parekh,Dorababu Daparti
45,"Which organization has imposed a penalty of Rs 66.60 lakh and Rs 33.10 lakh on The Hong Kong and Shanghai Banking Corporation Limited (HSBC) and IIFL Samasta Finance, respectively, for violating norms?",RBI,SEBI,NABARD,SIDBI,IRDAI,RBI
46,"Mizoram Chief Minister Lalduhoma has launched the Mizoram chapter of the Women Entrepreneurship Forum (WEP), the first such forum in the Northeast. Which organisation is supporting the Women Entrepreneurship Forum (WEP) in Mizoram?",NITI Aayog,Ministry of Home affairs,RBI,SEBI,Ministry of Education,NITI Aayog
47,Corporate Profits Jump ____ in FY24 Despite Slow Sales.,12%,13.50%,14.20%,15.30%,16%,15.30%
48,"What is the name of centralized database portal launched by SEBI for corporate bonds to create a single, authentic source of information on such securities ?",Bond share,Mega Bond,Bond Central /,SEBI Bonds,SEBI Funding,Bond Central /
49,Who unveiled a prototype of its first-ever in-house quantum computing chip called Ocelot ?,Microsoft,Tinder,Meta,Google,Amazon,Amazon
50,Indian Olympic Association established in which year ?,1924,1927,1935,1942,1954,1927
51,According to projections by the International Air Transport Association (IATA) which International Airport claimed the top spot ?,Tokyo International (Haneda) Airport,London Heathrow Airport,Indira Gandhi International Airport,Dubai International Airport,Shanghai Pudong International Airport,Dubai International Airport
52,Which state has reported the highest number of vulture populations in the country ?,Uttar Pradesh,Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,Madhya Pradesh
53,Exercise Desert Hunt 2025 Held in which state Conducted by Indian Air Force ?,Uttar Pradesh,Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,Rajasthan
54,Uttam Mohanty passed away recently at the age of 66. In which field did Uttam Mohanty primarily work?,Literature,Film,Painting,Music,Theatre,Film
55,Which Bengaluru-based startup launched India's first private hyperspectral satellite constellation?,Skyroot Aerospace,Agnikul Cosmos,TeamIndus,Bellatrix Aerospace,Pixxel,Pixxel
56,India and which country announced plans for new procurements and co- production of the Javelin anti-tank guided missile ?,Iran,Israel,Japan,USA,China,USA
57,Which ministry launched the Aadhaar Governance Portal ?,Ministry of Finance,Ministry of Home Affairs,Ministry of Electronics and Information Technology (MeitY),Ministry of Social Justice and Empowerment,Ministry of Law and Justice,Ministry of Electronics and Information Technology (MeitY)
58,Which state government approved a new draft law banning people from outside the state from buying agricultural and horticultural land in 11 of the state’s 13 districts ?,West Bengal,Karnataka,Uttarakhand,Haryana,Maharashtra,Uttarakhand
59,When was the Geological Survey of India (GSI) established?,1851,1859,1865,1869,1871,1851
60,"Neuve-Chapelle War Memorial, recently seen in the news, is located in which country?",Spain,Egypt,USA,France,UK,France
61,Which edition of Invest Madhya Pradesh - Global Investors Summit 2025 Held at Indira Gandhi Rashtriya Manav Sangrahalaya in Bhopal ?,4th,6th,8th,10th,12th,8th
62,Which country Invests USD 16 Million to Strengthen Economic Ties with India ?,United States,China,Australia,South Korea,Germany,Australia
63,Zero Discrimination Day is observed annually on which day ?,26 February,27 February,28 February,1 March,2 March,1 March
64,World Wildlife Day is celebrated annually on which day ?,26 February,27 February,28 February,1 March,3 March,3 March
65,How much total GST revenue was collected in February 2025?,Rs 1.65 lakh crore,Rs 1.72 lakh crore,Rs 1.78 lakh crore,Rs 1.82 lakh crore,Rs 1.84 lakh crore,Rs 1.84 lakh crore
66,"Which bank has partnered with Chennai Super Kings (CSK), to introduce a new co-branded credit card for cricket fans ?",City Union Bank,Indian Overseas Bank,Union Bank of India,Karnataka Bank,CSB Bank,City Union Bank
67,"Which bank in collaboration with the World Trade Center (WTC) Mumbai, hosted the Export Conclave 2025 ?",HDFC Bank,IDFC First Bank,Dhanlaxmi Bank,RBL Bank,Yes Bank,Yes Bank
68,Who launches report on “From Borrowers To Builders: Women’s Role in India’s Financial Growth Story” ?,NITI Aayog,Ministry of Home affairs,RBI,SEBI,Ministry of Education,NITI Aayog
69,"According to the World Bank, at what average growth rate does India need to grow to achieve high-income status by 2047?",6.50%,6.80%,7.20%,7.80%,8.20%,7.80%
70,"Who lowered risk weights for bank finance to NBFCs and microfinance loans, a move that will unlock more funds and boost credit ?",RBI,SEBI,NABARD,SIDBI,IRDAI,RBI
71,"Who has allowed all non-banking financial companies (NBFC), including housing finance companies, to invest in security receipts issued by Asset Reconstruction Companies (ARCs) ?",RBI,SEBI,NABARD,SIDBI,IRDAI,SEBI
72,Which company has partnered with Hyundai India Insurance Broking Pvt. Ltd. (HIIB) to expand motor insurance accessibility in March 2025?,Bajaj Allianz General Insurance,ICICI Prudential Life Insurance,Kotak Mahindra Life Insurance,Go Digit Life Insurance,Magma HDI General Insurance,Magma HDI General Insurance
73,What was the total UPI transaction volume in February 2025?,15.24 billion,15.72 billion,15.98 billion,16.04 billion,16.11 billion,16.11 billion
74,Which team won the 90th edition of the Ranji Trophy?,Mumbai,Karnataka,Vidarbha,Saurashtra,Kerala,Vidarbha
75,Which state government collaborates with Meta to launch WhatsApp-based citizen services ?,Uttar Pradesh,Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,Maharashtra
76,At which edition of the Forbes India Leadership Awards (FILA) was Jay Shah honoured?,12th,13th,14th,15th,16th,14th
77,Which organization is partnering with the Ministry of External Affairs to organize the ITEC Executive Capacity Building Programme on human rights?,NITI Aayog,National Human Rights Commission (NHRC),Election Commission of India,United Nations Human Rights Council,Supreme Court of India,National Human Rights Commission (NHRC)
78,Who has been re-elected as the chairman of the Bar Council of India (BCI) for the seventh consecutive term?,Kapil Sibal,Harish Salve,Manan Kumar Mishra,Mukul Rohatgi,Abhishek Manu Singhvi,Manan Kumar Mishra
79,Which Indian cricketer recently played his 300th One Day International (ODI) match?,Virat Kohli,Rohit Sharma,Dinesh Karthik,Suryakumar Yadav,Rishabh Pant,Virat Kohli
80,By how much did India’s core sector output grow in January 2025?,4.30%,4.60%,4.80%,5.40%,5.80%,4.60%
81,National Safety Day is observed every year on which day ?,26 February,27 February,28 February,1 March,4 March,4 March
82,What is the GDP growth rate projected by Crisil for FY26?,6.50%,6.80%,7.20%,7.60%,7.80%,6.50%
83,Which insurance company launches ‘Pru GIFT Select’ for guaranteed income ?,Bajaj Allianz General Insurance,ICICI Prudential Life Insurance,Kotak Mahindra Life Insurance,Shriram General Insurance Company,PNB MetLife India Insurance,ICICI Prudential Life Insurance
84,By what percentage did the All-India House Price Index (HPI) increase in Q3 FY25?,2.50%,3.10%,3.80%,4.30%,5.00%,3.10%
85,Which bank has launched a facility for customers to download their housing loan interest certificate from DigiLocker?,City Union Bank,Indian Overseas Bank,Union Bank of India,Karnataka Bank,CSB Bank,Indian Overseas Bank
86,Which Bank appointed Narendra Agrawal as president and head of branch banking and retail liabilities ?,HDFC Bank,IDFC First Bank,Dhanlaxmi Bank,RBL Bank,Yes Bank,RBL Bank
87,Which Bank Executes 1st gold trade through India International Bullion Exchange (IIBX) ?,Bajaj Finserv,Poonawalla Fincorp Limited,HDFC Bank,ICICI Lombard,Tata Capital,HDFC Bank
88,"Which company has launched the fully digital personal loan product ""PL Prime Digital 24×7""?",Bajaj Finserv,Poonawalla Fincorp Limited,HDFC Bank,ICICI Lombard,Tata Capital,Poonawalla Fincorp Limited
89,Union Cabinet has approved the development of two major ropeway projects in which state under the National Ropeways Development Programme – Parvatmala Pariyojana ?,West Bengal,Karnataka,Uttarakhand,Haryana,Maharashtra,Uttarakhand
90,"Government Achieves 10,000 FPOs Goal. What does FPO stand for in the context of agriculture?",Farmer Producer Organization,Federal Procurement Office,Food Processing Organization,Farm Protection Operation,Financial Planning Office,Farmer Producer Organization
91,What is the new status given to IRCTC and IRFC by the Government of India?,Maharatna,Navratna,Miniratna,Special Economic Zone (SEZ),Public Limited Company,Navratna
92,Which organisation is set to launch a new telescope that promises to create the most vibrant map of the cosmos ever conceived ?,ISRO,DRDO,NASA,HAL,None of these,HAL
93,International Spice Conference (ISC) 2025 Held at which state ?,Mumbai,Karnataka,Uttarakhand,West Bengal,Kerala,Karnataka
94,Which global clothing brand has signed Punjabi singer and actor Diljit Dosanjh as its brand ambassador?,Adidas,Levi’s,Nike,Puma,Calvin Klein,Levi’s
95,Who became the first Indian woman to cross the 16-metre mark in indoor shot put?,Poornarao Rane,Kamalpreet Kaur,Annu Rani,Manpreet Kaur,Krishna Jayasankar,Krishna Jayasankar
96,What is the total outlay for the Livestock Health and Disease Control Programme (LHDCP) recently approved by the Union Cabinet for two years?,3880 crore,2450 crore,3480 crore,3650 crore,4235 crore,3880 crore
97,"Which state Leads with 19,020 Hectares of Mangrove Plantation in Two Years Under ‘MISHTI’ Scheme ?",Uttar Pradesh,Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,Gujarat
98,"Chess grandmaster Boris Spassky, the 10th World Chess Champion, has passed away at the age of 88. He belongs to which country ?",Australia,Russia,Japan,USA,India,Russia
99,Government of India (GoI) approved the jhow much for Arunachal Frontier Highway project ?,"Rs 22,000 crore","Rs 32,000 crore","Rs 42,000 crore","Rs 52,000 crore","Rs 62,000 crore","Rs 42,000 crore"
100,Which edition of the Academy Awards held this year ?,94th,95th,96th,97th,98th,98th
101,Legendary Mumbai spinner Padmakar Shivalkar died at the age of 84. He was honoured with the CK Nayudu Lifetime Achievement Award in which year ?,2015,2016,2017,2018,2019,2017
102,"State Bank of India (SBI) has decided to divest its ________ stake in Jio Payments Bank Limited, a joint venture between the state-owned bank and Jio Financial Services (JFS).",16.80%,17.80%,18.80%,19.80%,20.80%,17.80%
103,Who has been appointed as the new Executive Director (ED) of the Reserve Bank of India (RBI)?,Shaktikanta Das,Ajay Banga,Ajit Ratnakar Joshi,Viral Acharya,Nirmala Sitharaman,Ajit Ratnakar Joshi
104,"What percentage of Rs.2,000 banknotes have been returned to the banking system as per the RBI's latest update?",95.50%,97.25%,98.18%,99.50%,96.80%,98.18%
105,What measure has the RBI announced to inject liquidity into the banking system in March 2025?,Increasing the repo rate,Conducting Open Market Purchases and USD/INR swaps USD,Raising the Cash Reserve Ratio (CRR),Issuing new government bonds,Increasing foreign exchange reserves,Conducting Open Market Purchases and USD/INR swaps USD
106,Who Introduces Unified Payments Interface (UPI) Trading Blocks to Simplify Stock Investments ?,Policybazar,ICICI Lombard,Paytm,TATA AIG,Amazon,Paytm
107,Which brand tops the Report IT Services 25 2025 Published by Brand Finance ?,Wipro Limited,Tech Mahindra Limited,TCS Limited,Accenture plc,NTT DATA Group Corporation,Accenture plc
108,How many riverine dolphins were recorded in India's first-ever dolphin estimation report?,"5,432","6,327","7,210","4,876","6,821","6,327"
109,Pradhan Mantri Shram Yogi Maandhan (PM-SYM) Yojana launched in which year ?,2015,2016,2017,2018,2019,2019
110,"A. Sharath Kamal, who recently announced his retirement, is associated with which sport?",Cricket,Football,Shooting,Badminton,Table tennis,Table tennis
111,Steve Smith Announces Retirement from One-Day Internationals. He belongs to which country ?,Australia,Russia,Japan,USA,India,Australia
112,Which Belgian defense company has partnered with India’s Electro Pneumatics & Hydraulics (EPH) to form a joint venture?,FN Herstal,CMI Defence,John Cockerill Defence (JCD),Thales Belgium,Nexter,John Cockerill Defence (JCD)
113,"Which state Police registered its first-ever e-FIR at Police Station Khrew, marking a significant step towards digital policing ?",Tripura,Jammu and Kashmir,Nagaland,Bihar,Chhattisgarh,Jammu and Kashmir
114,Who has been appointed as the convenor of the GoM on revenue mobilisation for natural calamities?,Pramod Sawant,Himanta Biswa Sarma,Suresh Khanna,Pinarayi Vijayan,None of these,Suresh Khanna
115,Which decommissioned naval warship is Maharashtra's tourism department planning to sink for adventure tourism?,INS Vikrant,INS Shivalik,INS Arihant,INS Guldar,INS Kolkata,INS Guldar
116,"India and which country signed an MoU to enhance cooperation in the WASH (Water, Sanitation, and Hygiene) sector?",Sri Lanka,Nepal,Bhutan,Bangladesh,None of these,Nepal
117,Who Conducts High-Altitude Trial of Integrated Life Support System for Tejas ?,ISRO,DRDO,NASA,HAL,None of these,DRDO
118,Who has won the FIDE World Junior Championship 2025 in Montenegro?,Aravindh Chithambaram,Abhijeet Gupta,Pentala Harikrishna,Pranav Venkatesh,Viswanathan Anand,Pranav Venkatesh
119,"Architect and educator, Liu Jiakun has won the 2025 Pritzker Architecture Prize, the most important award in architecture. He is from which country?",United States,China,Australia,South Korea,Germany,China
120,What unique solar event did India’s Aditya-L1 mission capture?,Coronal mass ejection,Solar flare ‘kernel’,Sunspot formation,Solar eclipse,Heliospheric wave,Solar flare ‘kernel’
121,International Day for Disarmament and Non-Proliferation Awareness is observed every year on which day ?,3 March,4 March,5 March,6 March,7 March,5 March
122,"According to SEBI’s annual statement of accounts 2023-24, By what percentage did SEBI’s total income rise in 2023-24 compared to the previous year?",30%,35%,40%,45%,48%,48%
123,Who has launched the ‘insuring HEROES’ campaign on the occasion of International Women’s Day ?,Google Pay,PhonePe,BHIM,Paytm,Amazon Pay,PhonePe
124,Which bank launched the Project HAKK (Hawai Anubhavi Kalyan Kendra- Serving those who have served) ?,HDFC Bank,IDFC First Bank,Dhanlaxmi Bank,RBL Bank,Yes Bank,HDFC Bank
125,"As per the Insurance 100 (2025) report Published by Brand Finance, what is the rank of LIC among the world’s strongest insurance brands?",1st,2nd,3rd,4th,5th,3rd
126,"Small Industries Development Bank of India (SIDBI) signed an MoU with which bank to provide financial support to Micro, Small, and Medium Enterprises (MSMEs) ?",Federal Bank,Axis Bank,IndusInd Bank,HDFC Bank,Kotak Mahindra Bank,Federal Bank
127,Which country did Razorpay officially enter after its successful operations in Malaysia?,Netherland,Mauritius,Moldova,Singapore,UAE,Singapore
128,World Sustainable Development Summit (WSDS) 2025 Held at which state ?,Bengaluru,New Delhi,Pune,Greater Noida,Mumbai,New Delhi
129,Which new locations have been selected for cheetah introduction in India after Kuno National Park?,Jim Corbett National Park and Ranthambore National Park,Banni Grasslands and Gandhisagar Sanctuary,Kaziranga National Park and Sundarbans,Gir National Park and Tadoba National Park,Periyar Wildlife Sanctuary and Bandhavgarh National Park,Banni Grasslands and Gandhisagar Sanctuary
130,"Who has been appointed as the Secretary of the Department of Legal Affairs, Ministry of Law and Justice?",Rajiv Kumar,Anju Rathi Rana,Tushar Mehta,Arun Goel,Alok Kumar Verma,Anju Rathi Rana
131,Who will inaugurate the Sahitya Akademi Festival of Letters 2025?,Amit Shah,Dr. Mansukh Mandaviya,Gajendra Singh Shekhawat,Jagat Prakash Nadda,Narendra Modi,Gajendra Singh Shekhawat
132,Which ministry has released a significant publication titled “The Life and Contributions of the Women Members of the Constituent Assembly”?,Ministry of Finance,Ministry of Home Affairs,Ministry of Electronics and Information Technology (MeitY),Ministry of Social Justice and Empowerment,Ministry of Law and Justice,Ministry of Law and Justice
133,Who accepted the ‘Honorary Order of Freedom of Barbados’ on behalf of PM Narendra Modi?,Amit Shah,Pabitra Margherita,Gajendra Singh Shekhawat,Jagat Prakash Nadda,Narendra Modi,Pabitra Margherita
134,Mushfiqur Rahim has announced his retirement from One Day Internationals (ODI) following the team’s early exit from the ICC Champions Trophy. Which country is he from?,Sri Lanka,Nepal,Bhutan,Bangladesh,None of these,Bangladesh
135,"__-based AI-powered collections platform CredResolve raised $1.1 million in a seed funding round led by Japanese venture capital firm UNLEASH Capital Partners, with additional participation from CDM Capital.",Bengaluru,New Delhi,Chennai,Noida,Gurugram,Gurugram
136,Which company has launched the first-ever trials of hydrogen-powered heavy-duty trucks in India?,Tata Motors,Maruti Suzuki,Hyundai Motor,Nissan,Toyota,Tata Motors
137,Who has been awarded the EY Entrepreneur of the Year Award 2024?,Ritesh Agarwal,Kaivalya Vohra,Bhavish Aggarwal,Nithin Kamath,None of the above,Nithin Kamath
138,Which ministry is responsible for launching the Model Women-Friendly Gram Panchayats (MWFGP) initiative?,Ministry of Finance,Ministry of Home Affairs,Ministry of Panchayati Raj,Ministry of Social Justice and Empowerment,Ministry of Law and Justice,Ministry of Panchayati Raj
139,International Women’s Day (IWD) is celebrated globally on which day every year ?,6 March,7 March,8 March,9 March,10 March,8 March
140,What is the name of the collateral-free digital SME loan product launched by SBI for women entrepreneurs?,SBI Shakti,SBI Nari Udyam,SBI Asmita,SBI Udyogini,SBI Mahila Vikas,SBI Asmita
141,Which company launched the insurance plans ‘Smart Future Star’ and ‘Smart Platina Young Achiever’?,HDFC Life Insurance,ICICI Prudential Life Insurance,LIC of India,SBI Life Insurance,Shriram Life Insurance,SBI Life Insurance
142,What is the name of the satellite that the Assam government plans to launch?,AssamOne,Bhuvan-Assam,ASSAMSAT,BharatSAT,NorthEastSAT,ASSAMSAT
143,"Which country is set to hold joint naval exercises with China, Iran in Indian Ocean ?",United States,India,United Kingdom,Japan,Russia,Russia
144,Which Indian football player is making a comeback to the national team for the FIFA International Window matches?,Gurpreet Singh Sandhu,Sunil Chhetri,Sandesh Jhingan,Anirudh Thapa,Manvir Singh,Sunil Chhetri
145,Which team did India defeat in the ICC Champions Trophy 2025 final?,England,New Zealand,Australia,South Africa,Pakistan,New Zealand
146,Which country topped the Report 2025 Glass-Ceiling Index Published by The Economist (London) ?,Sweden,Spain,Gabon,Comoros,Nigeria,Sweden
147,How much incentive was granted to Ola Electric under the PLI-Auto Scheme for FY 2023-24?,Rs.50 crore,Rs.60.25 crore,Rs.73.74 crore,Rs.85 crore,Rs.100 crore,Rs.73.74 crore
148,Which Edition of Exercise Sea Dragon 2025 held at Guam coast in the western Pacific Ocean ?,5th,6th,7th,8th,9th,5th
149,"Under the modified Ethanol Interest Subvention Scheme, which feedstocks can be used for ethanol production?",Only sugarcane,Only damaged food grains (DFG),Only maize,Both maize and damaged food grains (DFG),Only wheat and rice,Both maize and damaged food grains (DFG)
150,Who inaugurated the second edition of Vividhta Ka Amrit Mahotsav at Rashtrapati Bhavan ?,Jagdeep Dhankhar,Rajesh Kumar Singh,Ashwini Vaishnaw,Droupadi Murmu,Narendra Modi,Droupadi Murmu
151,What is the name of the AI-driven media company launched by Bollywood superstar Ajay Devgn?,VisionAI,Prismix,CineTech,AIReel,FilmiX,Prismix
152,Which organization has partnered with Sustain Plus to launch a large-scale circular dairy programme in India?,Amul,Ministry of Agriculture,NITI Aayog,National Dairy Development Board (NDDB),Indian Council of Agricultural Research (ICAR),National Dairy Development Board (NDDB)
153,What is the total value of the contract signed between India and Rosoboronexport (RoE) for T-72 tank engines?,USD 142 million,USD 232 million,USD 248 million,USD 335 million,USD 543 million,USD 248 million
154,Former Supreme Court judge V. Ramaswami passed away at 96. Which High Court did V. Ramaswami serve as Chief Justice before being elevated to the Supreme Court?,Bombay High Court,Delhi High Court,Calcutta High Court,Madras High Court,Punjab High Court,Punjab High Court
155,Which bank signed a MoU with the Indian Army (IA) to extend ‘Rakshak Salary Package’ ?,City Union Bank,Indian Overseas Bank,Bank of India,Karnataka Bank,CSB Bank,Bank of India
156,Which Bank has become the first Indian bank to execute an aircraft financing transaction through its International Banking Unit (IBU) at GIFT City IFSC ?,South Indian Bank,Axis Bank,Indian Bank,Punjab National Bank,Karur Vyasya Bank,Axis Bank
157,Which bank Launches ‘Global Women NRE & NRO Savings Account’ for Women NRIs ?,HDFC Bank,Karnataka Bank,Bank of baroda,Canara Bank,Bank of Maharashtra,Bank of baroda
158,"In March 2025, which life insurance company partnered with GIC Housing Finance Limited to provide credit life insurance solutions?",Canara HSBC Life Insurance,Bharti AXA Insurance,SBI Life Insurance,Max Life Insurance,HDFC Life Insurance,Canara HSBC Life Insurance
159,Who has been appointed as the Chief Executive (CE) of the Indian Banks’ Association (IBA)?,Sunil Mehta,Shaktikanta Das,Atul Kumar Goel,Rajnish Kumar,Uday Kotak,Atul Kumar Goel
160,Which cricketer became the second-most successful Indian captain by clinching his second ICC title ?,Virat Kohli,Rohit Sharma,Dinesh Karthik,Suryakumar Yadav,Rishabh Pant,Rohit Sharma
161,"Which country conferred its highest civilian award, “The Grand Commander of the Order of the Star and Key of the Indian Ocean”, to Prime Minister, Narendra Modi ?",Netherland,Mauritius,Moldova,Singapore,UAE,Mauritius
162,"Which edition of the India-Kyrgyzstan Joint Special Forces Exercise Khanjar is being held in Kyrgyzstan from March 10 to March 23, 2025?",9th,10th,11th,12th,13th,12th
