Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
24,What was the main purpose of the 2025 UN review on peacebuilding?,To expand UN military interventions worldwide,To improve implementation and impact of UN peacebuilding activities at the field level,To increase UN funding for cultural programmes,To establish a new UN headquarters,To replace existing UN member states with new ones,To improve implementation and impact of UN peacebuilding activities at the field level
25,Which deal has the Ministry of Defence recently signed with the USA for the Indian Navy?,Sale of aircraft carriers,Follow-on support for MH-60R Seahawk helicopters,Supply of submarines,Joint missile development program,Naval base infrastructure development,Follow-on support for MH-60R Seahawk helicopters
26,Who was named Global Indian of the Year at CNN-News18’s Indian of the Year Awards 2025?,Sundar Pichai,Chef Vijay Kumar,Ratan Tata,Priyanka Chopra,Arvind Krishna,Chef Vijay Kumar
27,Which new districts have been proposed in Andhra Pradesh as part of administrative reorganisation?,"Vijayawada, Guntur, Nellore","Polavaram, Markapuram, Madanapalle","Tirupati, Chittoor, Anantapur","Kurnool, Kadapa, Srikakulam","Visakhapatnam, Rajahmundry, Eluru","Polavaram, Markapuram, Madanapalle"
28,India’s ethanol blending percentage for the 2024-25 supply year stood at what level?,15%,17.5%,19.2%,20%,22%,19.2%
29,"Where was the Skill India Centre, inaugurated by Union Minister Ashwini Vaishnaw, established?","Lucknow, Uttar Pradesh","Varanasi, Uttar Pradesh","Noida, Uttar Pradesh","Meerut, Uttar Pradesh","Ch. Kehar Singh Divya Public School, Baraut, Baghpat","Ch. Kehar Singh Divya Public School, Baraut, Baghpat"
30,INS Aridhaman belongs to which category of Indian Navy submarines?,Conventional Attack Submarine,Diesel-Electric Submarine,Nuclear-Powered Ballistic Missile Submarine (SSBN),Nuclear Attack Submarine (SSN),Midget Submarine,Nuclear-Powered Ballistic Missile Submarine (SSBN)
31,What is India’s target for green hydrogen cost by 2030?,$0.5/kg,$1/kg,$2.5/kg,$3/kg,$4.5/kg,$1/kg
32,What significant phenomenon did NASA’s Perseverance rover detect on Mars?,Presence of liquid water,Electrical discharges in the atmosphere,Active volcanic eruptions,Formation of polar ice caps,Methane gas emissions,Electrical discharges in the atmosphere
33,‘EKUVERIN’ joint military exercise is conducted between which two countries?,India – Sri Lanka,India – Bangladesh,India – Maldives,India – Nepal,India – Bhutan,India – Maldives
34,How much investment has the Government of India planned to modernise Semi-Conductor Laboratory (SCL)?,"Rs 1,500 crore","Rs 3,000 crore","Rs 6,000 crore","Rs 5,500 crore","Rs 4,500 crore","Rs 4,500 crore"
35,What is observed on November 30 as per the UN calendar?,World AIDS Day,Day of Remembrance for All Victims of Chemical Warfare,International Day of Persons with Disabilities,Human Rights Day,International Day of Peace,Day of Remembrance for All Victims of Chemical Warfare
36,What is the main objective of the MoU signed between SBI and BOI?,Launching new retail banking services,Establishing a Centre of Excellence in Strategic Partnership,Merging both banks,Expanding international branches,Offering microfinance to rural areas,Establishing a Centre of Excellence in Strategic Partnership
37,Which Indian state received the highest share of FDI Equity inflow in the first half of FY 2025-26?,Karnataka,Gujarat,Tamil Nadu,Maharashtra,Telangana,Maharashtra
38,How much amount is the government expected to raise by selling its 6% stake in Bank of Maharashtra?,"₹1,850 crore","₹2,000 crore","₹2,492 crore","₹3,100 crore","₹4,250 crore","₹2,492 crore"
39,What recent initiative has Tamilnad Mercantile Bank (TMB) launched to improve loan processing?,Digital Savings Account Platform,Loan Origination System (LOS),Mobile Wallet App,Investment Advisory Portal,Blockchain-based Payment System,Loan Origination System (LOS)
40,What is the significance of Indian banks achieving ISO 20022 readiness?,To expand domestic ATM networks,"To enable richer, structured, and detailed payment data for cross-border transactions",To reduce interest rates on loans,To merge all public sector banks,To launch a new digital currency,"To enable richer, structured, and detailed payment data for cross-border transactions"
41,How many medals did India win at the 25th Summer Deaflympics 2025 in Tokyo?,16,18,24,22,20,20
42,Who is the co-author of the book “A Sixth of Humanity: Independent India’s Development Odyssey” along with Arvind Subramanian?,Raghuram Rajan,Kaushik Basu,Devesh Kapur,Amartya Sen,Bibek Debroy,Devesh Kapur
43,What is the new name of the Jaisalmer–Delhi (Shakur Basti) special train?,Desert Queen Express,Thar Link Express,Golden City Express,Rajasthan Sampark Express,Swarn Nagari Express,Swarn Nagari Express
44,What is the main objective of Punjab’s Easy Registry Initiative?,Boost agricultural exports,Simplify property registration & improve transparency,Promote tourism in rural areas,Provide online education services,Strengthen district-level disaster management,Simplify property registration & improve transparency
45,Which initiative has enabled remote digital access to over 25 million archival records related to modern and contemporary Indian history?,National Archives of India,Nehru Memorial Museum & Library,Prime Ministers’ Museum & Library,Indira Gandhi National Centre for the Arts,National Digital Library of India,Prime Ministers’ Museum & Library
46,Where was the 2025 Syed Modi International Super 300 badminton tournament held?,New Delhi,Mumbai,Lucknow,Hyderabad,Chennai,Lucknow
47,Which Biological E vaccine recently received WHO pre-qualification?,Corbevax,Pneubevax 14 (BE-PCV-14),Rabivax,JE Vaccine,Rotavac,Pneubevax 14 (BE-PCV-14)
48,What is the main aim of the Indira Gandhi National Pension and Related Schemes?,Promote rural employment,Provide social security assistance to vulnerable BPL individuals,Support agricultural subsidies,Enhance urban infrastructure,Offer educational scholarships,Provide social security assistance to vulnerable BPL individuals
49,Samagra Shiksha Abhiyan was launched in which year?,2015,2018,2020,2014,2022,2018
50,What is the main objective of the SportEdge initiative launched in Meerut?,Promote traditional sports,Accelerate India’s rise as a global leader in sports manufacturing and enterprise,Build new stadiums only,Provide scholarships to athletes,Organize local tournaments,Accelerate India’s rise as a global leader in sports manufacturing and enterprise
51,IIT Madras signed an MoU with Young Indians (Yi) for which key purpose?,International student exchange,Promotion of student innovation & early-stage start-ups,Faculty training programmes,Research on renewable energy,Development of online courses,Promotion of student innovation & early-stage start-ups
52,How many artisans have been enrolled under the PM Vishwakarma Scheme so far?,1.5 crore,2.0 crore,2.72 crore,3.5 crore,1.2 crore,2.72 crore
53,What was the growth rate of India’s Index of Industrial Production (IIP) for October 2025?,4.0%,2.5%,0.4%,-1.0%,3.2%,0.4%
54,Where was the 60th DGP & IGP Conference held in November?,New Delhi,Hyderabad,Gandhinagar,"Nava Raipur, Chhattisgarh",Lucknow,"Nava Raipur, Chhattisgarh"
55,Which state was awarded the Partner State category at the 44th India International Trade Fair (IITF) 2025?,Rajasthan,Jharkhand,Odisha,Meghalaya,Haryana,Rajasthan
56,How many votes did India secure to be re-elected to Category B of the International Maritime Organization (IMO) for 2026–27?,150 votes,169 votes,160 votes,165 votes,154 votes,154 votes
57,Which mission carried a US–Russia crew to the International Space Station (ISS) in 2025?,Artemis I,Shenzhou-16,Crew-7,Soyuz MS-28,SpaceX CRS-31,Soyuz MS-28
58,What is the monthly financial support provided under Assam’s Prerona Scheme for Class 10 students?,Rs 100,Rs 200,Rs 300,Rs 500,Rs 600,Rs 300
59,Paras Defence & Space Technologies recently signed a Technology Transfer Licensing Agreement with DRDO for which system?,Fire Control Radar,Electro-Optical Surveillance Pod,Missile Guidance Kit,Armoured Communication Suite,Driver Night Sight System,Driver Night Sight System
60,"What is commemorated on December 1, 2025, by the Border Security Force (BSF)?",61st Raising Day of BSF,BSF Foundation Day,National Security Day,India Border Security Day,Armed Forces Day,61st Raising Day of BSF
61,What is observed on December 1 every year to raise awareness about HIV/AIDS?,World Health Day,World AIDS Day,International Red Ribbon Day,Global Immunity Day,HIV Awareness Week,World AIDS Day
62,NPCI International Payments partnered with ACLEDA Bank of which country to enable UPI acceptance?,Thailand,Vietnam,Cambodia,Singapore,Malaysia,Cambodia
63,By what percentage did consumer grievances under the RBI’s Ombudsman framework increase in FY25 compared to FY24?,10.25%,11.80%,17.40%,15.20%,13.55%,13.55%
64,What was the year-on-year (YoY) growth of bank credit in India as of 14 November 2025?,9.5%,10.2%,11.4%,11.5%,12.0%,11.4%
65,"Under RBI’s new metal loan norms, loans will NOT be provided against which of the following?",Gold Jewellery,Silver Coins,Bullion (Gold/Silver Bars),Silver Jewellery,Gold Coins,Bullion (Gold/Silver Bars)
66,Which state received USD 109.97 million under the Skills Development Programme?,Gujarat,Punjab,Haryana,Odisha,Tamil Nadu,Gujarat
67,LIC has recently signed a bancassurance pact with which bank to expand customer access to life insurance products?,Yes Bank,ICICI Bank,HDFC Bank,Axis Bank,Kotak Mahindra Bank,Yes Bank
68,"Who became the highest six-hitter in ODI history as of November 30, 2025?",Virat Kohli,MS Dhoni,Shahid Afridi,AB de Villiers,Rohit Sharma,Rohit Sharma
69,What mandate has the Department of Telecommunications (DoT) issued for messaging apps on users’ devices?,Apps must provide end-to-end encryption only,Apps must be constantly linked to a SIM card on the user’s device,Apps must allow multiple device login without restrictions,Apps must store all user data locally,Apps must be open-source,Apps must be constantly linked to a SIM card on the user’s device
70,Operation Trident is associated with which war?,Kargil War,1971 Indo-Pak War,Sino-Indian War,Operation Vijay,1965 Indo-Pak War,1971 Indo-Pak War
71,What is the purpose of Prime Minister Narendra Modi’s visit to Lucknow on 25 December?,To inaugurate the Indore Metro Rail Project,To launch the Maharashtra Power Distribution Enhancement Programme,To commemorate the 100th birth anniversary of Atal Bihari Vajpayee,To announce the Gujarat Skills Development Programme,To inaugurate a new AI research center in Lucknow,To commemorate the 100th birth anniversary of Atal Bihari Vajpayee
72,Which airport has become the first in India to deploy the advanced ‘Mobility Assist’ system for passengers with reduced mobility?,Delhi International Airport,Mumbai International Airport,Chennai International Airport,Hyderabad International Airport,Bengaluru’s Kempegowda International Airport,Bengaluru’s Kempegowda International Airport
73,What is the purpose of France’s new voluntary military service program announced by President Macron?,To recruit 18- and 19-year-olds for overseas military operations,To enroll young people in a 10-month domestic military service program,To replace compulsory military service with a permanent professional army,To train youths exclusively in cyber warfare,To create a special task force for international peacekeeping missions,To enroll young people in a 10-month domestic military service program
74,What is the purpose of the global Call for Nominations announced by MeitY and UN Women India?,To fund AI startups in India,To develop AI tools for the education sector,To compile a compendium showcasing AI solutions advancing gender equality,To regulate the use of AI in social media platforms,To train government employees in AI technologies,To compile a compendium showcasing AI solutions advancing gender equality
75,"Which country is the world’s largest producer of milk, as per the latest livestock report 2024–25?",United States,Brazil,China,India,Germany,India
76,Numaligarh Refinery Limited (NRL) has been recently granted which status by the Government of India?,Maharatna,Miniratna Category II,Navratna,Schedule B,Strategic CPSE,Navratna
77,Who has been appointed as the newest brand ambassador of DP World?,Sachin Tendulkar,Tommy Fleetwood,Rohit Sharma,Virat Kohli,Abhishek Sharma,Abhishek Sharma
78,Where was the 7th edition of the India International Seaweed Expo and Summit held?,"Mumbai, Maharashtra","Kolkata, West Bengal","Chennai, Tamil Nadu","Visakhapatnam, Andhra Pradesh","Kochi, Kerala","Kochi, Kerala"
79,How many products from Tamil Nadu now have the GI tag after the latest additions?,62,68,70,74,80,74
80,Which metro system has been recognized by Guinness World Records as the world’s longest fully driverless metro?,Dubai Metro,Riyadh Metro,Singapore MRT,Shanghai Metro,London Underground,Riyadh Metro
81,What is the main role of the National Centre for Polar and Ocean Research (NCPOR) in India?,To manage India’s coastal tourism initiatives,To anchor India’s polar and oceanic exploration,To regulate India’s inland waterways,To oversee India’s fisheries exports,To promote marine biotechnology startups,To anchor India’s polar and oceanic exploration
82,What is the name of the proposed UPI-like addressing system by the Department of Posts?,ADRS,DIGIPIN Hub,DHRUVA,NPAAS,e-Bharat Address,DHRUVA
83,Which team won the 31st Sultan Azlan Shah Cup 2025 in men’s field hockey?,India,Belgium,New Zealand,Malaysia,South Korea,Belgium
84,Which Indian Navy ship is the 4th Nilgiri-class (Project 17A) stealth frigate recently delivered?,INS Nilgiri,INS Taragiri,INS Himgiri,INS Udaygiri,INS Shivalik,INS Taragiri
85,What distinction has Delhi’s Indira Gandhi International Airport recently achieved?,First carbon-neutral airport in India,First water-positive airport handling over 40 million passengers,First airport with 100% renewable energy use,First airport to deploy automated baggage handling,First airport with zero waste management certification,First water-positive airport handling over 40 million passengers
86,What is commemorated on December 2 in India as National Pollution Control Day?,To raise awareness about air pollution,To honour the victims of the 1984 Bhopal Gas Tragedy,To promote water conservation,To celebrate achievements in renewable energy,To mark the foundation of the Central Pollution Control Board,To honour the victims of the 1984 Bhopal Gas Tragedy
