Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
11,Who has been appointed as the new Managing Director (MD) of Solar Energy Corporation of India (SECI)?,Ramesh Chand,Akash Tripathi,Alok Kumar,Rajiv Gauba,Ajay Mathur,Akash Tripathi
12,Which ministry invites nominations for the National Youth Award (NYA) 2024?,Ministry of Education,Ministry of Youth Affairs & Sports,Ministry of Social Justice & Empowerment,Ministry of Culture,Ministry of Skill Development & Entrepreneurship,Ministry of Youth Affairs & Sports
13,The Indian Armed Forces are participating in the multilateral exercise “BRIGHT STAR 2025” hosted by which country?,Saudi Arabia,Egypt,United Arab Emirates,United States,Israel,Egypt
14,Which team won the 134th edition of the Durand Cup 2025?,Diamond Harbour FC,North East United FC,Mohun Bagan,East Bengal,Chennaiyin FC,North East United FC
15,"From 27th August 2025, most Indian goods entering the US will attract what tariff rate under the Trump administration?",25%,30%,40%,50%,60%,50%
16,India’s Akums Drugs and Pharmaceuticals Limited signed a framework agreement with which country’s government to set up a new pharmaceutical manufacturing facility through a joint venture?,Kenya,South Africa,Namibia,Tanzania,Zambia,Zambia
17,"Recntly, which two Indian space start-ups launched satellites onboard SpaceX’s Falcon-9 rocket from California?",Agnikul & Skyroot,Pixxel & Dhruva Space,Bellatrix & Astrogate,ISRO & Skyroot,Pixxel & Bellatrix,Pixxel & Dhruva Space
18,"Veteran Communist Party of India (CPI) leader Suravaram Sudhakar Reddy, who passed away recently, held which key position in the CPI in 2012?",President,General Secretary,Treasurer,Vice President,Organizing Secretary,General Secretary
19,"Who was awarded the 2025 Stockholm Water Prize during the 35th World Water Week held in Stockholm, Sweden?",Prof. Veerabhadran Ramanathan,Prof. Gunter Bloschl,Prof. Ashok Gadgil,Prof. Claudia Tebaldi,Prof. Upmanu Lall,Prof. Gunter Bloschl
20,Who has been appointed as Executive Director at the International Monetary Fund (IMF) in August 2025?,Raghuram Rajan,Shaktikanta Das,Urjit Patel,D. Subbarao,Arvind Subramanian,Urjit Patel
21,"Which ministry launched an additional module on the UMEED portal to help widows, divorced women, and orphans apply for maintenance support from Waqf- alal-aulad properties?",Ministry of Women & Child Development,Ministry of Minority Affairs,Ministry of Social Justice & Empowerment,Ministry of Law & Justice,Ministry of Tribal Affairs,Ministry of Minority Affairs
22,Where was the 19th edition of the World Youth Archery Championships (WYAC) 2025 held?,"Lausanne, Switzerland","New Delhi, India","Winnipeg, Canada","Tokyo, Japan","Paris, France","Winnipeg, Canada"
23,The Government of India has extended the import duty exemption on cotton till which date?,31st March 2025,30th June 2025,30th September 2025,31st December 2025,31st March 2026,31st December 2025
24,What is the primary objective of the Rhisotope Project launched by the University of the Witwatersrand?,To increase rhino population,To make rhino horns traceable and deter illegal trafficking,To study rhino behavior,To provide medical care to rhinos,To promote tourism in South Africa,To make rhino horns traceable and deter illegal trafficking
25,Which Indian cricketer recently retired from the Indian Premier League (IPL) in 2025?,Ravichandran Ashwin,Virat Kohli,Rohit Sharma,Jasprit Bumrah,MS Dhoni,Ravichandran Ashwin
26,"Which ministry released the Revised National Action Plan on Glanders to strengthen surveillance, prevention, and control of the disease in India?",Ministry of Health & Family Welfare,Ministry of Agriculture & Farmers’ Welfare,"Ministry of Environment, Forests & Climate Change",Ministry of Science & Technology,"Ministry of Fisheries, Animal Husbandry & Dairying","Ministry of Fisheries, Animal Husbandry & Dairying"
27,Who has been appointed as India’s new High Commissioner to Canada in August 2025?,Sanjay Kumar Verma,Harsh Vardhan Shringla,Dinesh K Patnaik,Taranjit Singh Sandhu,Ruchira Kamboj,Dinesh K Patnaik
28,Where was the Asian Short Track Speed Skating Trophy 2025 hosted in India?,"Shimla, Himachal Pradesh","Manali, Himachal Pradesh","Gangtok, Sikkim","Leh, Ladakh","Dehradun, Uttarakhand","Dehradun, Uttarakhand"
29,"Which Indian state will host the FIDE World Cup 2025, marking the tournament’s return to India after 23 years?",Goa,Tamil Nadu,Maharashtra,Gujarat,Telangana,Goa
30,Which two states expressed willingness to resolve the Mahanadi water dispute amicably?,Odisha and Chhattisgarh,Chhattisgarh and Madhya Pradesh,Odisha and Maharashtra,Odisha and West Bengal,Chhattisgarh and Jharkhand,Odisha and Chhattisgarh
31,"The Income Tax Department has recently raised the prosecution threshold under the Black Money Act (BMA), 2015 for undisclosed foreign assets (excluding immovable property) to what amount?",₹5 lakh,₹10 lakh,₹15 lakh,₹20 lakh,₹25 lakh,₹20 lakh
32,What is the purpose of the ‘NAKSHA’ project recently launched in Puducherry?,To provide employment in rural areas,To improve public transportation,To promote renewable energy in cities,To develop smart cities,To create highly accurate digital land records of urban areas,To create highly accurate digital land records of urban areas
33,"Recently, India and Bhutan signed an MoU in Thimphu to strengthen cooperation in which sector?",Defence sector,Renewable energy sector,Education & skill development,Space research sector,Agriculture & allied sectors,Agriculture & allied sectors
34,What is the name of the strategic roadmap unveiled by Tripura CM Dr. Manik Saha?,Viksit Tripura 2047,Tripura Vision 2030,Unnati Tripura 2050,Shrestha Tripura 2040,Tripura Progressive Plan,Viksit Tripura 2047
35,Who inaugurated India’s first National Biofoundry Network in August 2025?,Dr. Harsh Vardhan,Dr. Jitendra Singh,Dr. K. Vijay Raghavan,Dr. Renu Swarup,Dr. Ashwini Kumar Choubey,Dr. Jitendra Singh
36,"Which company’s subsidiary, CG Semi, will roll out the first made-in-India semiconductor chip?",Tata Electronics,Vedanta Resources,CG Power and Industrial Solutions,Reliance Industries,Bharat Electronics Limited,CG Power and Industrial Solutions
37,Where was India’s first phytosaur fossil discovered?,"Leh, Ladakh","Thulus Spang, Suru Valley, Kargil, Ladakh","Nubra Valley, Ladakh","Pangong Lake, Ladakh","Zanskar Valley, Ladakh","Zanskar Valley, Ladakh"
38,Where was the Suru Summer Festival organized for the first time in 2025?,"Leh, Ladakh","Thulus Spang, Suru Valley, Kargil, Ladakh","Nubra Valley, Ladakh","Pangong Lake, Ladakh","Zanskar Valley, Ladakh","Thulus Spang, Suru Valley, Kargil, Ladakh"
39,"With traditional destinations tightening immigration norms, which country is emerging as a major new job frontier for Indian workers, potentially employing up to 1 million Indians by 2025?",Germany,Russia,Australia,Japan,France,Russia
40,29 August is observed internationally as which day?,International Day of Peace,International Day against Nuclear Tests,International Day for Total Elimination of Nuclear Weapons,International Atomic Energy Day,World Environment Day,International Day against Nuclear Tests
41,National Sports Day in India marks the birth anniversary of which sports legend?,Milkha Singh,P.T. Usha,Major Dhyan Chand,Kapil Dev,Saina Nehwal,Major Dhyan Chand
42,Which company launched the ‘Health Systematic Investment Plan (SIP)’ and the ‘Health Buddy’ App in India?,LIC,HDFC Life,ICICI Prudential Life,TATA AIA Life Insurance,SBI Life,TATA AIA Life Insurance
43,How much dividend did the Life Insurance Corporation of India (LIC) pay to the Centre for FY 2024–25?,"₹5,000 crore","₹6,250 crore","₹7,324.34 crore","₹8,100 crore","₹9,500 crore","₹7,324.34 crore"
44,Where did Punjab National Bank (PNB) open its first startup-focused branch in alignment with Startup India?,"Connaught Place, New Delhi","Bhikaji Cama Place, New Delhi","Nehru Place, New Delhi","Gurgaon, Haryana","Noida, Uttar Pradesh","Bhikaji Cama Place, New Delhi"
45,Which initiative aims to provide investor education to passengers on Vande Bharat trains?,Investment Ka Sahi Kadam,Rail Investor Connect,SEBI Women Investor Scheme,Mutual Fund Mahotsav,Bharat Nivesh Rail Yatra,Bharat Nivesh Rail Yatra
46,"Who has been appointed as the Chairman and CEO of the Indian Railway Board (IRB), becoming the first individual from the SC/Dalit community to hold this post?",Vinod Kumar Yadav,Suneet Sharma,Satish Kumar,Ashwani Lohani,Rajesh Agrawal,Satish Kumar
47,What is the total proposed financial support under India’s Export Promotion Mission (2025–2031)?,"Rs 10,000 crore","Rs 14,500 crore","Rs 20,000 crore","Rs 25,000 crore","Rs 30,000 crore","Rs 25,000 crore"
48,"Where is the Punatsangchhu-II Hydroelectric Project, completed in 2025, located?","Wangdue Phodrang District, Bhutan","Thimphu District, Bhutan","Paro District, Bhutan","Bumthang District, Bhutan","Chukha District, Bhutan","Wangdue Phodrang District, Bhutan"
49,Which youth football team achieved a historic European treble in 2025?,Bengaluru Football Club,Minerva Academy Football Club,Kerala Blasters Youth,Mohun Bagan Academy,FC Pune City Youth,Minerva Academy Football Club
50,What is the rank of Delhi in the Smart City Index 2025 published by IMD?,52,89,135,120,104,104
51,Which company launched the ‘ARISE FOR YOU’ innovation and entrepreneurship challenge for students in India?,Infosys,Wipro,HCL Technologies,Tata Consultancy Services,Tech Mahindra,HCL Technologies
52,Who among the following have recently been elevated as Supreme Court judges of India?,Justice Alok Aradhe and Justice Vipul Pancholi,Justice Surya Kant and Justice Vikram Nath,Justice J K Maheshwari and Justice Bhushan R Gavai,Justice N V Ramana and Justice D Y Chandrachud,Justice Ranjan Gogoi and Justice S A Bobde,Justice Alok Aradhe and Justice Vipul Pancholi
53,"What is Biochar, which is expected to play a crucial role in India’s carbon market set to launch in 2026?",A fossil fuel alternative derived from petroleum,"A type of charcoal rich in carbon, produced from agricultural residue",A fertilizer made from chemical compounds,A synthetic polymer used in construction,A natural gas substitute from biomass,"A type of charcoal rich in carbon, produced from agricultural residue"
54,Who has been appointed as the interim President of the Board of Control for Cricket in India (BCCI)?,Sourav Ganguly,Roger Binny,Rajeev Shukla,Shashank Manohar,N. Srinivasan,Rajeev Shukla
55,Under which scheme did India achieve a record-low price of ₹55.75/kg for Green Ammonia in the first SECI auction?,National Hydrogen Energy Mission,Strategic Interventions for Green Hydrogen Transition (SIGHT),National Bio-Energy Mission,Green Ammonia Development Scheme,Renewable Energy Development Program,Strategic Interventions for Green Hydrogen Transition (SIGHT)
56,India and Japan signed the implementing arrangement for which joint lunar mission?,Chandrayaan-4,Gaganyaan Lunar Mission,LUPEX-1,Chandrayaan-5,H3 Lunar Probe,Chandrayaan-5
57,"A pioneering documentary on Kushok Bakula Rinpoche, who played a key role in modern Ladakh and reviving Buddhism in Mongolia, premiered at which venue?","India International Centre, Delhi","India Habitat Centre, Delhi","National Museum, Delhi","Indira Gandhi National Centre for the Arts, Delhi","Siri Fort Auditorium, Delhi","India International Centre, Delhi"
58,Which irrigation project in Telangana has recently come under scrutiny for structural damage and design flaws?,Nagarjuna Sagar Project,Kaleshwaram Lift Irrigation Project,Polavaram Project,Sriram Sagar Project,Pranahita-Chevella Project,Kaleshwaram Lift Irrigation Project
59,Which scheme provides direct financial assistance to pregnant women and lactating mothers under Mission Shakti?,Pradhan Mantri Jan Arogya Yojana,Mission Indradhanush,Janani Suraksha Yojana,Poshan Abhiyaan,Pradhan Mantri Matru Vandana Yojana,Pradhan Mantri Matru Vandana Yojana
60,Nuakhai festival is primarily celebrated in which region of India?,"Western Odisha, Southern Chhattisgarh & adjoining areas of Simdega",Coastal Odisha,Northern Bihar,Western Maharashtra,Eastern Uttar Pradesh,"Western Odisha, Southern Chhattisgarh & adjoining areas of Simdega"
61,Which podcast series was launched by the Startup Policy Forum in collaboration with the IndiaAI Mission to highlight AI-driven startup journeys?,AI Startup Chronicles,IndiaAI in Action,AI Innovators India,Startup AI Spotlight,AI Success Stories,IndiaAI in Action
62,"During his visit to Japan, what traditional item was presented to Prime Minister Narendra Modi as a symbol of good luck?",Maneki-neko,Daruma doll,Kokeshi doll,Origami crane,Furin wind chime,Daruma doll
63,"When was Karnataka Grameena Bank formed under the ‘One State, One RRB’ concept?","January 1, 2024","May 1, 2025","April 1, 2023","June 1, 2025","March 1, 2024","May 1, 2025"
64,India’s fiscal deficit for April–July FY26 stood at what percent of the annual target?,17.2%,25%,29.9%,31%,33%,29.9%
65,What milestone did India’s Unified Payments Interface (UPI) achieve in August 2025?,Crossed ₹25 lakh crore monthly transaction value,Crossed 20 billion monthly transactions,Crossed 700 million yearly transactions,Crossed 721 million annual transactions,Crossed 15 billion daily transactions,Crossed 20 billion monthly transactions
66,What is the unique feature of Jio Payments Bank’s upcoming ‘Savings Pro’ account?,Free insurance coverage,Auto-invest idle cash in overnight mutual funds,Cashback on every transaction,No minimum balance requirement,International debit card facility,Auto-invest idle cash in overnight mutual funds
67,Outward remittances under RBI’s LRS scheme stood at how much in Q1 FY26?,$5.7 billion,$6.92 billion,$7.8 billion,$8.5 billion,$9.26 billion,$6.92 billion
68,Who said that India will soon become the world's third largest economy and credited the Pradhan Mantri Jan Dhan Yojana for boosting growth?,Narendra Modi,Nirmala Sitharaman,Sanjay Malhotra,Shaktikanta Das,Raghuram Rajan,Sanjay Malhotra
69,What was India’s net FDI in Q1FY26 (Apr–Jun 2025)?,$6.22 billion,$25.17 billion,$4.91 billion,$7.87 billion,$12.38 billion,$4.91 billion
70,"Which company is developing one of the world’s largest solar projects in Kutch, Gujarat, aiming to meet nearly 10% of India’s electricity needs?",Adani Group,Tata Power,NTPC Limited,Reliance Industries,ReNew Power,Reliance Industries
71,"Which company has been awarded the contract to replace India Post Payments Bank’s (IPPB) fleet of 1,000 ATMs and cash dispensers?",CMS Info Systems,AGS Transact Technologies,HDFC Bank,ICICI Bank,National Payments Corporation of India (NPCI),CMS Info Systems
72,Who has been elected as the new Chairman of Press Trust of India (PTI)?,Aveek Sarkar,N Ravi,Viveck Goenka,MV Shreyams Kumar,Mahendra Mohan Gupta,Mahendra Mohan Gupta
73,The Department of Posts signed an MoU with which company to develop and implement the DIGIPIN system?,Google Maps,HERE Technologies,Microsoft India,ESRI India,MapmyIndia - Mappls,MapmyIndia - Mappls
74,Where was India’s first tempered glass manufacturing facility for mobile devices inaugurated?,Gurugram,Bengaluru,Pune,Noida,Hyderabad,Noida
75,Which team won the 7th edition of the SAFF U17 Women’s Championship?,Bangladesh,Nepal,Bhutan,India,Sri Lanka,India
76,"Recently, Gangwal family sold how much stake in IndiGo for ₹2,933 crore?",0.8%,1.0%,1.3%,2.0%,3.0%,1.3%
77,"What position did Neeraj Chopra finish in the Diamond League Final 2025 held in Zurich, Switzerland?",Winner,Runner-up,Third Place,Fourth Place,Did not place,Runner-up
78,Who has been appointed as the Head of OpenAI’s education initiatives across India and the broader Asia-Pacific (APAC) region?,Sundar Pichai,Raghav Gupta,Satya Nadella,Sam Altman,Nandan Nilekani,Raghav Gupta
79,Japan recently pledged how much investment in India over the next 10 years?,$57 billion,$60 billion,$65 billion,$67 billion,$70 billion,$67 billion
80,Bihar Cabinet recently approved which scheme to provide financial aid to women for starting businesses?,Mukhyamantri Mahila Rojgar Yojana,Bihar Women Empowerment Yojana,Mahila Udyam Sahayata Yojana,Nitish Kumar Nari Shakti Yojana,Mahila Aatmanirbhar Mission,Mukhyamantri Mahila Rojgar Yojana
81,What is the purpose of raising the new 'Bhairav' light commando battalions by the Indian Army?,To conduct peacekeeping missions abroad,To enhance swift strike capabilities along borders with Pakistan and China,To replace regular infantry units,To provide disaster relief in remote areas,To train soldiers in cyber warfare,To enhance swift strike capabilities along borders with Pakistan and China
82,By which year does the Indian government plan to start bullet train operations on the Gujarat section of the Mumbai-Ahmedabad High-Speed Rail project?,2026,2027,2028,2029,2030,2027
83,What was India’s estimated real GDP growth in Q1FY26 (Apr–Jun 2025)?,6.5%,7.0%,7.8%,8.0%,8.8%,7.8%
84,SBI GIFT City signed a €100-million climate deal with which organization?,World Bank,AFD (Agence Française de Développement),IMF,ADB,NDB,AFD (Agence Française de Développement)
85,The Reserve Bank of India imposed a monetary penalty on Bandhan Bank for non-compliance with which regulatory requirement?,Non-adherence to KYC/AML norms,Violation of RBI directions on automation of income recognition and asset classification,Non-submission of statutory returns,Breach of Basel III capital requirements,Non-compliance with priority sector lending norms,Violation of RBI directions on automation of income recognition and asset classification
86,Which company has launched the ‘Unity Bank BharatPe Credit Card’ in partnership with Unity Small Finance Bank?,Paytm,BharatPe,PhonePe,Razorpay,MobiKwik,BharatPe
87,"Japan provided a loan of Rs 3,500 crore to fund which biofuel project in Assam?",Assam Bio Ethanol Private Limited (ABEPL),Assam Renewable Energy Corporation,Assam Green Fuels Ltd,Golaghat Bio Power Pvt Ltd,North East Bioenergy Ltd,Assam Bio Ethanol Private Limited (ABEPL)
88,Which company has partnered with ICICI Bank to implement India’s first Multi-Lane Free Flow (MLFF) tolling system?,NHAI,Indian Highways Management Company Limited (IHMCL),National Highways Authority of India (NHPI),Road Transport Corporation (RTC),FASTag Services Ltd,Indian Highways Management Company Limited (IHMCL)
89,The Telangana Legislative Assembly passed bills to ensure what percentage of reservation for Backward Classes (BCs) in local body polls?,35%,40%,42%,45%,50%,42%
90,Who is the author of the book Operation SINDOOR?,Arundhati Roy,Lt Gen KJS ‘Tiny’ Dhillon,Rajiv Malhotra,Gen Bipin Rawat,Vikram Sampath,Lt Gen KJS ‘Tiny’ Dhillon
91,What is India’s rank in the 2025 Global Peace Index (GPI) released by the Institute for Economics and Peace?,105,110,125,120,115,115
92,Where was the 16th Asian Shooting Championship held?,"Tokyo, Japan","Shymkent, Kazakhstan","Seoul, South Korea","Bangkok, Thailand","New Delhi, India","Shymkent, Kazakhstan"
93,Maharashtra launched which initiative to provide a uniform education curriculum for students with intellectual disabilities?,Disha Shiksha,Buddhi Vikas Yojana,Samagra Shiksha Vikas,Disha Abhiyan,Inclusive Learning Mission,Disha Abhiyan
94,What is the total length of the newly constructed Bairabi–Sairang rail line in Mizoram?,45.10 km,51.38 km,62.25 km,48.75 km,55.50 km,51.38 km
95,Which country was accepted as a dialogue partner of the Shanghai Cooperation Organisation (SCO) at the 2025 summit?,Vietnam,Thailand,Cambodia,Myanmar,Laos,Laos
96,Which states were the top performers in the State Energy Efficiency Index (SEEI) 2024 for fiscal year 2023-24?,"Maharashtra, Andhra Pradesh, Assam, Tripura","Karnataka, Tamil Nadu, Kerala, Telangana","Haryana, Punjab, Rajasthan, Odisha","Uttar Pradesh, Bihar, Gujarat, Madhya Pradesh","West Bengal, Chhattisgarh, Jharkhand, Sikkim","Maharashtra, Andhra Pradesh, Assam, Tripura"
97,"On the occasion of the first Amma Samman Diwas, Sikkim CM launched which initiative for women?",Nari Adalat,Nari Shakti Vikas,Mahila Nyaya Manch,Stree Samman Sabha,Women Justice Forum,Nari Adalat
98,"The annual three-day Mela Patt festival, dedicated to Lord Vasuki Nag, is celebrated in which Indian state/UT?",Jammu and Kashmir,Uttarakhand,Himachal Pradesh,Sikkim,Assam,Jammu and Kashmir
99,Which initiative recently launched a dedicated Media Tech Startup Incubator for the AVGC-XR sector?,Startup India Accelerator,WaveX by Ministry of Information & Broadcasting,Atal Innovation Mission,NITI Aayog Media Lab,Make in India Media Hub,WaveX by Ministry of Information & Broadcasting
100,"Which bank celebrated its 8th Foundation Day, leveraging India’s postal network for financial inclusion?",State Bank of India (SBI),India Post Payments Bank (IPPB),Punjab National Bank (PNB),HDFC Bank,Bank of Baroda,India Post Payments Bank (IPPB)
101,"How many UPI transactions were recorded in August 2025, crossing a historic milestone?",19.47 billion,24.85 billion,25.08 billion,21.67 billion,20.01 billion,20.01 billion
102,What was India’s GST collection in August 2025?,₹1.75 lakh crore,₹1.84 lakh crore,₹2.01 lakh crore,₹1.96 lakh crore,₹1.86 lakh crore,₹1.86 lakh crore
103,BSE and NSE imposed a total fine of ₹10.72 lakh on Coal India Ltd for non- compliance with which SEBI regulation?,Regulation 10,Regulation 15,Regulation 17,Regulation 19,Regulation 21,Regulation 17
104,Which two organisations signed an MoU to enhance insurance benefits for railway employees in India?,Indian Railways & LIC,Indian Railways & SBI,Indian Railways & HDFC,Indian Railways & ICICI Bank,Indian Railways & PNB,Indian Railways & SBI
105,Who chaired the first-ever Sports Goods Manufacturing Conclave held in New Delhi?,Union Minister of Commerce,Union Minister of Youth Affairs & Sports and Labour & Employment,Prime Minister of India,Union Minister of MSME,Union Minister of Industry,Union Minister of Youth Affairs & Sports and Labour & Employment
106,"How many medals did India win at the World Games 2025 in Chengdu, China?",One,Two,Three,Four,Five,Three
107,Which national initiative has enabled Pan-India integration of e-Government services on DigiLocker and e-District platforms?,Digital India,National e-Governance Division (NeGD),UMANG,MyGov,India Stack,National e-Governance Division (NeGD)
108,"The Matsya Shakti Project, launched in August 2025, aims to empower which community through skill development and sustainable livelihood training?",Tribal communities,Small-scale farmers,Women entrepreneurs,Minority fishing communities,Artisans,Minority fishing communities
109,Where was the BRICS Chamber of Commerce and Industry (CCI) Healthcare Summit 2025 held?,New Delhi,Beijing,Mumbai,Moscow,Johannesburg,New Delhi
110,Where was the third United Nations Conference on Landlocked Developing Countries (LLDC3) held in 2025?,"Awaza, Turkmenistan","Geneva, Switzerland","New York, USA","Vienna, Austria","Nairobi, Kenya","Awaza, Turkmenistan"
111,Which company has announced the acquisition of a majority stake in Pinkvilla India Pvt Ltd?,Amazon,Flipkart,Reliance Retail,Zomato,Tata Digital,Flipkart
112,Which tech company has partnered with the ICC to enhance fan engagement in women’s cricket?,Microsoft,Google,Apple,Amazon,Facebook,Google
113,"According to the National Annual Report and Index (NARI) 2025, which city is ranked among the safest for women in India?",Patna,Jaipur,Kohima,Delhi,Kolkata,Kohima
114,Which Indian organization won the Ramon Magsaysay Award 2025?,Pratham Education Foundation,Foundation to Educate Girls Globally (Educate Girls),Smile Foundation,Teach For India,Akshaya Patra Foundation,Foundation to Educate Girls Globally (Educate Girls)
115,NTPC shareholders approved a 1-year extension for CMD Gurdeep Singh. Until which year will he now serve?,2025,2026,2027,2028,2029,2026
116,What is the Bharat Forecast System (BharatFS) recently informed to the Rajya Sabha by Union Minister Jitendra Singh?,An advanced indigenous weather forecasting system,A new satellite navigation system,A high-speed rail network project,A national disaster management platform,A solar energy forecasting system,An advanced indigenous weather forecasting system
117,"Who has been appointed as the Non-Executive Chairman of Yes Bank Limited, with a term ending on May 13, 2027?",Shaktikanta Das,Rama Subramaniam Gandhi,Rajnish Kumar,Raghuram Rajan,Urjit Patel,Rama Subramaniam Gandhi
118,"According to SEBI’s revised framework, what is the new intraday net position limit for index options per entity?","₹1,000 crore","₹1,500 crore","₹3,000 crore","₹5,000 crore","₹10,000 crore","₹5,000 crore"
119,"During April-June FY26, which country emerged as the largest source of Foreign Direct Investment (FDI) in India?",Singapore,Mauritius,United States (US),United Arab Emirates (UAE),Japan,United States (US)
120,SBI recently raised $500 million through which instrument?,Equity Shares,Green Bonds,5-year Bonds,Treasury Bills,Preference Shares,5-year Bonds
121,Which organization has provided a USD 125 million loan for the Assam Urban Sector Development Project (AUSDP)?,Asian Development Bank (ADB),International Monetary Fund (IMF),World Bank,United Nations Development Programme (UNDP),BRICS Bank,Asian Development Bank (ADB)
122,Which bank has launched the ‘bob Digi Udyam’ platform to provide collateral- free loans to Micro and Small Enterprises (MSEs)?,State Bank of India (SBI),Punjab National Bank (PNB),Bank of Baroda (BoB),Union Bank of India,Canara Bank,Bank of Baroda (BoB)
123,"According to the Air Quality Life Index (AQLI) 2025 report, which region is identified as the world’s most polluted zone?",Northern Plains of India,Indo-Gangetic Plain,Eastern China,Sahara Region,Central Africa,Northern Plains of India
124,"The Union Cabinet approved a ₹1,500 crore Incentive Scheme under the National Critical Mineral Mission to promote recycling of which feedstock?",e-Waste and Battery Scrap,Plastic Waste,Coal Waste,Textile Waste,Thermal Ash,e-Waste and Battery Scrap
125,What is the primary objective of the PRATUSH telescope proposed to be placed in the lunar orbit?,Monitoring solar flares,Detecting signals from the universe's infancy,Studying asteroids and comets,Observing black holes,Tracking space debris,Detecting signals from the universe's infancy
126,Who launched the AI-powered mobile application for the India Mobile Congress (IMC) 2025?,Ashwini Vaishnaw,Nitin Gadkari,Rajeev Chandrasekhar,Piyush Goyal,Jyotiraditya M. Scindia,Jyotiraditya M. Scindia
127,"Recently, which organization signed a historic agreement with Patanjali Yoggram under the Ex-Servicemen Contributory Health Scheme (ECHS)?",Ministry of Defence,Department of Ex-Servicemen Welfare,Ministry of Health & Family Welfare,Indian Army Medical Corps,National Health Authority (NHA),Department of Ex-Servicemen Welfare
128,"What is the new cut-off date set by the Ministry of Home Affairs for persecuted minorities to apply for Indian citizenship under the Citizenship (Amendment) Act, 2019?","December 31, 2014","December 31, 2020","December 31, 2022","December 31, 2023","December 31, 2024","December 31, 2024"
129,Where was the 29th edition of the BWF World Championships 2025 held?,"Tokyo, Japan","Beijing, China","Kuala Lumpur, Malaysia","Jakarta, Indonesia","Paris, France","Paris, France"
130,On which date did NCERT celebrate its 65th foundation day in 2025?,29 August,1 September,2 September,3 September,4 September,1 September
131,Which ministry organized the Dr. Ambedkar National Merit Awards Ceremony 2025 to honor high-achieving SC and ST students?,Ministry of Education,Ministry of Tribal Affairs,Ministry of Social Justice and Empowerment,Ministry of Skill Development,Ministry of Women and Child Development,Ministry of Social Justice and Empowerment
132,Under which Act does the Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY) provide free foodgrains to eligible households?,"Essential Commodities Act, 1955","Food Safety and Standards Act, 2006","National Food Security Act, 2013","Public Distribution Act, 2010","Food Distribution and Safety Act, 2015","National Food Security Act, 2013"
133,"What is the full form of APEDA’s new initiative BHARATI, launched to boost India’s agri-food and agri-tech exports?","Bharat’s Hub for Agriculture, Research, Advancement, Trade & Innovation","Bharat’s Hub for Agritech, Resilience, Advancement and Incubation for Export Enablement","Bharat’s Hub for Agriculture, Resources and International Trade","Bharat’s Hub for Agri-food, Resilience and Trade Innovation",Bharat’s Hub for Agricultural Research and Technological Innovation,"Bharat’s Hub for Agritech, Resilience, Advancement and Incubation for Export Enablement"
134,What is the name of India’s first fully indigenous microchip unveiled at Semicon India 2025?,Kalpana-64,Bharat-32,Vikram-32,ISRO-180,Sarabhai-32,Vikram-32
