Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
13,What was the target of Iran's Operation Bashayer Al-Fath launched in response to the US’s Operation Midnight Hammer?,US Embassy in Iraq,Israeli Air Base,Al-Udeid Air Base in Qatar,Strait of Hormuz Naval Base,Camp Arifjan in Kuwait,Al-Udeid Air Base in Qatar
14,"As per Jal Shakti Minister C.R. Patil, by which year will the remaining 4 crore households get tap water connections under Jal Jeevan Mission?",2025,2026,2027,2028,2029,2028
15,"What is ConvEx-3 (2025), recently hosted by Romania in collaboration with the IAEA?",A nuclear disarmament summit,A global nuclear emergency preparedness exercise,A military nuclear weapons demonstration,A treaty signing event for radiation protection,A workshop on nuclear energy investment,A global nuclear emergency preparedness exercise
16,How many weapon systems has DRDO offered for emergency procurement to enhance the capabilities of the Indian Armed Forces?,14,28,22,18,34,28
17,Under which operation did the DRI seize ₹9 crore worth of Pakistani-origin goods illegally routed via Dubai?,Operation Black Border,Operation Sindoor,Operation Silent Route,Operation Deep Manifest,Operation Vigil Trade,Operation Deep Manifest
18,When will India conduct its first comprehensive Household Income Survey to assess income distribution across the country?,2024,2025,2026,2027,2028,2026
19,What is the estimated cost of the ‘Mukhya Mantri Kanya Vivah Mandap Yojana’ recently approved by the Bihar Cabinet?,"Rs.1,000 crore","Rs.2,526 crore","Rs.3,000 crore","Rs.4,026 crore","Rs.5,100 crore","Rs.4,026 crore"
20,Who is the author of the book ‘Mujib’s Blunders: The Powers and the Plot Behind His Killing’?,Salil Tripathi,Sagarika Ghose,Manash Ghosh,Humayun Ahmed,Yasmin Saikia,Manash Ghosh
21,From which year will CBSE conduct Class 10 board exams twice a year?,2024,2025,2026,2027,2028,2026
22,What was the net profit of Public Sector Banks (PSBs) in FY25 as per the Finance Ministry?,Rs.1.40 lakh crore,Rs.1.04 lakh crore,Rs.2.53 lakh crore,Rs.1.78 lakh crore,Rs.0.52 lakh crore,Rs.1.78 lakh crore
23,What is the name of the new Recurring Deposit scheme launched by Bank of Baroda that allows flexible monthly contributions?,bob Growth Deposit Plan,bob Smart Monthly Plan,bob Flexi Systematic Deposit Plan,bob Variable Installment Scheme,bob Saver Plus Account,bob Flexi Systematic Deposit Plan
24,ICICI Bank is set to raise its stake by up to 2% in which of its subsidiaries to maintain majority control?,ICICI Lombard General Insurance,ICICI Securities,ICICI Prudential AMC,ICICI Home Finance,ICICI Prudential Life Insurance,ICICI Prudential AMC
25,"What was India’s Current Account Surplus in Q4 FY25, as per official data?",$7 billion,$11.5 billion,$9.7 billion,$13.5 billion,$23.3 billion,$13.5 billion
26,Which digital payment system in India was recently praised by the IMF as a transformative force?,Bharat BillPay,Immediate Payment Service (IMPS),RuPay,Unified Payments Interface (UPI),BHIM App,Unified Payments Interface (UPI)
27,From which month and year will post offices across India start accepting digital payments at counters?,January 2025,April 2025,August 2025,December 2025,March 2026,August 2025
28,Who recently resigned as MD & CEO of Karnataka Bank citing personal reasons?,Srikrishnan Hari Hara Sarma,Ramesh Kumar,Sekhar Rao,Rajesh Sharma,Arvind Joshi,Srikrishnan Hari Hara Sarma
29,"What is the name of India’s first NBFC in the maritime sector, recently inaugurated by the Union Minister of Ports, Shipping & Waterways?",Maritime Development Finance Corporation,Port Infrastructure Finance Limited,Sagarmala Finance Corporation Limited,Coastal Finance and Shipping Corporation,Blue Economy Credit Corporation,Sagarmala Finance Corporation Limited
30,"What is the name of the mobile app launched by East Coast Railway for pilgrims attending the Rath Yatra in Puri, Odisha?",Rath Yatra Tracker,ECoR Rath Sewa,ECoR Yatra,Puri Darshan App,Jagannath Rail Connect,ECoR Yatra
31,Who won the 2025 Shakti Bhatt Prize for her debut memoir ‘The Lucky Ones’?,Arundhati Roy,Meena Kandasamy,Zara Chowdhary,Mridula Koshy,Arshia Sattar,Zara Chowdhary
32,"Which team won the overall title at the U-17 Asian Wrestling Championships 2025 held in Vung Tau, Vietnam?",Japan,Kazakhstan,China,India,Iran,India
33,"Who has been appointed as the new head of India’s external intelligence agency, RAW (Research and Analysis Wing), in 2025?",Ravi Sinha,Ajit Doval,Tapan Deka,Arvind Kumar,Parag Jain,Parag Jain
34,Torrent Pharmaceuticals is acquiring JB Chemicals at what approximate valuation in 2025?,"Rs.11,000 crore","Rs.25,000 crore","Rs.25,689 crore","Rs.32,000 crore","Rs.20,500 crore","Rs.25,689 crore"
35,"According to the ICC’s new playing conditions for the 2025–27 WTC cycle, what is the penalty if a fielding side delays starting a new over three times?",5 penalty runs to batting side,10 penalty runs to batting side,Bowler suspension,One over deducted,Free hit next ball,5 penalty runs to batting side
36,Scientists from which institute discovered the potential of teak leaf extract to protect eyes and sensors from laser radiation?,"Indian Institute of Science (IISc), Bengaluru","Raman Research Institute (RRI), Bengaluru","Bhabha Atomic Research Centre (BARC), Mumbai","Saha Institute of Nuclear Physics, Kolkata","Centre for Advanced Optical Technologies, Pune","Raman Research Institute (RRI), Bengaluru"
37,India recently exported 1.5 tonnes of litchi to Doha and Dubai from which state for the first time?,Bihar,Uttar Pradesh,West Bengal,Punjab,Himachal Pradesh,Punjab
38,"Which mobile application, developed by the Government of India, allows citizens to report accessibility issues for divyangjan and elderly individuals?",Divyang Mitra App,Sugamya Bharat App,Accessible India Portal,Barrier-Free India App,Samarth App,Sugamya Bharat App
39,What is the name of the initiative launched to strengthen startup collaboration under the UAE-India Comprehensive Economic Partnership Agreement (CEPA)?,India-UAE Startup Mission,CEPA Startup Bridge,UAE-India Innovation Corridor,UAE-India CEPA Start-up Series,Gulf-India Entrepreneur Initiative,UAE-India CEPA Start-up Series
40,How many Indian start-ups were selected in the 2025 cohort of the World Economic Forum’s Technology Pioneers programme?,5,8,10,12,15,10
41,Where is Safran Aircraft Engine Services India setting up the first MRO facility outside France for Rafale’s M88 engines?,Bengaluru,Pune,Hyderabad,Chennai,Nagpur,Hyderabad
42,Which district in Kerala has been declared as the first to eradicate extreme poverty?,Kottayam,Ernakulam,Thiruvananthapuram,Alappuzha,Kozhikde,Kottayam
43,"Under which section of the Representation of the People Act, 1951 are political parties registered with the Election Commission of India?",Section 14A,Section 29A,Section 33B,Section 9C,Section 25B,Section 29A
44,"What was the theme of Micro-, Small and Medium-sized Enterprises (MSME) Day 2025?",MSMEs for a Better Tomorrow,Building Local to Go Global,Sustainable MSMEs for Resilient Economies,Enhancing the Role of MSMEs as Drivers of Sustainable Growth and Innovation,Empowering Entrepreneurs for Atmanirbhar Bharat,Enhancing the Role of MSMEs as Drivers of Sustainable Growth and Innovation
45,Aadhaar Enabled Payment System (AePS) is operated by which organization to enable transactions using Aadhaar-based authentication?,Reserve Bank of India,UIDAI,National Payments Corporation of India (NPCI),Ministry of Finance,NITI Aayog,National Payments Corporation of India (NPCI)
46,From which date will RBI’s new guidelines for AePS touchpoint operators come into effect?,"October 1, 2025","December 1, 2025","January 1, 2026","April 1, 2026","March 31, 2026","January 1, 2026"
47,Which project earned the Inland Waterways Authority of India the ‘Sankalp se Siddhi Infrastructure Honour’ at the ET Edge Supply Chain Management Fest-2025?,Sagarmala Project,Jal Shakti Abhiyan,Bharatmala Pariyojana,Jal Marg Vikas Project,Ganga Action Plan,Jal Marg Vikas Project
48,"As per the new rules, who will have the exclusive authority to issue Aadhaar cards in Assam?",Panchayat Officer,Chief Minister Office,District Commissioner,Aadhaar Seva Kendra,Local Police Station,Panchayat Officer
49,What is the name of the monthly financial support scheme launched by the All India Chess Federation (AICF) for young chess talents?,Chess Star Support Plan,Young Grandmasters Fund,National Chess Growth Scheme,Top National Players Stipend Scheme,Rising Talent Scholarship,Top National Players Stipend Scheme
50,What is the name of the campaign launched by the Ministry of Housing and Urban Affairs under Swachh Bharat Mission–Urban 2.0?,Swachh Nagar Abhiyan,Har Ghar Swachhta,Swachh Bharat Kranti,"Safai Apnao, Bimaari Bhagao",Clean India Drive,"Safai Apnao, Bimaari Bhagao"
51,"As per the latest U.S. draft bill, what is the new proposed tax rate on cash- based remittances?",5%,3.5%,2%,1%,0%,3.5%
52,"Which company is acquiring a 75% stake in Akzo India for Rs.9,000 crore?",Berger Paints,JSW Paints,Kansai Nerolac,Indigo Paints,Shalimar Paints,JSW Paints
53,"How many major infrastructure projects worth Rs.10,637 crore were sanctioned by the Central Government for Jammu and Kashmir in 2025?",12 projects,19 projects,22 projects,15 projects,10 projects,19 projects
54,What is the name of the white swan plush toy carried by Indian astronaut Shubhanshu Shukla on the Axiom-4 ISS mission?,Hope,Joy,Grace,Truth,Swanlight,Joy
55,Who is the compiler of the book ‘Ambedkar ke Sandesh’?,Dr.,R. Ambedkar B. Dr. T.G. Prabhakar Premi,Dr. R. Srinivasayya,D.S. Veeraiah,None of the above,R. Ambedkar B. Dr. T.G. Prabhakar Premi
56,Which country hosted the NATO Summit 2025 for the first time since NATO’s formation in 1949?,Belgium,Germany,France,Netherlands,Türkiye,Netherlands
57,"In which Indian state is the Bonalu folk festival primarily celebrated, where Goddess Mahakali is worshipped with devotion and rituals?",Telangana,Andhra Pradesh,Karnataka,Tamil Nadu,Maharashtra,Telangana
58,"Who was the winner of the 2025 Prof. C.R. Rao National Award, announced during the 19th Statistics Day celebrations?",Dr. Prajamitra Bhuyan,Dr. Ramesh Chand,Dr. Soumya Swaminathan,Dr. Subhash Chandra,Dr. Nikhil Kumar,Dr. Prajamitra Bhuyan
59,"As per MoRTH's draft proposal, what will be the color of figures on number plates for private hydrogen-powered vehicles?",Yellow,White,Green,Black,Blue,White
60,Who addressed the “Golden Jubilee Celebration” of the Department of Official Language in 2025?,Rajnath Singh,Narendra Modi,Arjun Ram Meghwal,Dharmendra Pradhan,Amit Shah,Amit Shah
61,"Which African country recently received two locomotives from India, manufactured at Banaras Locomotive Works (BLW)?",Kenya,Nigeria,Mozambique,Ghana,Tanzania,Mozambique
62,"Which UAE-based bank became the first to get approval for opening an IBU in GIFT City, Gujarat?",Emirates NBD,Abu Dhabi Commercial Bank,Mashreq Bank,Dubai Islamic Bank,First Abu Dhabi Bank,Mashreq Bank
63,When was the State Bank of India (SBI) established following the nationalization of the Imperial Bank?,1950,1952,1955,1960,1965,1955
64,"What was the total value of India’s external debt at the end of March 2025, as reported by the Reserve Bank of India (RBI)?",USD 668.8 billion,USD 700.5 billion,USD 736.3 billion,USD 601.9 billion,USD 134.5 billion,USD 736.3 billion
65,What is the name of the CBI-led operation launched to crack down on mule bank accounts related to cybercrime and digital arrest scams?,Operation Cyber Net,Operation Chakra V,Operation Black Web,Operation MuleHunter,Operation Safe Bank,Operation Chakra V
66,"As per the latest Indian Railways proposal, how many hours before departure will reservation charts now be prepared?",2 Hours,4 Hours,6 Hours,8 Hours,10 Hours,8 Hours
67,"What is the name of the annual festival in Puri, Odisha, that marks the ceremonial journey of Lord Jagannath, Lord Balabhadra, and Goddess Subhadra to the Gundicha Temple?",Chariot Utsav,Jagannath Rath Yatra,Ashadha Festival,Gundicha Mela,Subhadra Parikrama,Jagannath Rath Yatra
68,"What is India’s global rank in milk, egg, and meat production as per 2023–24 data?","1st in Milk, 3rd in Eggs, 4th in Meat","2nd in Milk, 1st in Eggs, 4th in Meat","1st in Milk, 2nd in Eggs, 4th in Meat","1st in Milk, 2nd in Eggs, 5th in Meat","1st in Milk, 1st in Eggs, 3rd in Meat","1st in Milk, 2nd in Eggs, 4th in Meat"
69,Which title was conferred upon PM Narendra Modi during the centenary celebrations of Jain saint Acharya Vidyanand Ji Maharaj?,Dharma Chakravarti,Ahimsa Ratna,Dharma Samrat,Sant Shiromani,Jain Shiromani,Dharma Chakravarti
70,Which fossil park in Uttar Pradesh was added to the UNESCO Tentative List of World Heritage Sites in 2025?,Ghughua Fossil Park,Mandla Fossil Park,Salkhan Fossils Park,Dudhwa National Fossil Reserve,Amarkantak Fossil Site,Salkhan Fossils Park
71,"According to SDG progress data, what was India’s renewable energy share in total installed electricity generation in 2024–25?",16.02%,19.08%,21.67%,22.13%,20.75%,22.13%
72,Which Indian chess player became the top-ranked Indian after winning the UzChess Cup Masters 2025?,Viswanathan Anand,Arjun Erigaisi,Gukesh D,R Praggnanandhaa,Nihal Sarin,R Praggnanandhaa
73,Which state forms Trust to Oversee Construction of Grand Janaki Temple ?,Bihar,Uttar Pradesh,West Bengal,Punjab,Himachal Pradesh,Bihar
74,"What was the objective of Operation Bihali conducted in Udhampur, Jammu & Kashmir?",To rescue civilians trapped in floods,To seize illegal arms from insurgents,To neutralize Jaish-e-Mohammad terrorists,To provide humanitarian aid to border villages,To dismantle drug trafficking networks,To neutralize Jaish-e-Mohammad terrorists
75,Where has the National Turmeric Board recently established its headquarters?,Hyderabad,Nagpur,Nizamabad,Vijayawada,Warangal,Nizamabad
76,"As per MoRTH’s draft rules, from which date will it be mandatory for all two- wheelers manufactured in India to be equipped with Anti-Lock Braking System (ABS)?","January 1, 2025","April 1, 2025","July 1, 2025","January 1, 2026","March 1, 2026","January 1, 2026"
77,"As per the SDG National Indicator Framework, how many start-ups were recognised under Start-up India in 2024?",453,"10,125","22,174","34,293","15,000","34,293"
78,Which country has won the bid to host the 2029 World Police & Fire Games (WPFG)?,United States,Australia,United Kingdom,Canada,India,India
79,By what percentage has India reduced its GDP emission intensity in 2020 compared to 2005 levels?,22%,28%,30%,36%,40%,36%
80,"As per the SDG – National Indicator Framework 2025, what percentage of India’s population is covered by social protection systems in 2025?",22.0%,48.8%,64.3%,54.6%,24.4%,64.3%
81,Which teams won the women’s title in the inaugural edition of the Hockey India Masters Cup 2025?,Hockey Punjab (Women),Hockey Association of Odisha (Women),Hockey Odisha (Women),Hockey Maharashtra (Women),Hockey Karnataka (Women),Hockey Association of Odisha (Women)
82,"As per SDG 2025 data, what is the Gross Value Added (GVA) in agriculture per worker in 2024–25?","Rs.87,646","Rs.78,837","Rs.71,402","Rs.94,110","Rs.61,247","Rs.94,110"
83,Where does India rank in the Hurun Global Unicorn Index 2025?,First,Second,Third,Fourth,Fifth,Third
84,"According to the National Indicator Framework, what was India’s forest cover as a percentage of total geographical area in 2023?",21.34%,21.56%,21.76%,22.10%,22.35%,21.76%
85,"According to the SDG National Indicator Framework 2025, what percentage of rural population had access to improved drinking water sources in 2024–25?",94.57%,98.56%,99.25%,99.62%,95.98%,99.62%
86,What is commemorated on June 30 as per the United Nations declaration?,International Space Day,World Meteor Impact Day,International Asteroid Day,Planetary Defense Day,Tunguska Memorial Day,International Asteroid Day
87,"As per the Finance Ministry, what is the interest rate on Sukanya Samriddhi Account Scheme for July–September 2025 quarter?",7.60%,7.80%,8.00%,8.20%,8.40%,8.20%
88,Which company recently became the 6th Indian startup to attain unicorn status in 2025 after raising $120 million in Series D funding?,Netradyne,JSW One Platform,Juspay,Jumbotail,Porter,Jumbotail
89,"According to RBI’s June 2025 Financial Stability Report, what is the projected GNPA ratio for Scheduled Commercial Banks (SCBs) by March 2027 under the baseline scenario?",2.3%,2.5%,5.3%,5.6%,3.1%,2.5%
90,"What is the combined stake of LIC, SHCIL, and SBI (including SBI Caps) in the unlisted NSE as of June 2025?",15%,18%,23%,26%,30%,23%
91,"From what time will RBI’s Standing Deposit Facility (SDF) and Marginal Standing Facility (MSF) be available starting July 1, 2025?",5:30 PM to 11:00 PM,7:00 PM to 11:59 PM,6:00 PM to 12:00 AM,8:00 PM to 12:00 AM,7:00 PM to 11:00 PM,7:00 PM to 11:59 PM
92,AU Small Finance Bank has recently partnered with which organization to offer life insurance products?,SBI Life,HDFC Life,LIC,ICICI Prudential,Max Life,LIC
93,Which system has SEBI approved for performing digital KYC by registered intermediaries?,DigiLocker System,Aadhaar Vault,e-KYC Setu System,UPI Verify System,KRA Portal,e-KYC Setu System
94,At which event did MCPO Omkar Singh win India’s first medal in the 2025 World Military Shooting Championship?,25m Center Fire Pistol,10m Air Pistol,50m Rifle Prone,Skeet Shooting,Rapid Fire Pistol,25m Center Fire Pistol
95,"What is the main objective of the Hong Kong Convention (HKC), which came into force on June 26, 2025?",Regulate global maritime trade routes,Ensure safety of oil tankers in international waters,Promote digital navigation systems in cargo ships,Ensure safe and eco-friendly recycling of ships,Monitor piracy threats in shipping lanes,Ensure safe and eco-friendly recycling of ships
96,"As per the Brand Finance 2025 report, which company was ranked as India’s number one food brand by brand value?",Britannia,Dabur,Nandini,Amul,Mother Dairy,Amul
97,What is the primary function of the THAAD missile system developed by the United States?,Launching long-range cruise missiles,Destroying enemy tanks and ground forces,Intercepting and destroying ballistic missiles in their terminal phase,Surveillance and reconnaissance in enemy territory,Attacking nuclear submarines in deep seas,Intercepting and destroying ballistic missiles in their terminal phase
98,"Which Formula 1 driver won the 2025 Austrian Grand Prix, marking his third Grand Prix victory of the 2025 season?",Max Verstappen,Oscar Piastri,Lewis Hamilton,Lando Norris,Charles Leclerc,Lando Norris
99,Which two women groups were appreciated by PM Modi in the 123rd episode of Maan Ki Baat for their entrepreneurship?,Women from Leh & Varanasi,Women from Bhadrachalam & Kalaburgi,Women from Kochi & Bhilai,Women from Imphal & Raipur,Women from Bhuj & Gwalior,Women from Bhadrachalam & Kalaburgi
100,Which ministry has recently revised guidelines for the Waste-to-Energy Programme under the National Bioenergy Programme?,"Ministry of Environment, Forest and Climate Change",Ministry of Power,Ministry of New and Renewable Energy,Ministry of Rural Development,Ministry of Petroleum and Natural Gas,Ministry of New and Renewable Energy
101,Reliance Defence partnered with which US company for defence MRO services in India?,Boeing,Lockheed Martin,Coastal Mechanics Inc.,General Dynamics,Raytheon,Coastal Mechanics Inc.
102,What is the purpose of the SPREE 2025 scheme relaunched by ESIC?,Promoting registration of employers and employees under the ESI Act,Ensuring housing facilities for migrant workers,Promoting retirement benefits for senior citizens,Offering financial aid to MSMEs,Subsidizing medical insurance premiums,Promoting registration of employers and employees under the ESI Act
103,Where was one of India’s largest Battery Energy Storage Systems (BESS) manufacturing facilities inaugurated in 2025?,"Hosur, Tamil Nadu","Pune, Maharashtra","Noida, Uttar Pradesh","Bidadi, Karnataka","Gandhinagar, Gujarat","Bidadi, Karnataka"
104,"As per the 2024 report, which state recorded the highest number of faunal discoveries in India?",Karnataka,West Bengal,Maharashtra,Kerala,Arunachal Pradesh,Kerala
105,What is the main aim of the FIFA’s Football for Schools (F4S) Programme recently launched in India?,To promote professional football leagues in schools,To train school teachers in football coaching,To contribute to the education and development of children through football,To organize international school-level tournaments,To promote girls' participation in football exclusively,To contribute to the education and development of children through football
106,National Doctor’s Day in India is observed on 1st July to commemorate the birth and death anniversary of which legendary doctor?,Dr. A.P.J. Abdul Kalam,Dr. Pranab Mukherjee,Dr. Bidhan Chandra Roy,Dr. Manmohan Singh,Dr. Radhakrishnan,Dr. Bidhan Chandra Roy
107,Hul Diwas is observed annually on June 30 to commemorate which tribal leaders and their rebellion?,Birsa Munda and Sidho Murmu,Sidho and Kanhu Murmu,Tantya Bhil and Rani Durgavati,Tilka Majhi and Phulo Jhano,Komaram Bheem and Kanhu Murmu,Sidho and Kanhu Murmu
108,"Which multilateral organization subscribed to Rs.1,301.25 crore worth of NCDs issued by Aditya Birla Capital to support India's renewable and e-mobility sectors?",World Bank,Asian Infrastructure Investment Bank (AIIB),Asian Development Bank,International Monetary Fund (IMF),New Development Bank,Asian Infrastructure Investment Bank (AIIB)
109,Which bank has received RBI’s in-principle approval to acquire the fraud-hit New India Co-operative Bank (NICB)?,Punjab & Maharashtra Co-op Bank,Bharat Co-op Bank,Cosmos Co-op Bank,Saraswat Co-op Bank,Shamrao Vithal Co-op Bank,Saraswat Co-op Bank
110,Who has been appointed as the Chairperson of the Financial Services Institutions Bureau (FSIB)?,T. V. Somnathan,Bhanu Pratap Sharma,Shaktikanta Das,Ajay Seth,Rajiv Gauba,Bhanu Pratap Sharma
111,Which platform launched Web3 coins to enable decentralised crypto trading in India?,WazirX,Binance India,CoinDCX,CoinSwitch,ZebPay,CoinSwitch
112,"Which public sector bank recently waived penalties for non-maintenance of Minimum Average Balance (MAB) in savings accounts, effective July 1, 2025?",Bank of Baroda,UCO Bank,Union Bank of India,Indian Bank,Punjab National Bank,Punjab National Bank
113,SBI recently inaugurated ‘Global Trade Finance Centres’ in which two Indian cities?,Mumbai and Chennai,Kolkata and Hyderabad,Delhi and Bengaluru,Ahmedabad and Kochi,Pune and Surat,Kolkata and Hyderabad
114,What was the total UPI transaction volume recorded in June 2025?,18.68 billion,20.15 billion,17.92 billion,18.40 billion,19.05 billion,18.40 billion
115,Who won the first National Skill Olympiad on seafood value addition organised by MPEDA at Seafood Expo Bharat in Chennai?,Ravi Raj,Thanseer K R,Nitin Thomas,Ajay Menon,Manu Joseph,Thanseer K R
116,From which date has the Ministry of Railways rationalised passenger train fares based on the updated IRCA fare table?,1st July 2025,15th June 2025,1st June 2025,15th July 2025,1st August 2025,1st July 2025
117,What is the approved capital cost for the four-lane Paramakudi– Ramanathapuram NH-87 project?,"Rs.1,200 crore","Rs.2,100 crore","Rs.1,853 crore","Rs.1,500 crore","Rs.2,500 crore","Rs.1,853 crore"
118,What special taxation model has the G7 agreed to offer U.S. multinational companies under the global tax framework?,One-Pillar Taxation,Global Profit Sharing Model,Double Taxation Relief,Side-by-Side Taxation Model,Tax Haven Equalization Rule,Side-by-Side Taxation Model
119,Which indigenous disaster alert system has been developed by C-DOT and tested nationwide by DoT and NDMA?,SACHET Portal,eAlert System,mSafe System,Cell Broadcast System,DISPEL Network,Cell Broadcast System
120,What is the name of the newly approved National Sports Policy 2025 by the Union Cabinet?,Bharat Khelega Yojana,"Khelo Bharat Niti, 2025",Mission Olympic 2036,Sports India Vision 2047,Rashtriya Khel Sankalp,"Khelo Bharat Niti, 2025"
121,"As per the Scheme for Prime Minister’s Awards for Excellence in Public Administration 2025, how many total awards will be conferred under all categories?",10,12,16,18,20,16
122,IIM Kozhikode signed an MoU with which company to develop capacity- building programmes for the power sector?,NTPC,BHEL,Tata Power DDL,PowerGrid,Adani Power,Tata Power DDL
123,What is the name of the AI multilingual translation challenge launched under the WaveX Accelerator Programme?,BhashaSetu – Real-Time Language Tech for Bharat,BhashaYatra – AI Bridge for India,VaaniSetu – Voice AI for Bharat,LinguaTech India,AI Varta – Multilingual Voice Connect,BhashaSetu – Real-Time Language Tech for Bharat
124,What is the name of the second stealth frigate inducted under Project 17A by the Indian Navy?,INS Satpura,INS Shivalik,INS Udaygiri,INS Vindhyagiri,INS Talwar,INS Udaygiri
125,What is the name of the newly approved scheme by the Union Cabinet to incentivize employment generation and support first-time employees and employers?,PM Employment Guarantee Scheme,Skill India Mission,Employment Linked Incentive (ELI) Scheme,National Youth Employability Scheme,Atmanirbhar Rozgar Yojana,Employment Linked Incentive (ELI) Scheme
126,"Rs.1,894 crore PM MITRA mega textile park has been approved in which district of Tamil Nadu?",Coimbatore,Erode,Chennai,Virudhunagar,Madurai,Virudhunagar
127,Where was the 21st Steering Committee Meeting of Project Elephant chaired by Union Minister Bhupendra Yadav held?,"Coimbatore, Tamil Nadu","Kadanad, Tamil Nadu","Kaziranga, Assam","Dehradun, Uttarakhand","Bhubaneshwar, Odisha","Dehradun, Uttarakhand"
128,What is the name of the app launched by Indian Railways to integrate all passenger services?,RailOne,RailSeva,IRCTC Pro,UTS Next,Bharat Rail,RailOne
129,Where was the first-ever ASEAN-India Cruise Dialogue inaugurated by Union Minister Sarbananda Sonowal held?,Mumbai Port,Vishakhapatnam Port,Port Blair,Chennai Port,Kochi Port,Chennai Port
130,Which portal did the Department of Telecommunications (DoT) use to launch the module for spectrum demand survey under CNPN services?,Digital India Portal,BharatNet Portal,PM-WANI Portal,Saral Sanchar Portal,Spectrum India Portal,Saral Sanchar Portal
131,What is the name of the Electricity Safety Mascot launched during Electricity Safety Day 2025 in New Delhi?,Bijli Veer,Urja Rakshak,Power Pal,Vidyut Mitra,Suraksha Shakti,Suraksha Shakti
132,"As per the RBI's new directive effective from January 1, 2026, which of the following types of loans are exempted from prepayment penalties when offered on floating interest rates?",Loans to large corporates,Floating rate personal loans & MSE business loans,Fixed rate home loans,Education loans only,Loans sanctioned before January 2024,Floating rate personal loans & MSE business loans
133,What is the interest rate applicable on RBI's Floating Rate Savings Bond 2020 (Taxable) for July–December 2025?,8.05%,7.70%,7.50%,8.35%,7.85%,8.05%
134,What initiative has SBI launched to contribute to India’s Net Zero 2070 targets?,Green Credit Programme,Solar Rooftop Programme,Net Zero Financing Scheme,Sustainable Homes Mission,Eco India Solar Drive,Solar Rooftop Programme
135,What is the purpose of the Financial Fraud Risk Indicator (FRI) developed by the Department of Telecommunications (DoT)?,Classify banks by size,Predict inflation levels,Detect fraudulent mobile numbers and help prevent cyber-enabled financial fraud,Rank telecom companies,Identify loan defaulters,Detect fraudulent mobile numbers and help prevent cyber-enabled financial fraud
136,Which bank has classified Reliance Communications' loan account as ‘fraud’ and reported Anil Ambani to the RBI?,Punjab National Bank,Bank of Baroda,State Bank of India,ICICI Bank,HDFC Bank,State Bank of India
137,Who has been appointed as the President of the Kho-Kho Federation of India (KKFI) for a 4-year term in 2025?,Upkar Singh Virk,Govind Sharma,Rajeev Mehta,Sudhanshu Mittal,Sharad Chauhan,Sudhanshu Mittal
138,Which state achieved the highest score in the Management Effectiveness Evaluation report 2025 for Protected Areas in India?,Karnataka,Punjab,Himachal Pradesh,Kerala,Tamil Nadu,Kerala
139,Which university's researchers built the world’s first CMOS computer without silicon using two-dimensional materials?,Stanford University,Harvard University,MIT,Pennsylvania State University,"University of California, Berkeley",Pennsylvania State University
