Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
45,"Which Union Minister inaugurated key digital and welfare initiatives during the Army Commanders’ Conference held at Jaisalmer, Rajasthan?",Narendra Modi,Rajnath Singh,Amit Shah,Nirmala Sitharaman,Manohar Lal Khattar,Rajnath Singh
46,Which company has become the world’s first $5 trillion company due to the AI boom?,Apple,Microsoft,Nvidia,Alphabet,Amazon,Nvidia
47,"Which Indian chess players won gold medals at the European Chess Club Cup 2025 held in Rhodes, Greece?",D Gukesh and Abhimanyu Puranik,Nihal Sarin and Aravindh Chithambaram,D Gukesh and Divya Deshmukh,Abhimanyu Puranik and Divya Deshmukh,Nihal Sarin and D Gukesh,D Gukesh and Divya Deshmukh
48,Who became the first-ever cricketer (male or female) to score 200+ runs and take 20+ wickets in a single World Cup edition?,Smriti Mandhana,Deepti Sharma,Harmanpreet Kaur,Mithali Raj,Shafali Verma,Deepti Sharma
49,Where was the 2nd edition of the Indian Navy Commanders’ Conference 2025 held?,Mumbai,Kochi,Goa,Visakhapatnam,New Delhi,New Delhi
50,Who is the head of the panel formed to review the rates under RoDTEP and RoSCTL export schemes?,Ajay Seth,Neeraj Kumar Gupta,T. V. Somanathan,Sanjay Malhotra,Ramesh Abhishek,Neeraj Kumar Gupta
51,"Who has been recognised as a ""Top Agri-Food Pioneer"" by the World Food Prize Foundation?",Vikas Khanna,Ranveer Brar,Sanjeev Kapoor,Garima Arora,Atul Kochhar,Sanjeev Kapoor
52,Which fighter aircraft did President Droupadi Murmu fly in during her historic 30-minute sortie from Ambala Air Force Station?,Sukhoi-30 MKI,Mirage-2000,Rafale,Tejas,Jaguar,Rafale
53,The CMS-03 (GSAT-7R) satellite launched by ISRO’s LVM3-M5 ‘Bahubali’ rocket is primarily intended to provide which service?,Weather forecasting,Navigation support,Communication services,Earth observation,Disaster management support,Communication services
54,Which department of the Government of India is promoting Artificial Intelligence and Computational Thinking from Grade 3 as part of future-ready education?,Department of Higher Education,Department of School Education & Literacy,Ministry of Electronics & IT,National Council of Educational Research and Training,Central Board of Secondary Education,Department of School Education & Literacy
55,Which two GI-tagged lime varieties from India were recently exported by air for the first time to the United Kingdom?,Malda Lemon & Coorg Lime,Dindigul Lime & Kargil Lime,Nagpur Lime & Kachai Lemon,Assam Lemon & Coorg Lime,Indi Lime & Puliyankudi Lime,Indi Lime & Puliyankudi Lime
56,What is the name of the open-source online encyclopedia launched by Elon Musk’s AI company xAI?,Grokbook,Grokdata,xKnowledge,AIpedia,Grokipedia,Grokipedia
57,India achieved the milestone of crossing 500 GW total power capacity in which year?,2023,2024,2025,2030,2027,2025
58,Who was elected as Chair of the IUCN Species Survival Commission for the 2025–2029 term?,Vivek Menon,Razan Khalifa Al Mubarak,Dr Madhu Rao,Lima Rosalind,T.V. Somanathan,Vivek Menon
59,Where was the 31st edition of the Kolkata International Film Festival (KIFF) held?,Dhono Dhanyo Auditorium,Netaji Indoor Stadium,Rabindra Sadan,Nandan Film Centre,Science City Auditorium,Dhono Dhanyo Auditorium
60,Which bank won the WSBI–ESBG Sustainable Development Goals (SDG) Award 2025 in the Climate Finance category?,HDFC Bank,ICICI Bank,State Bank of India,Axis Bank,Punjab National Bank,State Bank of India
61,Which insurance company has been fined ₹1 crore by IRDAI for violating regulatory norms?,HDFC ERGO General Insurance,ICICI Lombard General Insurance,Liberty General Insurance,Tata AIG General Insurance,Bajaj Allianz General Insurance,Liberty General Insurance
62,What is the SMART-CROP project and its objective?,Crop insurance for farmers,Sustainable Monitoring and Real-time Tracking for Crop Resilience and Optimal Practices supporting smallholder farmers,Organic farming promotion,Irrigation infrastructure development,Market linkage for crops,Sustainable Monitoring and Real-time Tracking for Crop Resilience and Optimal Practices supporting smallholder farmers
63,LIC recently increased its stake in which two FMCG companies?,HUL and Britannia,Nestlé and ITC,Tata Consumer Products and Dabur India,Marico and Godrej Consumer,Patanjali and Emami,Tata Consumer Products and Dabur India
64,What changes has NHAI introduced in the Know Your Vehicle (KYV) process for FASTag users?,FASTag services will be discontinued for non-compliant vehicles,Only the front photograph of the vehicle is required for KYV,Users must visit the RTO to complete KYV,KYV process will now require both front and side vehicle images,FASTag will be deactivated immediately for vehicles with multiple registrations,Only the front photograph of the vehicle is required for KYV
65,Which organization developed the Indian Army’s first indigenously designed Software Defined Radios (SDRs)?,Hindustan Aeronautics Limited (HAL),Bharat Electronics Limited (BEL),Defence Research and Development Organisation (DRDO),Bharat Dynamics Limited (BDL),Indian Space Research Organisation (ISRO),Defence Research and Development Organisation (DRDO)
66,What plan has Union Minister Ashwini Vaishnaw approved for railway stations across India?,Development of 76 passenger holding areas,Construction of new platforms,Introduction of high-speed trains,Installation of Wi-Fi at all stations,Expansion of parking facilities,Development of 76 passenger holding areas
67,How did India commemorate Sardar Vallabhbhai Patel on his 150th birth anniversary in 2025?,Issuing a commemorative coin and stamp only,Launching development projects only,Organising a parade only,"Issuing a coin and stamp, launching development projects, flagging off e-buses, administering Ekta Diwas pledge, and organising a parade",Renaming a city in his honour,"Issuing a coin and stamp, launching development projects, flagging off e-buses, administering Ekta Diwas pledge, and organising a parade"
68,Which word has been named the 2025 Word of the Year by Dictionary.com?,Memeify,Streamcore,67 (Six-Seven),Riz,AI,67 (Six-Seven)
69,By how much has NHAI reduced the cost of toll collection in Public Funded Toll Plazas in FY 2024-25?,"₹1,500 Crores","₹2,000 Crores","₹2,500 Crores","₹3,000 Crores","₹2,062 Crores","₹2,062 Crores"
70,Which company has partnered with Google to offer the free Gemini AI Pro plan to Jio users for 18 months?,Bharti Airtel,Vodafone Idea,Reliance Industries Limited,Microsoft India,Tata Communications,Reliance Industries Limited
71,Which country has become the 26th in the world to eliminate trachoma as a public health problem?,Cambodia,Fiji,China,Nepal,Indonesia,Fiji
72,"Who launched the Anusandhan National Research Fund (Anusandhan Fund) worth ₹1 lakh crore, and what is its objective?",Dr. Jitendra Singh,Nirmala Sitharaman,Piyush Goyal,Rajeev Chandrasekhar,Dharmendra Pradhan,Piyush Goyal
73,What facilities has the Election Commission of India (ECI) provided to address voter queries and grievances?,Only State-level helplines,"National Voter Helpline, 36 State & District helplines, and Book-a-Call with BLO",Online chat support only,Helpline through political party offices,Voter assistance via post only,"National Voter Helpline, 36 State & District helplines, and Book-a-Call with BLO"
74,What is the name of Russia’s nuclear-powered unmanned underwater vehicle (UUV) recently tested and termed a ‘super weapon’?,Sarmat,Kanyon,Borei,Status-6,Poseidon,Poseidon
75,Who won Cameroon’s 2025 Presidential Election and became the world’s longest-serving President?,Ahmadou Ahidjo,Paul Biya,Samuel Eto’o,Maurice Kamto,John Fru Ndi,Paul Biya
76,What import duty has India imposed on yellow peas effective from 1 November 2025?,10%,20%,25%,30%,35%,30%
77,What is the objective of the ‘District Collectors’ Peyjal Samvad’ organised by DDWS under Jal Jeevan Mission?,Promote rural tourism,Strengthen local governance and accountability in water services,Launch new water supply infrastructure,Train school teachers in water conservation,Conduct river cleaning drives,Strengthen local governance and accountability in water services
78,"Which authority organised the “Niveshak Shivir” in Amritsar on 1st November 2025, and what was its objective?",Reserve Bank of India,Securities and Exchange Board of India,Investor Education and Protection Fund Authority,Ministry of Finance,National Stock Exchange,Investor Education and Protection Fund Authority
79,Which international institution has provided a USD 50 million loan to City Union Bank (CUB) to support MSMEs in adopting energy-efficient solutions?,Asian Development Bank,International Monetary Fund,World Bank,International Finance Corporation,New Development Bank,International Finance Corporation
80,"Who from Dharwad, Karnataka, has been chosen for the Rajyotsava Award 2025 for contributions to archaeology?",H.M. Pujar,S.V. Hittalmani,R.V. Nadagouda,Prof. Ravindra Korisettar,Somanna Dhanagonda,Prof. Ravindra Korisettar
81,"Which two countries signed agreements to develop new high-voltage cross-border power transmission lines, and what is the target completion year?",India and Bhutan,India and Nepal,India and Bangladesh,India and Sri Lanka,India and Myanmar,India and Nepal
82,Which initiative under the Ministry of Youth Affairs and Sports has crossed over 2 crore registrations?,Nehru Yuva Kendra Sangathan,Fit India Movement,Mera Yuva Bharat (MY Bharat),Khelo India Youth Games,National Service Scheme (NSS),Mera Yuva Bharat (MY Bharat)
83,"Which Indian tennis player, a two-time Grand Slam champion, announced his retirement from professional tennis in 2025?",Leander Paes,Yuki Bhambri,Mahesh Bhupathi,Somdev Devvarman,Rohan Bopanna,Rohan Bopanna
84,What was India’s fiscal deficit as a percentage of the full-year target during the first half (H1) of FY26?,29.4%,36.5%,43.7%,45.5%,49.0%,36.5%
85,Which Indian city was awarded the title ‘Creative City of Gastronomy’ under the UNESCO Creative Cities Network in 2025?,Hyderabad,Varanasi,Jaipur,Lucknow,Chennai,Lucknow
86,"Which two Indian business schools recently received AACSB International accreditation, placing them among the top 6% of business schools worldwide?",Indian School of Business and IIM Ahmedabad,Jindal Global Business School and Goa Institute of Management,IIM Bangalore and XLRI Jamshedpur,SP Jain Institute of Management and NMIMS Mumbai,Symbiosis Institute of Business Management and MDI Gurgaon,Jindal Global Business School and Goa Institute of Management
87,When was the PM Surya Ghar: Muft Bijli Yojana launched and what is its main objective?,January 2023 – to promote green hydrogen use,February 2024 – to provide free electricity to households,March 2025 – to develop solar parks,December 2023 – to reduce industrial power cost,April 2024 – to provide subsidy for EV charging,February 2024 – to provide free electricity to households
88,"Which company secured contracts from the Ministry of Defence to upgrade India’s anti-drone systems, and what is the contract value?",Zen Technologies Limited,Bharat Electronics Limited,Larsen & Toubro,Tata Advanced Systems,Hindustan Aeronautics Limited,Zen Technologies Limited
89,Which states were recognized as top-performing under the Atal Pension Yojana (APY) for FY 2024–25?,"Maharashtra, Gujarat, and Rajasthan","Jharkhand, Bihar, and Tripura","Uttar Pradesh, Tamil Nadu, and Odisha","Punjab, Haryana, and Assam","Kerala, West Bengal, and Sikkim","Jharkhand, Bihar, and Tripura"
90,"Which company was upgraded from Schedule ‘B’ to Schedule ‘A’ Central Public Sector Enterprise by the Government of India effective October 28, 2025?",NTPC Limited,NTPC Green Energy Limited,Power Grid Corporation of India,NHPC Limited,SJVN Limited,NTPC Green Energy Limited
91,"Which US President was conferred with South Korea’s highest civilian honour, the Grand Order of Mugunghwa, and presented with a replica of a Silla- Dynasty gold crown?",Joe Biden,Barack Obama,Donald Trump,George W. Bush,Bill Clinton,Donald Trump
92,Who launched the first fully digitised National Marine Fisheries Census 2025?,Parshottam Rupala,Rajeev Chandrasekhar,George Kurian,Jitendra Singh,Dharmendra Pradhan,George Kurian
93,Former England cricketer Sir James Michael Anderson was awarded the Knighthood for which contribution?,Services to cricket,Services to charity,Services to education,Services to sports medicine,Services to youth development,Services to cricket
94,"Which initiative is Telecom Centres of Excellence India implementing in collaboration with partners across Madhya Pradesh, Uttar Pradesh, and Andhra Pradesh to provide integrated digital and physical services in villages?",Digital India Mission,Samriddh Gram Phygital Services Pilot,e-Village Project,BharatNet Connect,Rural Digital Hubs,Samriddh Gram Phygital Services Pilot
95,"When is the International Day to End Impunity for Crimes against Journalists observed in 2025, and what is its theme?",November 1,November 2,November 5,November 10,November 15,November 2
96,In which month did UPI record its highest-ever transaction volume and value since its launch in 2016?,August 2025,May 2025,October 2025,September 2025,July 2025,October 2025
97,"Which two organizations signed an MoU to provide doorstep Digital Life Certificate services to pensioners under the Employees’ Pension Scheme, 1995?",India Post Payments Bank (IPPB) and Employees’ Provident Fund Organisation (EPFO),State Bank of India and Life Insurance Corporation of India,HDFC Bank and Pension Fund Regulatory Authority,ICICI Bank and Employees’ Provident Fund Organisation,Punjab National Bank and Ministry of Finance,India Post Payments Bank (IPPB) and Employees’ Provident Fund Organisation (EPFO)
98,"As of October 31, 2025, what is the value of Rs 2,000 banknotes still in circulation in India, and what percentage has been returned since their withdrawal was announced?","Rs 10,000 crore / 75% returned",Rs 3.56 lakh crore / 50% returned,"Rs 1,000 crore / 90% returned","Rs 5,817 crore / 98.37% returned","Rs 50,000 crore / 80% returned","Rs 5,817 crore / 98.37% returned"
99,Who were felicitated as Fit India Icons during the ‘National Fitness & Wellness Conclave 2025’ held in Mumbai?,"R Madhavan, Mary Kom, Sunil Chhetri","Karan Tacker, Vishwas Patil, Krishna Prakash","Virat Kohli, Deepika Padukone, PV Sindhu","Rohit Shetty, Harbhajan Singh, Saina Nehwal","Rohit Sharma, Hima Das, Saina Nehwal","Rohit Shetty, Harbhajan Singh, Saina Nehwal"
100,What is the name of India’s first defence electric vehicle developed by Pravaig Dynamics?,Rakshak,Shaurya,VEER,Suraksha,Vijay,VEER
101,Which organization released the Hindi translation of the Lithuanian novel “The Last Day” titled “Antim Din”?,National Book Trust,Indian Council for Cultural Relations,Ministry of External Affairs,Sahitya Akademi,Indian Council of Historical Research,Sahitya Akademi
102,Which company’s “Willow” quantum chip achieved the world’s first verifiable quantum advantage?,IBM,Microsoft,Google,Intel,Nvidia,Google
103,"Which New Zealand cricketer recently retired from Twenty20 internationals, and what were his major achievements in T20Is?",Kane Williamson,Ross Taylor,Martin Guptill,Trent Boult,Tim Southee,Kane Williamson
104,"What events were inaugurated in Hyderabad by Sanjay Jaju, and what key announcements were made?",WAVES Animation Bazaar and IndiaJoy 8th edition,International Film Festival of India,Delhi International Arts Summit,Kolkata Literature Festival,Mumbai Animation Expo,WAVES Animation Bazaar and IndiaJoy 8th edition
105,"Where was the multi-ethnic trilingual secondary school funded by India inaugurated, and under which initiative was it implemented?","Colombo, Sri Lanka – High Impact Community Development Projects","Kandy, Sri Lanka – Skill India Initiative","Polonnaruwa, Sri Lanka – High Impact Community Development Projects","Jaffna, Sri Lanka – Digital India Initiative","Galle, Sri Lanka – National Education Mission","Polonnaruwa, Sri Lanka – High Impact Community Development Projects"
106,Who has assumed charge as the new Director General of the Bureau of Indian Standards (BIS)?,T. V. Somanathan,Sanjay Garg,Ajay Kumar Bhalla,Rajesh Kumar Singh,Manoj Ahuja,Sanjay Garg
107,"Which lake in Bihar was recently designated as a Ramsar Site, and how many Ramsar Sites does India now have?",Gokul Jalashay – 92,Udaipur Jheel – 93,Gogabeel Lake – 94,Chilika Lake – 95,Vembanad Lake – 96,Gogabeel Lake – 94
108,The FIDE World Chess Cup Trophy has been named after which Indian chess legend?,Rameshbabu Praggnanandhaa,Viswanathan Anand,Pentala Harikrishna,Vidit Gujrathi,D. Gukesh,Viswanathan Anand
109,"Which memorial and museum was inaugurated by Prime Minister Narendra Modi in Chhattisgarh on the state’s 25th foundation day, and what are its key features?",Shaheed Veer Narayan Singh Memorial and Tribal Freedom Fighters Museum,Bhimbetka Rock Shelters Museum,"Tribal Heritage Museum, Odisha","Kanha Tribal Museum, Madhya Pradesh",Bastar Tribal Culture Museum,Shaheed Veer Narayan Singh Memorial and Tribal Freedom Fighters Museum
110,Which agency is implementing the National Beekeeping and Honey Mission (NBHM)?,NAFED,National Bee Board (NBB),APEDA,NABARD,FSSAI,National Bee Board (NBB)
111,What is the purpose of Delhi Government’s ‘Pink Saheli Smart Card’ initiative?,To provide free bicycles to students,To offer discounted fares for senior citizens,To promote electric buses in Delhi,To digitalize the metro ticketing system,To provide free and convenient travel for women and transgender commuters,To provide free and convenient travel for women and transgender commuters
112,By how much is India planning to expand its rare earth magnet manufacturing incentive scheme?,"Over ₹7,000 crore / $788 million","₹1,000 crore / $120 million","₹5,000 crore / $600 million","₹3,500 crore / $400 million","₹10,000 crore / $1,200 million","Over ₹7,000 crore / $788 million"
113,"Former Indian hockey goalkeeper Manuel Frederick, who passed away recently, was the first sportsperson from which state to win an Olympic medal?",Tamil Nadu,Karnataka,Kerala,Andhra Pradesh,Goa,Kerala
114,Which bank executed its first gold trade as a Special Category Client (SCC) on the India International Bullion Exchange?,HDFC Bank,Punjab National Bank,Bank of Baroda,State Bank of India,ICICI Bank,State Bank of India
115,Which bank launched the annual employee excellence award titled ‘SBI STAR’?,State Bank of India (SBI),HDFC Bank,ICICI Bank,Punjab National Bank (PNB),Axis Bank,State Bank of India (SBI)
116,Which company partnered with Razorpay Curlec to enable UPI transactions in Malaysia?,National Payments Corporation of India (NPCI),Paytm,Google Pay,PhonePe,SBI Pay,National Payments Corporation of India (NPCI)
117,Which team won the 42nd edition of the Indian Oil Servo Surjit Hockey Trophy by defeating Indian Railways Delhi?,Indian Oil Mumbai,Indian Railways Delhi,Punjab Warriors,Hockey India Academy,Bharat Petroleum,Indian Oil Mumbai
118,Which authority imposed penalties on Dikshant IAS and Abhimanu IAS for misleading advertisements and unfair trade practices?,Securities and Exchange Board of India (SEBI),Central Consumer Protection Authority (CCPA),Competition Commission of India (CCI),Ministry of Corporate Affairs (MCA),Reserve Bank of India (RBI),Central Consumer Protection Authority (CCPA)
119,The ₹1 Lakh Crore RDI Scheme launched by the Prime Minister focuses on strengthening which sector?,Agriculture Sector,Research & Innovation Ecosystem,Banking & Finance Sector,Tourism & Culture Sector,Education Sector,Research & Innovation Ecosystem
120,Who has been appointed as the 111th Mayor of New York City?,Eric Adams,Zohran Mamdani,Bill de Blasio,Andrew Cuomo,Ritchie Torres,Zohran Mamdani
121,Which event witnessed the first-ever Sekhon Indian Air Force Marathon in 2025?,SIM-20,SIM-22,SIM-25,IAF Run-2025,Air Force Marathon 2025,SIM-25
122,India will celebrate 100 years of Indian Hockey in 2025. Where will the centenary celebration be held?,"Kalinga Stadium, Bhubaneswar","Major Dhyan Chand National Stadium, New Delhi","Sardar Vallabhbhai Patel Stadium, Gujarat","Chhatrasal Stadium, Delhi","Indira Gandhi Indoor Stadium, Delhi","Major Dhyan Chand National Stadium, New Delhi"
123,Which organisation hosted the Young Leaders Forum (YLF)-VEER YUVA in collaboration with the Indian Army?,Centre for Land Warfare Studies (CLAWS),Institute for Defence Studies and Analyses (IDSA),National Defence College (NDC),Vivekananda International Foundation (VIF),United Service Institution of India (USI),Centre for Land Warfare Studies (CLAWS)
124,Which authority facilitated the first export consignment of fortified rice kernel from Chhattisgarh to Costa Rica?,Food Corporation of India (FCI),Agricultural and Processed Food Products Export Development Authority (APEDA),Ministry of Agriculture,FSSAI,NABARD,Agricultural and Processed Food Products Export Development Authority (APEDA)
125,Which Indian players were included in the ICC Women’s ODI World Cup Team of the Tournament?,"Smriti Mandhana, Harmanpreet Kaur & Jhulan Goswami","Jemimah Rodrigues, Pooja Vastrakar & Radha Yadav","Smriti Mandhana, Jemimah Rodrigues & Deepti Sharma","Deepti Sharma, Harmanpreet Kaur & Shafali Verma","Smriti Mandhana, Shafali Verma & Renuka Singh","Smriti Mandhana, Jemimah Rodrigues & Deepti Sharma"
126,Who conferred the Bharat Ratna Dr. Bhupen Hazarika National Awards in Guwahati?,Amit Shah,Jyotiraditya Scindia,Nitin Gadkari,Rajnath Singh,Piyush Goyal,Jyotiraditya Scindia
