Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
62,What is the main objective of the newly launched AyushSuraksha Portal?,To promote Ayurvedic education in rural areas,To regulate the export of Ayush products,To monitor misleading advertisements and adverse drug reactions in Ayush sector,To provide free online Ayush consultations,To register Ayush startups for government funding,To monitor misleading advertisements and adverse drug reactions in Ayush sector
63,Who won the 72nd Miss World title in 2025?,Nandini Gupta (India),Krystyna Pyszkova (Czech Republic),Opal Suchata Chuangsri (Thailand),Hasset Dereje Admassu (Ethiopia),Maja Klajda (Poland) /,Opal Suchata Chuangsri (Thailand)
64,Which district has become the first in India to meet its entire power demand through solar energy?,"Leh, Ladakh","Diu, Dadra and Nagar Haveli and Daman and Diu","Kurnool, Andhra Pradesh","Jaisalmer, Rajasthan","Bikaner, Rajasthan","Diu, Dadra and Nagar Haveli and Daman and Diu"
65,Where is India’s first privately led helicopter Final Assembly Line (FAL) being set up by Tata Advanced Systems and Airbus?,"Kolar, Karnataka","Vadodara, Gujarat","Hyderabad, Telangana","Nagpur, Maharashtra","Bengaluru, Karnataka","Kolar, Karnataka"
66,What was the theme of the year-long celebration of Sikkim’s 50th Statehood anniversary in 2025?,Vibrant Sikkim,"One India, One Sikkim /","Sunaulo, Samriddha and Samarth Sikkim",Golden Sikkim at 50,Evergreen Sikkim,"Sunaulo, Samriddha and Samarth Sikkim"
67,Who won the 2025 Princess of Asturias Award for Sports?,Rafael Nadal,Serena Williams,Lionel Messi,Novak Djokovic,Simone Biles,Serena Williams
68,What was the theme of World No Tobacco Day 2025 observed on 31st May?,Tobacco Threatens Our Environment,Unmasking the Appeal: Exposing Industry Tactics on Tobacco and Nicotine Products,Protecting Youth from Industry Manipulation,Quit Tobacco to Save Lives,Tobacco and Heart Disease,Unmasking the Appeal: Exposing Industry Tactics on Tobacco and Nicotine Products
69,Who has been appointed as the 9th President of the African Development Bank (AfDB)?,Akinwumi Adesina,Sidi Ould Tah,Donald Kaberuka,Ngozi Okonjo-Iweala,Moussa Faki,Sidi Ould Tah
70,What is the title of the documentary series launched by RBI in collaboration with Jio Hotstar?,Rupee Chronicles /,RBI,RBI Unlocked: Beyond the Rupee,The Reserve Story,Money Matters India,RBI Unlocked: Beyond the Rupee
71,How much sovereign lending is the Asian Development Bank (ADB) ready to provide annually to India?,$2 billion,$3 billion,$4.5 billion,$5 billion,$6 billion,$4.5 billion
72,How much has ADB committed for India's urban transformation over the next 5 years?,$5 billion,$3 billion,$7 billion,$10 billion,$15 billion,$10 billion
73,"According to RBI’s revised 2025 guidelines, deposits not operated for how many years will be transferred to the DEA Fund?",5 years,7 years,10 years,2 years,15 years,10 years
74,Which bank signed a tripartite MoU with AMUL and Richplus to promote organic farming in India?,Indian Overseas Bank,Punjab National Bank,State Bank of India,Bank of Baroda,Union Bank of India,Indian Overseas Bank
75,What was the total volume of UPI transactions recorded in May 2025?,17.89 billion,18.3 billion,25.14 billion,18.68 billion,16.72 billion,18.68 billion
76,How much total penalty did the Reserve Bank of India (RBI) impose on regulated entities in FY 2024-25 for statutory violations?,Rs.11.11 crore,Rs.15.63 crore,Rs.54.78 crore,Rs.14.80 crore,Rs.83 lakh,Rs.54.78 crore
77,"What was the gross GST collection in May 2025, as per recent government data?",Rs.2.01 Lakh Crore,Rs.1.87 Lakh Crore,Rs.1.50 Lakh Crore,Rs.2.37 Lakh Crore,Rs.1.92 Lakh Crore,Rs.2.01 Lakh Crore
78,Which debit cards are included with Indian Bank’s new NRE savings account variants for NRIs?,"IND Classic, IND Silver, IND Gold","IND D’Elite, IND Premium, IND Plus","Visa Platinum, MasterCard Signature, Rupay Titanium","Axis Magnus, SBI Elite, ICICI Sapphire","HDFC Regalia, Kotak Privy, Yes First","IND D’Elite, IND Premium, IND Plus"
79,Who has been appointed as the President of the Confederation of Indian Industry (CII) for the year 2025–26?,R Mukundan,Rajiv Memani,Sanjiv Puri,Suchitra K Ella,N. Chandrasekaran,Rajiv Memani
80,Where is Indian Oil Corporation Limited (IOCL) setting up India’s largest Green Hydrogen Generation Unit?,"Jamnagar, Gujarat","Panipat, Haryana","Paradeep, Odisha","Visakhapatnam, Andhra Pradesh","Bina, Madhya Pradesh","Panipat, Haryana"
81,Which Australian cricketer recently announced his retirement from One Day Internationals (ODIs)?,David Warner,Pat Cummins,Glenn Maxwell,Steve Smith,Mitchell Starc,Glenn Maxwell
82,Which club won its maiden UEFA Champions League title in 2025 by defeating Inter Milan?,Real Madrid,Marseille,Inter Milan,Paris Saint-Germain (PSG),Bayern Munich,Paris Saint-Germain (PSG)
83,Who has been appointed as the 18th Commander-in-Chief of the Andaman and Nicobar Command (CINCAN)?,Air Marshal Saju Balakrishnan,Lt Gen Upendra Dwivedi,Admiral R. Hari Kumar,Lt Gen Dinesh Singh Rana,Vice Admiral Sanjay Jasjit Singh,Lt Gen Dinesh Singh Rana
84,What is the denomination of the commemorative coin issued by PM Modi in honor of Ahilyabai Holkar?,Rs.100,Rs.200,Rs.250,Rs.300,Rs.500,Rs.300
85,"What is the name of India’s first indigenously developed, government-funded AI-based Multimodal Large Language Model (LLM)?",AI Bharat,IndicGen,Bharat GPT,Bharat Gen,Vani AI,Bharat Gen
86,What is the purpose of the Krishi Nivesh Portal launched by the Ministry of Agriculture?,To provide subsidies directly to farmers,To sell agricultural produce online,To integrate agri-investment schemes under one digital platform,To monitor weather and crop patterns,To provide crop insurance,To integrate agri-investment schemes under one digital platform
87,Which three startups have joined India’s AI Mission after Sarvam to build foundation AI models?,"Infosys, TCS, Mindtree","OpenAI, Razorpay, Google India","Soket AI, Gan.ai, Gnani AI","Paytm AI, Microsoft India, EnKash","Haptik, Zoho AI, CRED","Soket AI, Gan.ai, Gnani AI"
88,"What is the purpose of the National Anubhav Awards Scheme, 2025 recently announced by the Ministry of Personnel, Public Grievances & Pensions?",Reward innovations in governance,Promote pension schemes,Document and share work experiences of retiring employees,Encourage employee attendance,Provide financial aid to retired employees,Document and share work experiences of retiring employees
89,What is the theme of World Milk Day 2025?,Let’s Celebrate The Power of Dairy,Nutrition through Dairy,Milk for All,Dairy for Growth,Power in Every Drop,Let’s Celebrate The Power of Dairy
90,How much worth of G-Secs did FPIs sell in Q1 FY26 under the Fully Accessible Route (FAR)?,"Rs.15,000 crore","Rs.25,544 crore","Rs.20,000 crore","Rs.12,650 crore","Rs.30,000 crore","Rs.25,544 crore"
91,"Which HDFC Bank subsidiary received SEBI approval for launching India’s largest NBFC IPO worth Rs.12,500 crore?",HDFC Securities,HDB Financial Services,HDFC Capital,HDFC AMC,HDFC Infra Ltd,HDB Financial Services
92,Swarup Kumar Saha's tenure as MD & CEO of Punjab & Sind Bank has been extended till which year?,2027,2026,2025,2028,2030,2027
93,"Which global investment firm sold 2.6% stake in YES Bank for Rs.1,775 crore through open market transactions?",Blackstone Group,Bain Capital,Carlyle Group,Warburg Pincus,KKR & Co.,Carlyle Group
94,Which company recently received in-principle RBI approval to operate as a cross-border payment aggregator in India?,PayPal,Wise,PhonePe,Revolut,Western Union,Wise
95,"Under which article of the Indian Constitution were the new regulations for Ladakh’s land, jobs, and cultural preservation issued?",Article 370,Article 244,Article 240,Article 371,Article 368,Article 240
96,"Under the KERA project, how much financial assistance will rubber farmers receive per hectare?","Rs.50,000","Rs.60,000","Rs.75,000","Rs.1,00,000","Rs.1,25,000","Rs.75,000"
97,What is the minimum investment required under the EV manufacturing scheme notified by the Government of India?,"Rs.3,000 crore","Rs.5,000 crore","Rs.4,150 crore","Rs.6,484 crore","Rs.2,000 crore","Rs.4,150 crore"
98,Who won the 2025 Indian Premier League (IPL) title and how was the final match decided?,Mumbai Indians by 5 wickets,Chennai Super Kings by 3 runs,Royal Challengers Bengaluru by 6 runs,Punjab Kings by 4 wickets,Kolkata Knight Riders by 7 runs,Royal Challengers Bengaluru by 6 runs
99,What was India’s overall rank in the medal tally at the 26th Asian Athletics Championships 2025?,First,Second,Third,Fourth,Fifth,Second
100,"Who is the author of the book ""The Great Conciliator: Lal Bahadur Shastri and the Transformation of India""?",Ramachandra Guha,Sanjeev Chopra,Shashi Tharoor,Jairam Ramesh,Rajmohan Gandhi,Sanjeev Chopra
101,Which city in Andhra Pradesh is set to host an ICC Women’s Cricket World Cup 2025 match after 28 years?,Vijayawada,Visakhapatnam,Tirupati,Guntur,Rajahmundry,Visakhapatnam
102,What is the total cost of the Aravalli Green Wall Project launched by PM Modi?,"Rs.12,000 crore","Rs.14,800 crore","Rs.16,053 crore","Rs.18,200 crore","Rs.20,000 crore","Rs.16,053 crore"
103,What is the name of the newly inaugurated centre by DRDO to boost India’s indigenous quantum capabilities?,Quantum Innovation Lab,Quantum Computing Centre,Quantum Defence Unit,Quantum Technology Research Centre (QTRC),Centre for Advanced Quantum Studies,Quantum Technology Research Centre (QTRC)
104,"The Pinaka Multi Barrel Rocket Launcher, developed by ARDE and licensed to NIBE Limited, is named after which mythological weapon?",Sudarshan Chakra,Trishul,Vajra,Pinak,Sharanga,Pinak
105,"What is the 70th division of Indian Railways that came into effect from June 1, 2025?",Firozpur Division,Jammu Division,Baramulla Division,Srinagar Division,Amritsar Division,Jammu Division
106,Who received the Global Leadership Award at the 8th USISPF Annual Leadership Summit in 2025?,Ratan Tata,Natarajan Chandrasekaran,Kumar Mangalam Birla,Sundar Pichai,Satya Nadella,Kumar Mangalam Birla
107,What is India’s rank in the Climate Change Performance Index (CCPI) 2025?,4th,7th,9th,10th,18th,10th
108,Who was elected President of the International Institute of Administrative Sciences (IIAS) for the 2025–2028 term?,Ajay Seth,Rajeev Chandrasekhar,T.V. Somanathan,V. Srinivas,Amitabh Kant,V. Srinivas
109,"What is the name of IRCTC’s AI-based assistant that helps in booking, cancelling and tracking train tickets?",RailBot,eRailMate,RailYatri AI,AskDISHA 2.0,IRCTC Assistant,AskDISHA 2.0
110,What is the name of the newly declared conservation reserve in Telangana that connects Kawal Tiger Reserve with Tadoba-Andhari Tiger Reserve?,Deccan Tiger Reserve,Godavari Corridor Sanctuary,Kumram Bheem Conservation Reserve,Telangana-Maharashtra Wildlife Belt,Gondwana Tiger Landscape,Kumram Bheem Conservation Reserve
111,What is the theme of World Environment Day 2025?,Restore Our Earth,Ecosystem Restoration,Only One Earth,Putting an End to Plastic Pollution,Time for Nature,Putting an End to Plastic Pollution
112,Who has been appointed as the new Chairman of Telangana Grameena Bank (TGB) for a three-year term?,Y. Sobha,K. Prathapa Reddy,R. K. Singh,V. Satyanarayana,P. Ramesh Rao,K. Prathapa Reddy
113,"Under the RBI’s 2024–25 scheme, how many prizes will be awarded for writing books originally in Hindi on Economics/Banking/Finance?",One,Two,Three,Five,Ten,Three
114,What does the newly launched Motilal Oswal BSE 1000 Index Fund track?,BSE Sensex,NSE Nifty 50,BSE 1000 Total Return Index,BSE Midcap 150,NSE Nifty Next 50,BSE 1000 Total Return Index
115,SBI signed an MoU with which state’s Digital Economy Mission to support the development of Global Capability Centres (GCCs)?,Maharashtra,Gujarat,Tamil Nadu,Karnataka,Telangana,Karnataka
116,What stake has Central Bank of India acquired in Future Generali India Life Insurance Company Ltd (FGILICL)?,24.91%,25.18%,51%,8.21%,20%,25.18%
117,"What is the estimated Real GDP growth rate of India for FY25, as per the Provisional Estimates released by NSO?",6.2%,6.4%,6.5%,6.6%,7.4%,6.5%
118,Who topped the 2025 Candere Hurun India Women Leaders List among top professionals?,Vibha Padalkar,Parminder Chopra,Radha Vembu,Shanti Ekambaram,Roshni Nadar,Shanti Ekambaram
119,"As per the June 2025 MPC meeting, what is the current Policy Repo Rate set by RBI?",6.00%,5.75%,5.50%,5.25%,5.00%,5.50%
120,What is the primary objective of the Assam-Meghalaya joint project on the Kulsi River?,To promote tourism between the states,To generate 55 MW hydropower and provide irrigation benefits,To build a new highway connecting Assam and Meghalaya,To conserve the Gangetic river dolphin habitat only,To develop urban infrastructure in Guwahati,To generate 55 MW hydropower and provide irrigation benefits
121,"The DHRUVA initiative, launched by the Department of Posts, aims to develop which type of infrastructure?",National Digital Health Mission,Address-based Delivery Mechanism,Digital Address Digital Public Infrastructure,Geospatial Mapping Framework,Unified Communication Protocol,Digital Address Digital Public Infrastructure
122,"Who will be appointed as the new Chairman of TVS Motor Company from August 25, 2025?",Venu Srinivasan,Sir Ralf Speth,Sudarshan Venu,Vikram Kirloskar,Pawan Goenka,Sudarshan Venu
123,"Under the new agreement, where will the Rafale fighter fuselage production facility be set up?",Bengaluru,Pune,Hyderabad,Chennai,Nagpur,Hyderabad
124,Which two wetlands were recently added to India’s Ramsar list on the eve of World Environment Day 2025?,Chilika & Loktak,Sultanpur & Bhitarkanika,Khichan & Menar,Harike & Sur Sarovar,Keoladeo & Sambar,Khichan & Menar
125,Who has been appointed as the President of the 80th session of the United Nations General Assembly (UNGA)?,Angela Merkel,Ursula von der Leyen,Philemon Yang,Olaf Scholz,Annalena Baerbock,Annalena Baerbock
126,Which city recently became Madhya Pradesh’s first to get a metro rail service with the inauguration of the Super Priority Corridor?,Bhopal,Indore,Gwalior,Jabalpur,Ujjain,Indore
127,What is the purpose of the Ayush Nivesh Saarthi Portal launched by the Government of India?,Traditional Food Promotion,Voter Turnout Management,Investment in Traditional Medicine,Climate Change Mitigation,Tourism Development,Investment in Traditional Medicine
128,How many youth have been trained under PMKVY as of April 2025?,73 lakh,1.26 crore,1.63 crore,2.05 crore,26 lakh,1.63 crore
129,What is the name of the new app introduced by the Election Commission to update voter turnout data?,ECI Portal,ECI VOTE App,ECINET App,VoteTrack App,E-Vote App,ECINET App
130,Where will the Indian Institute of Corporate Affairs (IICA) establish its first regional campus?,"Guwahati, Assam","New Shillong, Meghalaya","Itanagar, Arunachal Pradesh","Kohima, Nagaland","Imphal, Manipur","New Shillong, Meghalaya"
131,What was the name of the yacht used in the first all-women Tri-Services international sailing expedition to Seychelles?,INS Kalvari,Samudra Shakti,Triveni,Varuna,Shakti Sena,Triveni
132,Who is the first woman officer from the Indian Navy to be appointed as Aide- de-Camp (ADC) to the President of India?,Lt Cdr Yashasvi Solanki,Lt Cdr Priyanka Singh,Capt Omita,Sqn Ldr Vaishali,Maj Karamjeet,Lt Cdr Yashasvi Solanki
133,Karnataka government has raised the legal age for puchasing tobacco products and banned hookah bars and public smoking. What is the new legal age for buying tobacco in Karnataka?,18 years,19 years,20 years,21 years,25 years,21 years
134,Amul recently launched its fresh milk products in which two cities of Spain?,Valencia and Malaga,Seville and Cordoba,Madrid and Barcelona,Lisbon and Valencia,Rome and Berlin,Madrid and Barcelona
135,Which statement is true regarding the Chenab Rail Bridge inaugurated in 2024?,It is 100 meters higher than the Eiffel Tower,It is the world’s longest sea bridge,It is the highest railway arch bridge in the world,It is located in Gujarat,It was built without steel,It is the highest railway arch bridge in the world
136,What is the name of the urban development initiative launched by the Odisha Government’s Housing & Urban Development Department in Bhubaneswar?,UDAYA,O-SMART,ANKUR,SAMPADA,NIRMAN,ANKUR
137,Which two countries were jointly elected to lead the United Nations Human Settlements Programme (UN-Habitat) Assembly for the 2025–2029 term?,Malaysia and UAE,Mexico and Kenya,India and Brazil,Nigeria and Germany,France and Egypt,Malaysia and UAE
138,Who has recently been appointed as the Chairman of the Economic Advisory Council to the Prime Minister (EAC-PM)?,Suman Bery,Bibek Debroy,Raghuram Rajan,S Mahendra Dev,Arvind Subramanian,S Mahendra Dev
139,Which of the following countries was elected as a non-permanent member of the UN Security Council for 2026–27?,Algeria,Colombia,South Korea,Guyana,Slovenia,Colombia
140,Where was the International Conference on Glaciers’ Preservation held in 2025?,"Geneva, Switzerland","Kathmandu, Nepal","Dushanbe, Tajikistan","Thimphu, Bhutan","New Delhi, India","Dushanbe, Tajikistan"
141,"Renowned Kannada poet and playwright Hodigere Shanbhog Venkatesha Murthy, who recently passed away, was a recipient of which of the following awards?",Sahitya Akademi Translation Prize,Karnataka Sahitya Academy Award,Sahitya Akademi Bal Puraskar,Filmfare Best Lyricist Award,All of the above,All of the above
142,Which public sector bank recently announced the removal of Average Monthly Balance (AMB) requirements for all savings bank accounts?,State Bank of India,Punjab National Bank,Bank of Baroda,Canara Bank,Union Bank of India,Canara Bank
143,Which company plans to launch a UPI-based payment app for feature phones using GSPay technology?,Google Pay,Paytm,BharatPe,PhonePe,Amazon Pay,PhonePe
