Q#,question,option1,option2,option3,option4,option5,answer
12,What is the estimated value of India’s pharma exports to the UK in FY24?,$500 million,$750 million,$1.1 billion,$914 million,$1.5 billion,$914 million
13,What is the name of U.S. President Donald Trump’s proposed missile defense plan inspired by Israel’s Iron Dome?,Steel Wall,Golden Dome,Eagle Shield,Sky Protector,Thunder Shield,Golden Dome
14,NLC India Renewables Ltd (NIRL) has signed a Joint Venture Agreement with which organization to develop renewable energy projects in Maharashtra?,SECI,NTPC Green Energy,MAHAPREIT,IREDA,MSEDCL,MAHAPREIT
15,Which satellite-based internet provider has been onboarded by UIDAI to use Aadhaar Authentication for customer verification?,OneWeb,Starlink Satellite Communication Pvt Ltd,HughesNet,Viasat,BSNL Satellite,Starlink Satellite Communication Pvt Ltd
16,Why did IRDAI impose a Rs.1 crore penalty on Acko General Insurance?,Delay in claim settlements,Non-compliance with investment norms,Violation of outsourcing and commission payment regulations,False advertising,Misuse of customer data,Violation of outsourcing and commission payment regulations
17,"In February 2025, what is the total penalty imposed by SEBI on three foreign portfolio investors, Nexpact Ltd, AIRD Investment Commercial LLC, and Aviator Global Investment Fund?",Rs 20 lakh,Rs 30 lakh,Rs 40 lakh,Rs 50 lakh,Rs 60 lakh,Rs 50 lakh
18,What is the core principle behind Maglev (Magnetic Levitation) technology recently tested by China?,Use of jet propulsion for high-speed trains,Electromagnetic levitation to reduce friction,Solar-powered tracks for transportation,Magnetic brakes for emergency stopping,Pneumatic propulsion in vacuum tubes,Electromagnetic levitation to reduce friction
19,What is the purpose of the newly launched ‘Niveshak Shivir’ initiative by SEBI and the Ministry of Corporate Affairs?,To increase FDI in India,To promote digital banking,To assist investors in reclaiming unclaimed dividends and shares,To regulate stock market investments,To monitor insider trading,To assist investors in reclaiming unclaimed dividends and shares
20,"What is the main objective of the Hong Kong Convention (HKC), which came into force on June 26, 2025?",Regulate global maritime trade routes,Ensure safety of oil tankers in international waters,Promote digital navigation systems in cargo ships,Ensure safe and eco-friendly recycling of ships,Monitor piracy threats in shipping lanes,Ensure safe and eco-friendly recycling of ships
21,Which edtech company has launched the Aryabhata 1.0 AI model specifically for JEE Main Maths preparation?,PhysicsWallah,Unacademy,BYJU’S,Vedantu,Khan Academy,PhysicsWallah
22,Under which initiative has the Union Government approved the establishment of PM Ekta Malls in 27 states?,Digital India,Make in India,Smart Cities Mission,"One District, One Product (ODOP)",Start-up India,"One District, One Product (ODOP)"
23,Which youth football team achieved a historic European treble in 2025?,Bengaluru Football Club,Minerva Academy Football Club,Kerala Blasters Youth,Mohun Bagan Academy,FC Pune City Youth,Minerva Academy Football Club
24,Which country’s drone named 'Songar' is reportedly used by Pakistan against India?,China,Russia,Turkey,Iran,USA,Russia
25,Who has been appointed as the Independent President of the World Anti- Doping Agency (WADA) for the term 2026–2028?,Yang Yang,Witold Banka,Thomas Bach,Sebastian Coe,Sun Yang,Witold Banka
26,Which team won the 134th edition of the Durand Cup 2025?,Diamond Harbour FC,North East United FC,Mohun Bagan,East Bengal,Chennaiyin FC,North East United FC
27,Which bank Launches ‘Global Women NRE & NRO Savings Account’ for Women NRIs ?,HDFC Bank,Karnataka Bank,Bank of baroda,Canara Bank,Bank of Maharashtra,Bank of baroda
28,Who organized the Digital Payments Awards 2024–25 to recognize excellence in India’s digital payments ecosystem?,Reserve Bank of India,Ministry of Electronics and IT,NITI Aayog,"Department of Financial Services, Ministry of Finance",National Payments Corporation of India,"Department of Financial Services, Ministry of Finance"
29,SBI Payments is a joint venture between the State Bank of India and which other entity?,Visa,Hitachi Payment Services,Mastercard,Amazon Pay,BharatPe,Hitachi Payment Services
30,What is the primary objective of the 'Benevolence Fund' established by the All India Football Federation (AIFF)?,To sponsor international football events,To provide medical and financial assistance to retired football community members,To reward best performing teams annually,To fund AIFF infrastructure projects,To train new referees and coaches,To provide medical and financial assistance to retired football community members
31,Which initiative launched by Prime Minister Narendra Modi is envisaged as the world’s largest Tribal Leadership Movement?,Adi Karmayogi Abhiyan,Van Dhan Yojana,Tribal Health Initiative,Eklavya Leadership Programme,Janjatiya Gaurav Abhiyan,Adi Karmayogi Abhiyan
32,"Which state inaugurated India’s first fully integrated disaster warning system KaWaCHaM (Kerala Warnings, a Crisis and Hazard Management System) ?",Kerala,Tamil Nadu,Odisha,Andhra Pradesh,Telangana,Kerala
33,"As per SBI Research’s latest Ecowrap report, what is the estimated GDP growth of India in Q1 (April–June) of FY26?",6.8%–7.0%,6.5%,6.3%,7.2%,7.5%,6.8%–7.0%
34,Who launched the official website of Bima Sugam India Federation (BSIF)?,Prasun Sikdar,Ajay Seth,Tapan Singhel,Rakesh Joshi,Nirmala Sitharaman,Ajay Seth
35,What is the name of the first indigenously designed and built Diving Support Vessel delivered to the Indian Navy?,Samudra,Varun,Nistar,Rakshak,Prithvi,Nistar
36,Which Indian athlete won the Paris Diamond League 2025 javelin event with a throw of 88.16 metres?,Neeraj Chopra,DP Manu,Kishore Jena,Rohit Yadav,Shivpal Singh,Neeraj Chopra
37,Where were the Global Tiger Day 2025 celebrations held and what major initiatives were announced by the Environment Minister?,Jim Corbett National Park,Sundarbans Tiger Reserve,Kanha National Park,"National Zoological Park, Delhi",Ranthambore Tiger Reserve,"National Zoological Park, Delhi"
38,"Who visited India as the UK’s Secretary of State for Foreign, Commonwealth and Development Affairs in 2025?",James Cleverly,Keir Starmer,David Lammy,Rishi Sunak,Boris Johnson,David Lammy
39,From which factory was the first ‘Make in India’ diesel locomotive for export flagged off by Prime Minister Narendra Modi?,Chittaranjan Locomotive Works,Marhowrah Diesel Locomotive Factory,Varanasi Diesel Engine Factory,Dankuni Electric Engine Unit,Patiala Rail Coach Factory,Marhowrah Diesel Locomotive Factory
40,Which US-made bomb is designed to destroy deeply buried nuclear sites and can only be deployed by the B-2 Spirit stealth bomber?,GBU-43/B MOAB,GBU-12 Paveway II,GBU-57A/B Massive Ordnance Penetrator,AGM-114 Hellfire,None of the above,GBU-57A/B Massive Ordnance Penetrator
41,How many days’ wages have been approved by the Union Cabinet as Productivity Linked Bonus (PLB) for railway employees in 2025?,60 days,70 days,75 days,78 days,80 days,78 days
42,What is the title of the new biography authored by Abhishek Choudhary that explores Atal Bihari Vajpayee's political journey from 1977 to 2018?,Vajpayee: The Ascent of the Hindu Right (1924–1977),Believer’s Dilemma: Vajpayee and the Hindu Right’s Path to Power (1977–2018),The Political Life of Vajpayee,Vajpayee and the Rise of BJP,Leader of the Hindu Right: The Story of Vajpayee,Believer’s Dilemma: Vajpayee and the Hindu Right’s Path to Power (1977–2018)
43,Which organization has recently signed an MoU with Avanti Fellows to provide IIT-JEE and NEET coaching to tribal students of Eklavya Model Residential Schools (EMRSs)?,NCERT,NITI Aayog,CBSE,NIOS,NESTS,NESTS
44,At which event did MCPO Omkar Singh win India’s first medal in the 2025 World Military Shooting Championship?,25m Center Fire Pistol,10m Air Pistol,50m Rifle Prone,Skeet Shooting,Rapid Fire Pistol,25m Center Fire Pistol
45,What is the objective of NASA’s recently launched TRACERS mission?,Study asteroid impacts on Earth,Monitor Mars' atmosphere,Explore the Moon’s polar regions,Study Earth’s magnetic defense against space storms,Detect exoplanets beyond the solar system,Study Earth’s magnetic defense against space storms
46,What is the name of the new multi-state milk co-operative launched in Gujarat to source milk from 20 States and 2 UTs?,Amul Dairy Federation Ltd,National Milk Federation Ltd,Sardar Patel Co-operative Dairy Federation Ltd,Kisan Milk Union of India,Bharat Milk Co-operative Federation,Sardar Patel Co-operative Dairy Federation Ltd
47,Which company has received a special exemption from investment guidelines to boost renewable energy capacity development?,NTPC Limited,NLC India Limited,ONGC,Power Grid Corporation,GAIL India,NLC India Limited
48,What year has the United Nations General Assembly (UNGA) declared as the International Year of the Woman Farmer (IYWF)?,2024,2025,2026,2027,2028,2026
49,Indian Coast Guard Day is observed annually on which day ?,30 January,31 January,1 February,2 February,3 February,1 February
50,"India’s largest and most technologically advanced sports complex, the Veer Savarkar Sports Complex, was inaugurated in which city?",Mumbai,New Delhi,Bengaluru,Pune,Ahmedabad,Ahmedabad
51,What is the name of the newly inaugurated centre by DRDO to boost India’s indigenous quantum capabilities?,Quantum Innovation Lab,Quantum Computing Centre,Quantum Defence Unit,Quantum Technology Research Centre (QTRC),Centre for Advanced Quantum Studies,Quantum Technology Research Centre (QTRC)
52,Where was the 16th Asian Shooting Championship held?,"Tokyo, Japan","Shymkent, Kazakhstan","Seoul, South Korea","Bangkok, Thailand","New Delhi, India","Shymkent, Kazakhstan"
53,Where has the Union Cabinet approved a new semiconductor unit in India under the India Semiconductor Mission?,Bengaluru,Pune,Hyderabad,"Near Jewar Airport, Uttar Pradesh",Gandhinagar,"Near Jewar Airport, Uttar Pradesh"
54,Where was the 24th Divya Kala Mela inaugurated?,Srinagar,"Gulshan Ground, Jammu",Leh,New Delhi,Chandigarh,"Gulshan Ground, Jammu"
55,What is the proposed daily penalty for banks delaying settlement of safe deposit locker/article claims as per RBI’s draft circular?,"₹2,000 per day","₹3,000 per day","₹5,000 per day","₹10,000 per day","₹7,500 per day","₹5,000 per day"
56,What is the main objective of the “Saksham Niveshak” campaign launched by IEPFA in July 2025?,Promoting investment in mutual funds,Attracting foreign portfolio investors,Creating awareness about unclaimed dividends and assisting shareholders in reclaiming them,Promoting digital currency among investors,Funding start-ups through equity investments,Creating awareness about unclaimed dividends and assisting shareholders in reclaiming them
57,Which company became the first ground handling company in India to receive safety clearance from DGCA?,Air India Limited,SATS Limited,Air India SATS Airport Services Private Limited (AISATS),IndiGo Ground Services,SpiceJet Cargo,Air India SATS Airport Services Private Limited (AISATS)
58,Martin Guptill announced his retirement from international cricket at the age of 38. He is from which country?,England,New Zealand,Australia,South Africa,Ireland,New Zealand
59,"What is the primary objective of the Bills of Lading Bill, 2025 passed by the Indian Parliament?",Increase customs duties on shipping goods,Introduce subsidies for Indian shipping companies,"Replace the colonial-era Indian Lading Act, 1856 with a simplified legal framework",Establish a new ministry for maritime affairs,Mandate only digital bills of lading,"Replace the colonial-era Indian Lading Act, 1856 with a simplified legal framework"
60,Which year has India declared as the ‘Year of Reforms’ in the defence sector?,2024,2025,2026,2027,2030,2025
61,"What was India’s annual defence production in FY 2024–25, marking an all- time high?","₹ 1,50,590 crore","₹1,27,000 crore","₹ 1,25,000 crore","₹1,45,800 crore","₹1,40,500 crore","₹ 1,50,590 crore"
62,Which animal has Bannerghatta Biological Park exported for the first time in its history?,Tigers,Cheetahs,Asian Elephants,Jaguars,Gorillas,Asian Elephants
63,Where will India establish its first Artificial Intelligence-focused Special Economic Zone (SEZ)?,"Bengaluru, Karnataka","Hyderabad, Telangana","Pune, Maharashtra","Nava Raipur, Chhattisgarh","Indore, Madhya Pradesh","Nava Raipur, Chhattisgarh"
64,What recent change has the National Tiger Conservation Authority (NTCA) made regarding tiger corridors?,Expanded the definition to include all forest areas,Restricted the definition to the 32 “least cost pathways” from its 2014 report,Declared all tiger habitats as protected zones,Allowed unrestricted industrial development in tiger corridors,Merged tiger corridors with national highways planning,Restricted the definition to the 32 “least cost pathways” from its 2014 report
65,Which Singapore-based firm has NPCI International Payments Limited (NIPL) partnered with to enable UPI payments in Singapore?,PayNow,Razorpay,HitPay,Grappay,FinPay,HitPay
66,What is the new renewal fee for imported four-wheeler vehicles older than 20 years?,"₹20,000","₹50,000","₹80,000","₹1,00,000","₹1,50,000","₹80,000"
67,Karnataka Bank recently celebrated which milestone Founders' Day?,50th,65th,75th,90th,101th,101th
68,Which public sector enterprise has secured the Rs 288 crore contract to implement the Kavach anti-collision system?,Hindustan Aeronautics Limited,Bharat Heavy Electricals Limited,Indian Railways Finance Corporation,RailTel Corporation of India Limited,Bharat Electronics Limited,RailTel Corporation of India Limited
69,What was the total GST collection reported for July 2025?,Rs.1.83-lakh crore,Rs.1.89-lakh crore,Rs.1.96-lakh crore,Rs.2.01-lakh crore,Rs.1.76-lakh crore,Rs.1.96-lakh crore
70,Who is the youngest Indian to complete the Seven Summits challenge?,Kamya Karthikeyan,Jordon Romero,Arjun Vajpai,Vishwanath Karthikey Padakanti,Krushnaa Patil,Vishwanath Karthikey Padakanti
71,"Njattyela Sreedharan, who recently passed away, was best known for his work in which field?",Classical Dance,Linguistics,Ayurveda,Carnatic Music,Archaeology,Linguistics
72,Where is the headquarters of the International Organization for Marine Aids to Navigation (IALA) located?,"Saint-Germain-en-Laye, France",Singapore,"Geneva, Switzerland","New York, USA","Tokyo, Japan","Saint-Germain-en-Laye, France"
73,Which organization has invested USD 137 million to promote electric public transport in India through companies JBM Ecolife and GreenCell Mobility?,Asian Development Bank (ADB),World Bank,International Finance Corporation (IFC),NITI Aayog,Reserve Bank of India (RBI),International Finance Corporation (IFC)
74,Which ministry organized the Dr. Ambedkar National Merit Awards Ceremony 2025 to honor high-achieving SC and ST students?,Ministry of Education,Ministry of Tribal Affairs,Ministry of Social Justice and Empowerment,Ministry of Skill Development,Ministry of Women and Child Development,Ministry of Social Justice and Empowerment
75,What is the main objective of the 30-member Regulatory Review Cell set up by the RBI in August 2025?,Launching new banking products,Implementing monetary policy changes,Eliminating outdated and irrelevant regulations,Promoting digital currency adoption,Enhancing RBI’s overseas presence,Eliminating outdated and irrelevant regulations
76,"What was the percentage growth in UPI QR codes as of March 31, 2025?",65%,78.3%,84%,91.5%,100%,91.5%
77,Which Indian organization signed an MoU with Expo City Dubai to enhance international urban cooperation?,Confederation of Indian Industry (CII),NITI Aayog,Federation of Indian Chambers of Commerce and Industry (FICCI),Ministry of Urban Development,Indian Green Building Council (IGBC),Federation of Indian Chambers of Commerce and Industry (FICCI)
78,On which date is the International Day of Women and Girls in Science celebrated annually?,10 February,11 February,12 February,13 February,14 February,11 February
79,"As of July 25, 2025, which milestone has Prime Minister Narendra Modi achieved?",Longest-serving Prime Minister of India,First Prime Minister to serve five terms,India’s second-longest-serving Prime Minister in consecutive terms,First Prime Minister from the Armed Forces,First PM to serve without contesting elections,India’s second-longest-serving Prime Minister in consecutive terms
80,Which department has signed an MoU with Kyndryl Solutions Pvt Ltd to accelerate innovation and scale India’s startup ecosystem ?,Department of Higher Education,Department of Official Language,Department of Fertilizers,Department for Promotion of Industry and Internal Trade,Department of Consumer Affairs,Department for Promotion of Industry and Internal Trade
81,Which organization is responsible for administering the ADB Frontier Seed (Pacific) technical assistance program?,World Bank,IMF,Asian Development Bank,United Nations,WTO,Asian Development Bank
82,Which two countries participated in the 1st Joint Working Group (JWG) meeting on Agriculture?,India and Brazil,India and Argentina,India and Chile,India and Peru,India and Mexico,India and Chile
83,What is the name of the scheme launched by SEBI in 2025 to aid the settlement of violations related to the winding-up provisions of migrated Venture Capital Funds (VCFs)?,VCF Resolution Scheme 2025,Venture Capital Closure Scheme,Venture Capital Fund Settlement Scheme 2025,SEBI Fund Liquidation Plan,Alternative Investment Regularisation Scheme,Venture Capital Fund Settlement Scheme 2025
84,The RBI’s draft norms for the closure of shipping bills in EDPMS allow relaxed procedures for bills of what maximum value per shipping bill?,Rs.5 lakh,Rs.10 lakh,Rs.15 lakh,Rs.20 lakh,Rs.25 lakh,Rs.10 lakh
85,International Customs Day is observed annually on which day ?,22 January,23 January,24 January,25 January,26 January,26 January
86,What is the name of India’s first privately-developed orbital launch vehicle whose stage-1 booster was successfully static tested by Skyroot Aerospace?,PSLV-C57,Vikram-1,Gaganyaan,SSLV-D2,None of these,Vikram-1
87,Where was the Inland Waterways Development Council (IWDC) meeting held?,Guwahati,New Delhi,Kaziranga,Kolkata,Varanasi,Kaziranga
88,What are the names of the two genome-edited rice varieties recently unveiled by India?,IR-64 and Swarna,Sona Masoori and Rasi Hybrid,Basmati Gold and Shakti,Pusa Basmati 1 and MT-9,Kamala and Pusa DST Rice 1,Kamala and Pusa DST Rice 1
89,Which branch of the Indian Armed Forces does Shubhanshu Shukla belong to?,Indian Army,Indian Navy,Indian Air Force,Indian Space Resource Organisation (ISRO),Defence Research and Development Organisation (DRDO),Indian Air Force
90,Madhya Pradesh recently started a cheetah mating programme at which wildlife sanctuary to create a second viable home for cheetahs?,Kanha National Park,Gandhi Sagar Wildlife Sanctuary,Bandhavgarh National Park,Pench National Park,Kuno National Park,Gandhi Sagar Wildlife Sanctuary
91,"Which two countries recently conducted the ""Aras-2025"" joint special forces exercise to boost border security?",India and Iran,Iran and Armenia,Azerbaijan and Turkey,Iran and Azerbaijan,Russia and Iran,Iran and Azerbaijan
92,What is the name of the first malaria drug approved specifically for newborns and infants weighing 2–5 kg?,Malarivon,Novababy,Coartem Baby,Infalaria,Artemsafe,Coartem Baby
93,What is the theme of World Elephant Day 2025?,"Save Elephants, Save Nature",Bringing the world together to help elephants,Protecting Elephant Corridors,Elephants and Ecosystem Balance,Global Call for Elephant Conservation,Bringing the world together to help elephants
94,"Which organization has signed a Rs.2,906 crore contract with the Ministry of Defence for the procurement of Low-level Transportable Radar (LLTR)?",Hindustan Aeronautics Limited,Bharat Heavy Electricals Limited,Indian Railways Finance Corporation,RailTel Corporation of India Limited,Bharat Electronics Limited,Bharat Electronics Limited
95,"Which Bank in partnership with RuPay, a global card payment network from India, has launched the UPI enabled RuPay Credit Card called – FIRST EARN ?",HDFC Bank,IDFC First Bank,South Indian Bank,RBL Bank,Yes Bank,IDFC First Bank
96,Which district ranked 1st in the North Eastern Region (NER) SDG Index 2023- 24?,Champhai (Mizoram),Gomati (Tripura),Mokokchung (Nagaland),Hnahthial (Mizoram),Gangtok (Sikkim),Hnahthial (Mizoram)
97,What is the title of the recently released book documenting Girish Karnad’s cinematic journey?,Karnad Chronicles,Kaleidoscope of Cinema,Karnad Kaleidoscope,Karnad Reflections,Glimpses of Karnad,Karnad Kaleidoscope
98,Which North Eastern state became the first to sign an MoU with Bhashini for Multilingual Governance?,Assam,Meghalaya,Tripura,Manipur,Arunachal Pradesh,Tripura
99,Which Indian organization has partnered with UAE-based Magnati to advance QR-based UPI payments in the Middle East?,Reserve Bank of India (RBI),State Bank of India (SBI),NPCI International Payments Limited (NIPL),Paytm,HDFC Bank,NPCI International Payments Limited (NIPL)
100,The flagship initiative Mega Tinkering Day 2025 of Atal Innovation Mission recently entered the India Book of Records and Asia Book of Records for what achievement?,Launch of maximum number of startups in a single day,Maximum number of students participating in a tinkering activity in a single day,Largest innovation summit in India,Maximum number of Atal Tinkering Labs inaugurated in one year,First international collaboration under AIM,Maximum number of students participating in a tinkering activity in a single day
101,Who is the head of the panel formed to review the rates under RoDTEP and RoSCTL export schemes?,Ajay Seth,Neeraj Kumar Gupta,T. V. Somanathan,Sanjay Malhotra,Ramesh Abhishek,Neeraj Kumar Gupta
102,Which Indian city was awarded the title ‘Creative City of Gastronomy’ under the UNESCO Creative Cities Network in 2025?,Hyderabad,Varanasi,Jaipur,Lucknow,Chennai,Lucknow
103,What is observed on November 3 as per international environmental observances?,World Wildlife Day,International Day for Biosphere Reserves,World Environment Day,International Biodiversity Day,Global Green Day,International Day for Biosphere Reserves
104,"Which US President was conferred with South Korea’s highest civilian honour, the Grand Order of Mugunghwa, and presented with a replica of a Silla- Dynasty gold crown?",Joe Biden,Barack Obama,Donald Trump,George W. Bush,Bill Clinton,Donald Trump
105,What import duty has India imposed on yellow peas effective from 1 November 2025?,10%,20%,25%,30%,35%,30%
106,What is the name of Russia’s nuclear-powered unmanned underwater vehicle (UUV) recently tested and termed a ‘super weapon’?,Sarmat,Kanyon,Borei,Status-6,Poseidon,Poseidon
107,International Women’s Day (IWD) is celebrated globally on which day every year ?,6 March,7 March,8 March,9 March,10 March,8 March
108,What is the name of the transaction banking platform launched by Federal Bank?,FinnAxia,FedOne,SmartBank,FedPay,E-Banking,FedOne
109,What is the name of the counter-terrorism network recently revamped and inaugurated by Union Home Minister Amit Shah?,MAC (Multi Agency Centre),CCTNS,NATGRID,IBIN,I4C,MAC (Multi Agency Centre)
110,"What marks the beginning of Rath Yatra festivities in Puri, Odisha?",Anavasara,Nabakalebara,Deva Snana Purnima,Chandan Yatra,Netrotsava,Deva Snana Purnima
111,"How much dividend per share has SBI declared for FY25, the highest in the last 12 years?",Rs.10.50,Rs.12.00,Rs.20.00,Rs.18.20,Rs.15.90,Rs.15.90
112,"The Aapda Mitra programme, under MY Bharat, is a unique initiative that provides structured disaster response training to young volunteers. Who trains these volunteers?",National Disaster Management Authority (NDMA),National Disaster Response Force (NDRF),Indian Red Cross Society,State Governments,Indian Army,National Disaster Management Authority (NDMA)
113,Which two organizations have signed a Non-Disclosure Agreement (NDA) to transform inward remittances to India using UPI and UPU Interconnection Platform?,RBI and NPCI,India Post and World Bank,Department of Posts and NPCI International,Ministry of Finance and SWIFT,NPCI and Reserve Bank Innovation Hub,Department of Posts and NPCI International
114,Who is known as “NASABlueberry” and is one of the strongest aspirants for NASA’s first human mission to Mars in the 2030s?,Christina Koch,Jessica Watkins,Alyssa Carson,Peggy Whitson,Sunita Williams,Alyssa Carson
115,Who inaugurated the 22nd edition of the Bharat Telecom event held in New Delhi?,Ashwini Vaishnaw,Rajeev Chandrasekhar,Jyotiraditya Scindia,Devusinh Chauhan,Nirmala Sitharaman,Jyotiraditya Scindia
116,"Who officially launched the ""Handloom Hackathon 2025"" to revolutionize India's handloom sector?",Ministry of Culture,NITI Aayog,Ministry of Skill Development,Development Commissioner (Handlooms),Textile Research Institute,Development Commissioner (Handlooms)
