question,option1,option2,option3,option4,option5,answer
Which two regulators are collaborating to introduce bond derivatives in India?,RBI and IRDAI,SEBI and RBI,NABARD and SEBI,SIDBI and RBI,PFRDA and SEBI,SEBI and RBI
Which authority facilitated the first export consignment of fortified rice kernel from Chhattisgarh to Costa Rica?,Food Corporation of India (FCI),Agricultural and Processed Food Products Export Development Authority (APEDA),Ministry of Agriculture,FSSAI,NABARD,Agricultural and Processed Food Products Export Development Authority (APEDA)
"As per the latest amendment to the National Highways Fee (Determination of Rates and Collection) Rules, 2008, how much will vehicles be charged if they pay toll fees via UPI without a valid FASTag?",Equal to applicable user fee,1.25 times the applicable user fee,1.5 times the applicable user fee,2 times the applicable user fee,3 times the applicable user fee,1.25 times the applicable user fee
"Which bank launched 'M' Circle, a women-focused banking proposition offering discounts on locker rentals and preferential loan rates?",AU Small Finance Bank,HDFC Bank,ICICI Bank,Axis Bank,Kotak Mahindra Bank,AU Small Finance Bank
"What is “IndQA”, recently launched by OpenAI?",An AI tool for real-time translation,An AI benchmark to evaluate understanding of Indian culture and life,A chatbot for Indian government services,A platform for developing Indian language datasets,A multilingual voice assistant,An AI benchmark to evaluate understanding of Indian culture and life
The Government of India has revised guidelines to allow candidates from which sector to apply for top leadership roles like Managing Director (MD) in SBI and Executive Director (ED) in Public Sector Banks (PSBs)?,Defence Sector,Private Sector,Cooperative Sector,Public Enterprises,Non-Banking Financial Companies (NBFC) Sector,Private Sector
When was the Pradhan Mantri Schools for Rising India (PM-SHRI) scheme launched?,"August 15, 2022","September 7, 2022","January 26, 2023","October 2, 2022","November 14, 2022","September 7, 2022"
Who has joined the board of the Fintech Association for Consumer Empowerment (FACE) as an Independent Director?,M. Rajeshwar Rao,T. Rabi Sankar,Manoranjan Mishra,Shaktikanta Das,Sugandh Saxena,Manoranjan Mishra
Who represented India at the Closing Ceremony of MONDIACULT 2025 in Barcelona?,G. Kishan Reddy,Smriti Irani,Prahlad Singh Patel,Arjun Munda,Amita Prasad Sarbhai,Amita Prasad Sarbhai
Which organization signed an MoU with the Indian Army Purchase Organization to enable real-time verification of UDINs?,Institute of Company Secretaries of India (ICSI),Reserve Bank of India (RBI),Securities and Exchange Board of India (SEBI),Institute of Chartered Accountants of India (ICAI),Ministry of Finance,Institute of Chartered Accountants of India (ICAI)
Where is the 30th edition of the UN Climate Change Conference (COP30) being held?,"Paris, France","Dubai, UAE","Belem, Brazil","New York, USA","Glasgow, UK","Belem, Brazil"
The Reserve Bank of India has launched the 71st round of which quarterly survey for the reference period July – September 2025?,Industrial Outlook Survey (IOS),Consumer Confidence Survey (CCS),"Order Books, Inventories and Capacity Utilisation Survey (OBICUS)",Inflation Expectations Survey (IES),Services Sector Utilisation Survey,"Order Books, Inventories and Capacity Utilisation Survey (OBICUS)"
What was the name of the DRI operation under which 10.488 kg of foreign- origin gold was seized at Mumbai Airport?,Operation Golden Sweep,Operation Gold Dust,Operation Yellow Shine,Operation Bullion Net,Operation Aurum,Operation Golden Sweep
"Who became the fastest Indian to reach 1,000 T20I runs, surpassing Suryakumar Yadav’s record?",Shubman Gill,Ruturaj Gaikwad,Abhishek Sharma,Ishan Kishan,Sanju Samson,Abhishek Sharma
What financial assistance enhancements were approved by Raksha Mantri Rajnath Singh for Ex-Servicemen (ESM) and their dependents?,Only Penury Grant doubled,Only Marriage Grant increased,Only Education Grant increased,"Penury Grant, Education Grant, and Marriage Grant increased",No changes approved,"Penury Grant, Education Grant, and Marriage Grant increased"
"Under Ayushman Bharat–PM-JAY, what percentage of total hospital admissions were women as per NHA Annual Report 2024–25?",35%,42%,49%,55%,60%,49%
NPCI International Payments Ltd (NIPL) has signed an MoU with which company for UPI acceptance in Japan?,Sony Japan,NTT DATA Japan,Rakuten Payments,SoftBank Pay,Mitsubishi Finance,NTT DATA Japan
Which company is constructing the 12.9 km ropeway from Sonprayag to Kedarnath to reduce travel time from nine hours to 36 minutes?,Larsen & Toubro,Reliance Infrastructure,Adani Enterprises Ltd,Tata Projects,GMR Group,Adani Enterprises Ltd
What initiative did the Ministry of Health and Family Welfare launch to strengthen public health management of chemical emergencies?,Launch of AI-based Health Surveillance System,Training modules on Public Health Management of Chemical Emergencies,National Chemical Safety Policy,Mobile Emergency Response Units,Chemical Waste Management Program,Training modules on Public Health Management of Chemical Emergencies
What is the objective of the ‘District Collectors’ Peyjal Samvad’ organised by DDWS under Jal Jeevan Mission?,Promote rural tourism,Strengthen local governance and accountability in water services,Launch new water supply infrastructure,Train school teachers in water conservation,Conduct river cleaning drives,Strengthen local governance and accountability in water services
What is the total estimated cost for the newly approved 57 Kendriya Vidyalayas (KVs) to be established across India from 2026-27?,"Rs 4,500 crore","Rs 5,862.55 crore","Rs 6,200 crore","Rs 7,000 crore","Rs 3,800 crore","Rs 5,862.55 crore"
"According to the Global Carbon Project, India’s carbon emissions are expected to rise by how much in 2025?",0.8%,1.1%,1.4%,2.2%,4%,1.4%
Where will the NaMo Semiconductor Laboratory be established?,IIT Delhi,IIT Bombay,IIT Bhubaneswar,IIT Hyderabad,IISc Bengaluru,IIT Bhubaneswar
ICAI has signed an MoU with which organisation for real-time verification of UDIN?,CAG,"Army Purchase Organisation (APO), DGST, Indian Army",Ministry of Finance,RBI,MCA,"Army Purchase Organisation (APO), DGST, Indian Army"
Which organization launched India’s first AI-integrated Integrated Command & Control Centre (ICCC) for a pilgrimage ecosystem?,Shri Mata Vaishno Devi Shrine Board,Tirumala Tirupati Devasthanams (TTD),Kashi Vishwanath Temple Trust,Jagannath Temple Administration,Somnath Temple Trust,Tirumala Tirupati Devasthanams (TTD)
"As per RBI’s new draft ECB framework, what is the maximum amount firms can raise without prior approval?",$500 million,$750 million,$1 billion or 300% of net worth (whichever is higher),$2 billion,$50 million,$1 billion or 300% of net worth (whichever is higher)
Which district has become India’s first to be declared free of child marriages under the ‘Child Marriage-Free India’ campaign?,Raipur,Balod,Bilaspur,Durg,Kanker,Balod
Which innovative feature did Bajaj Finserv AMC recently launch to link mutual fund investments with daily payments?,Invest & Spend Wallet,Pay with Mutual Fund,Instant Fund Transfer,Mutual Fund Cashback,UPI Redemption Link,Pay with Mutual Fund
"India recently designated two new Ramsar Sites in Bihar. With this, how many Ramsar Sites does India now have?",91,92,93,94,95,93
"According to RBI, which digital currency should be promoted over stablecoins for cross-border payments?",Bitcoin,Ethereum,CBDC (Central Bank Digital Currency),e-RUPI,Libra,CBDC (Central Bank Digital Currency)
Which organization has introduced new guidelines to provide relief to financially stressed borrowers by easing loan repayment rules?,SEBI,Ministry of Finance,NABARD,Reserve Bank of India (RBI),NITI Aayog,Reserve Bank of India (RBI)
Who was awarded the INTERPOL Medal of the Highest Order at the Middle East International Border Management and Technology Conference?,General Shaikh Rashid bin Abdullah Al Khalifa,Major General Dr. Ahmed Nasser Al Raisi,Sheikh Salman bin Hamad,Khalifa bin Zayed Al Nahyan,Abdullah bin Abdulaziz,General Shaikh Rashid bin Abdullah Al Khalifa
"According to the RBI’s Payment Systems Report, how did credit and debit card transactions in India change between 2019 and 2024?",Both credit and debit card transactions increased,"Credit card transactions increased, debit card transactions decreased","Credit card transactions decreased, debit card transactions increased",Both credit and debit card transactions decreased,No significant change in either,"Credit card transactions increased, debit card transactions decreased"
What is commemorated on October 15 as World Students’ Day 2025?,Birth anniversary of Mahatma Gandhi,Birth anniversary of Dr. A.P.J. Abdul Kalam,National Education Day,International Youth Day,Teachers’ Day,Birth anniversary of Dr. A.P.J. Abdul Kalam
Which companies have introduced a dual loan financing program to make electric vehicles more affordable in India?,Tata Motors and HDFC Bank,JSW MG Motor India and Axis Bank,Mahindra Electric and ICICI Bank,Hyundai Motor India and SBI,Maruti Suzuki and Punjab National Bank,JSW MG Motor India and Axis Bank
What initiative has NHAI announced to improve road maintenance and asset management on National Highways?,Deployment of Automated Toll Booths,Installation of Smart Traffic Lights,Deployment of Network Survey Vehicles (NSVs),Launch of Highway Patrol Drones,Construction of Additional Service Lanes,Deployment of Network Survey Vehicles (NSVs)
Which fighter jet’s first LCA Tejas Mk1A was unveiled by Union Defence Minister Rajnath Singh at HAL Nashik?,Sukhoi Su-30,MiG-29,Dassault Rafale,HAL Tejas Mk1A,HAL Tejas Mk2,HAL Tejas Mk1A
"Which mascot has been unveiled for the 4th South Asian Athletics (SAAF) Senior Championships in Ranchi, Jharkhand?",Jharkhand Tiger,Tribal Spirit,Morabadi Eagle,Birsa Runner,Dalma,Dalma
Which pioneering Indian space scientist and key architect of India’s early space programme recently passed away?,Dr. Vikram Sarabhai,Dr. A.P.J. Abdul Kalam,Dr. Eknath Vasant Chitnis,Dr. Satish Dhawan,Dr. U.R. Rao,Dr. Eknath Vasant Chitnis
"Which Indian weightlifter won the silver medal in the women’s 48 kg category at the 2025 World Weightlifting Championships held in Førde, Norway?",Saikhom Mirabai Chanu,Karnam Malleswari,P. Gururaja,Monika Devi,Sanjita Chanu,Saikhom Mirabai Chanu
"Who has been appointed as the new Deputy Governor of the Reserve Bank of India (RBI) effective from October 9, 2025?",Rajeshwar Rao,Poonam Gupta,Swaminathan Janakiraman,T. Rabi Sankar,Shirish Chandhra Murmu,Shirish Chandhra Murmu
Which conservation reserve in India was officially recognized by IUCN during the 2025 World Conservation Congress?,Sundarbans Mangrove Reserve,Palk Bay Dugong Conservation Reserve,Kaziranga Rhino Reserve,Great Nicobar Biosphere Reserve,Rann of Kutch Flamingo Reserve,Palk Bay Dugong Conservation Reserve
"The Central Consumer Protection Authority (CCPA) recently imposed a penalty of ₹2,00,000 on which company for false and misleading price representations?",Amazon,Flipkart,FirstCry (Digital Age Retail Pvt. Ltd.),Snapdeal,Myntra,FirstCry (Digital Age Retail Pvt. Ltd.)
Which former Union Minister and senior Congress leader recently passed away?,Dr. Yogendra Makwana,P. Chidambaram,Manmohan Singh,Pranab Mukherjee,Ahmed Patel,Dr. Yogendra Makwana
Where did Union Home Minister Amit Shah inaugurate the expanded capacity of the Dr. Vitthalrao Vikhe Patil Cooperative Sugar Factory?,Pune,Mumbai,Nagpur,Ahilyanagar,Nashik,Ahilyanagar
Which Indian Olympic Gold medalist has been appointed as a torchbearer for the Milano Cortina 2026 Winter Olympics?,Neeraj Chopra,P.V. Sindhu,Sushil Kumar,Abhinav Bindra,Mary Kom,Abhinav Bindra
Which investment options have been extended to Central Government employees under NPS and UPS?,"LC25, LC50, LC75","Default option, Scheme G",BLC (Balanced Life Cycle),All of the above,None of the above,All of the above
Which public sector bank became the second PSB to be approved as a Trading-Cum-Clearing Member (TCM) on the India International Bullion Exchange (IIBX)?,Punjab National Bank,Indian Bank,Canara Bank,Union Bank of India,Bank of Baroda,Bank of Baroda
"Which two countries signed agreements to develop new high-voltage cross-border power transmission lines, and what is the target completion year?",India and Bhutan,India and Nepal,India and Bangladesh,India and Sri Lanka,India and Myanmar,India and Nepal
RBI recently recognised SRPA as the SRO for which sector?,Microfinance Sector,NBFC Sector,Fintech Sector,Payment System Operators Sector,Banking Sector,Payment System Operators Sector
When is World Migratory Bird Day (WMBD) observed in 2025?,1st January,2nd April,25th December,15th August,2nd Saturday of May and October,2nd Saturday of May and October
What event did Rajesh Agrawal inaugurate on International Coffee Day 2025 in Bengaluru?,Coffee Experience Zone and Expo,Coffee Science Conference,National Coffee Awards Ceremony,Coffee Plantation Workshop,International Coffee Festival,Coffee Experience Zone and Expo
Which programme did ICAR launch in its 2nd edition as a Brazil-India Cross- Incubation initiative?,AgriStart,MAITRI,FarmInnovate,AgroBridge,CropConnect,MAITRI
By how much has RBI recently raised the limits for IPO financing and loans against shares?,₹10 Lakh to ₹20 Lakh,₹10 Lakh to ₹25 Lakh and ₹20 Lakh to ₹50 Lakh,₹10 Lakh to ₹25 Lakh and ₹20 Lakh to ₹1 Crore,₹5 Lakh to ₹15 Lakh,₹5 Lakh to ₹35 Lakh,₹10 Lakh to ₹25 Lakh and ₹20 Lakh to ₹1 Crore
Which country has announced it will adopt India’s DAY-NRLM scheme to combat rural poverty?,Kenya,Nepal,Bangladesh,Sri Lanka,Ethiopia,Ethiopia
Which popular Assamese singer passed away on 19 September 2025 in Singapore during a scuba diving accident?,Bhupen Hazarika,Zubeen Garg,Angaraag Mahanta,Papon,Jayanta Hazarika,Zubeen Garg
"RBI imposed a monetary penalty of ₹4.20 lakh on which NBFC for non- compliance with KYC Directions, 2016?",Bajaj Finance Ltd,HDB Financial Services Ltd,Tata Capital Financial Services,Muthoot Finance,Shriram Finance,HDB Financial Services Ltd
Who won the top prize at the Big Cat Conservation Awards 2025 organised by MoEFCC and IBCA?,Abhijit Chattopadhyay,Rajarshi Banerji,Narayan Malu,Anil Kumar,Vivek Menon,Rajarshi Banerji
Who was appointed as the Chairman of the Advertising Standards Council of India (ASCI) during its 39th AGM?,Partha Sinha,Sudhanshu Vats,Rakesh Kapoor,Nitin Paranjpe,Amitabh Kant,Sudhanshu Vats
Where was the 6th edition of the Vietnam-India Bilateral Army Exercise (VINBAX) held?,"Ambala, Haryana","Jabalpur, Madhya Pradesh","Ho Chi Minh City, Vietnam","New Delhi, India","Hanoi, Vietnam","Hanoi, Vietnam"
Which new entity is being established to strengthen real-time fraud detection and risk management in India’s banking system?,Indian Banking Fraud Authority,Indian Digital Payment Intelligence Corporation,National Financial Risk Bureau,Fraud Monitoring & Analytics Centre,Digital Banking Security Agency,Indian Digital Payment Intelligence Corporation
What major small-arms procurement did the Indian Army recently finalise?,Induction of Close Quarter Battle (CQB) carbines from 2026,Purchase of 7.62×51mm battle rifles only,Procurement of main battle tanks,Contract for advanced naval guns,Purchase cancelled due to budget constraints,Induction of Close Quarter Battle (CQB) carbines from 2026
What proposal has the SEBI working group headed by R.S. Gandhi recently made regarding clearing corporations?,Decrease transaction charges,Merge clearing corporations,Abolish transaction charges,Keep broker charges higher,Increase transaction charges,Increase transaction charges
Who won the Irani Cup 2025 by defeating Rest of India?,Mumbai,Saurashtra,Vidarbha,Karnataka,Rest of India,Vidarbha
Which country won the FIFA U-20 World Cup 2025 by defeating Argentina in the final?,Argentina,Brazil,Ghana,Morocco,Spain,Morocco
Which organisation has provided a USD 190 million loan for the Indore Metro Rail Project?,World Bank,International Monetary Fund (IMF),New Development Bank (NDB),Japan International Cooperation Agency (JICA),Asian Development Bank (ADB),Asian Development Bank (ADB)
What is the total outlay of the newly launched “Kapas Kranti Mission” aimed at boosting long-staple cotton cultivation?,₹400 crore,₹500 crore,₹800 crore,₹700 crore,₹600 crore,₹600 crore
Where was India’s first cooperative multi-feed Compressed Biogas (CBG) plant inaugurated?,"Pune, Maharashtra","Kopargaon, Ahilyanagar district, Maharashtra","Varanasi, Uttar Pradesh","Rajkot, Gujarat","Nashik, Maharashtra","Kopargaon, Ahilyanagar district, Maharashtra"
What new feature did NPCI unveil at the Global Fintech Festival 2025 for UPI transactions?,UPI transactions via cryptocurrency,"On-device biometric authentication, UPI Lite for smart glasses, Aadhaar-based face authentication, and Multi-Signatory UPI",UPI only through debit cards,UPI PIN removal for all transactions,QR code payments disabled,"On-device biometric authentication, UPI Lite for smart glasses, Aadhaar-based face authentication, and Multi-Signatory UPI"
Which company has partnered with NPCI to launch India’s first wearable payments ecosystem?,PhonePe,Paytm,Muse Wearables,Pine Labs,Razorpay,Muse Wearables
Which Indian heritage site was rated ‘Good’ by IUCN in the 4th edition of its World Heritage Outlook?,Jim Corbett National Park,Sundarbans National Park,Khangchendzonga National Park,Kaziranga National Park,Valley of Flowers,Khangchendzonga National Park
Which city has become the first in India to get its drinking water supply powered by solar energy funded through green bonds?,Surat,Indore,Bhopal,Pune,Ahmedabad,Indore
What is the main objective of RBI’s proposal to reduce risk weights for NBFCs’ infrastructure loans?,To increase tax benefits for NBFCs,To reduce cost of infrastructure financing and promote long-term lending,To stop NBFCs from giving infra loans,To merge NBFCs with banks,To raise deposit insurance limit,To reduce cost of infrastructure financing and promote long-term lending
What is the name of the tourism initiative launched by the Government of India to transform 50 domestic destinations into world-class attractions by 2029?,Incredible India 2.0,Tourism Boost Vision 2029,Explore India Initiative,India Heritage Trail,Destination India 2029,Tourism Boost Vision 2029
Which company has partnered with Airbus to set up India’s first private- sector Final Assembly Line (FAL) for helicopters?,Hindustan Aeronautics Limited (HAL),Reliance Defence,Mahindra Aerospace,Tata Advanced Systems Limited (TASL),L&T Defence,Tata Advanced Systems Limited (TASL)
What is the purpose of the ‘Shraddhanjali’ scheme launched by Assam CM Himanta Biswa Sarma?,To provide free education to children in Assam,To ensure dignified return of mortal remains of Assamese residents dying outside the state,To promote tourism in Assam,To provide health insurance to low-income families,To support farmers with crop insurance,To ensure dignified return of mortal remains of Assamese residents dying outside the state
What is the name of the bilateral maritime exercise initiated by the Indian Navy and the Royal Navy of the UK off India’s western coast?,MALABAR,KONKAN,INDRA,SAGAR,VARUNA,KONKAN
Who was awarded the Chevalier de l’Ordre national du Mérite (Knight of the National Order of Merit) in New Delhi?,Mukesh Ambani,Sunil Kant Munjal,Ratan Tata,Anand Mahindra,Aditya Puri,Sunil Kant Munjal
"The Reserve Bank of India (RBI) has imposed a monetary penalty of ₹31.80 lakh on which bank for non-compliance with its directions under the Credit Card and Debit Card - Issuance and Conduct Directions, 2022?",Citibank N.A.,HSBC Bank,American Express Banking Corp.,Standard Chartered Bank,Deutsche Bank,American Express Banking Corp.
Which organization launched the AI-powered digital assistant ‘UPI Help’ to simplify grievance redressal and transaction tracking?,Reserve Bank of India (RBI),Paytm,State Bank of India (SBI),ICICI Bank,National Payments Corporation of India (NPCI),National Payments Corporation of India (NPCI)
What is observed on October 21 in India to honor police personnel who sacrificed their lives in the line of duty?,National Security Day,Police Commemoration Day,Martyrs’ Day,Armed Forces Flag Day,National Police Day,Police Commemoration Day
"What is the theme of World Food Day 2025, observed on October 16?",Food for All,Sustainable Food Systems for a Healthy Planet,Ending Hunger by 2030,Nutritious Diets for Everyone,Agriculture and Climate Action,Sustainable Food Systems for a Healthy Planet
"Which digital platform was inaugurated by Union Minister Ashwini Vaishnaw to p r o v i d e industry-oriented programs in AI, Cyber Security, Data Science, and Semiconductors?",Digital India University,CyberTech Learning Platform,Indian Tech University,AI & Data Science Academy,NIELIT Digital University (NDU),NIELIT Digital University (NDU)
Who won the 2025 Young Champion of the Earth Award for converting banana stems into sustainable Banofi leather?,Joseph Nguthiru,Noemi Florea,Jinali Mody,Vandana Shiva,Ratan Tata,Jinali Mody
Which initiative was launched by IndiaAI under MeitY in 2025 to promote AI- based facial verification for public examinations?,ExamSecure Challenge,Face Authentication Challenge,AI Exam Guard,BioVerify Exam Initiative,Digital Exam Integrity Program,Face Authentication Challenge
The NATO Summit 2026 will be hosted by which country?,Netherlands,Turkiye,Albania,UK,Denmark,Turkiye
Which country will host the G20 Summit in 2026?,India,USA,France,South Africa,Brazil,USA
Which of the following is a member of EFTA?,Russia,Norway,Armenia,Kazakhstan,Georgia,Norway
Which country hosted the G7 Summit in 2025?,Germany,Italy,Canada,japan,France,Canada
The G20 Troika for 2025 includes which countries?,Germany-Brazil-India,Brazil-South Africa-USA,Italy-Japan-France,India-Russia-USA,China-Japan-Brazil,Brazil-South Africa-USA
Which of the following is NOT a member of the Eurasian Economic Union (EAEU)?,Kazakhstan,Belarus,Kyrgyzstan,Russia,Thailand,Thailand
Which country will host the ASEAN Summit in 2025?,Malaysia,Vietnam,laos,Philippines,Brunei,Malaysia
MERCOSUR group does NOT include which country?,Argentina,Uruguay,Paraguay,Brazil,Belarus,Belarus
ASEAN Summit 2027 will be hosted by which country?,Malaysia,Singapore,Philippines,Thailand,Indonesia,Singapore
Which country will host the SCO Summit in 2025?,Russia,India,China,Uzbekistan,Kazakhstan,China
BRICS Summit 2025 will be hosted by which country?,India,China,Brazil,Russia,South Africa,Brazil
Which country will host the SCO Summit in 2026?,China,Krygystan,Russia,Pakistan,Uzbekistan,Krygystan
Which company has become the world’s first $5 trillion company due to the AI boom?,Apple,Microsoft,Nvidia,Alphabet,Amazon,Nvidia
What is the theme for Vigilance Awareness Week 2025 observed in India?,Vigilance: Our Shared Responsibility,Ethics and Integrity,Transparency in Governance,Combating Corruption,Accountability Matters,Vigilance: Our Shared Responsibility
"Which bank in India has become the first to act as a UPI-ICD Acquirer, allowing UPI-based interoperable cash deposits?",State Bank of India,Union Bank of India,TJSB Sahakari Bank,HDFC Bank,ICICI Bank,TJSB Sahakari Bank
"According to the Confederation of All India Traders (CAIT) national survey, what was the total value of goods sold during the 2025 Navratri-to-Diwali festive period?",₹4.25 lakh crore,₹4.40 lakh crore,₹6.05 lakh crore,₹4.75 lakh crore,₹5.40 lakh crore,₹4.40 lakh crore
Which state government launched India’s first “Women’s Wellness on Wheels” (WWW) initiative to enhance women’s health through mobile medical units?,Kerala,Andhra Pradesh,Karnataka,Maharashtra,Tamil Nadu,Tamil Nadu
"Gopichand Parmanand Hinduja, who recently passed away, was the Chairman of which business group?",Tata Group,Adani Group,Hinduja Group,Mahindra Group,Reliance Industries,Hinduja Group
Who were the winners of the 2025 Nobel Prize in Physiology or Medicine for their discoveries concerning peripheral immune tolerance?,"Shimon Sakaguchi, Mary E. Brunkow, Fred Ramsdell","Tasuku Honjo, James Allison","Jennifer Doudna, Emmanuelle Charpentier","Robert Shiller, Joseph Stiglitz","Svante Pääbo, Katalin Karikó","Shimon Sakaguchi, Mary E. Brunkow, Fred Ramsdell"
"What is the theme of World Teachers’ Day 2025, celebrated globally on 5th October?",Valuing Teachers,Recasting Teaching as a Collaborative Profession,Teachers for Sustainable Development,Digital Teaching and Learning,Celebrating Educators,Recasting Teaching as a Collaborative Profession
The Government of India has allowed candidates from which sector to apply for top management roles in public sector banks including SBI?,Defence Sector,Education Sector,Private Sector,Cooperative Sector,Agriculture Sector,Private Sector
Which company won the ‘Digital Insurer of the Year’ award for the third time at the 29th Asia Insurance Industry Awards (AIIA) 2025?,ICICI Lombard,Bajaj Allianz General Insurance,Tata AIG General Insurance,HDFC ERGO General Insurance,Go Digit General Insurance Limited,Go Digit General Insurance Limited
"What is SAKSHAM, recently initiated by the Indian Army, and what is its purpose?","A high-end, modular Command and Control (C2) System for countering unmanned aerial threats",A new indigenous tank for frontline operations,An advanced missile defense system,A satellite-based communication system,A cyber-security platform for the Indian Army,"A high-end, modular Command and Control (C2) System for countering unmanned aerial threats"
By how much did unclaimed money in mutual funds increase in 2024–25 compared to 2023–24?,21%,15%,10%,25%,30%,21%
Who has been appointed as the new head coach of the Royal Challengers Bengaluru (RCB) women’s team for WPL 2026?,Luke Williams,Malolan Rangarajan,Mithali Raj,Smriti Mandhana,Jhulan Goswami,Malolan Rangarajan
"Which initiative is Telecom Centres of Excellence India implementing in collaboration with partners across Madhya Pradesh, Uttar Pradesh, and Andhra Pradesh to provide integrated digital and physical services in villages?",Digital India Mission,Samriddh Gram Phygital Services Pilot,e-Village Project,BharatNet Connect,Rural Digital Hubs,Samriddh Gram Phygital Services Pilot
Why has the Department of Posts temporarily suspended booking of most postal items to the USA from 25th August 2025?,Due to closure of postal services in the USA,Due to Executive Order removing duty-free exemption for goods above USD 800,Due to strike by postal workers in India,Due to weather disruptions affecting flights,Due to increase in postal rates,Due to Executive Order removing duty-free exemption for goods above USD 800
"At the 2025 World Boxing Championships in Liverpool, which Indian boxer won the women’s 57kg featherweight gold medal?",Mary Kom,Nikhat Zareen,Lovlina Borgohain,Jaismine Lamboria,Nitu Ghanghas,Jaismine Lamboria
How much worth of G-Secs did FPIs sell in Q1 FY26 under the Fully Accessible Route (FAR)?,"Rs.15,000 crore","Rs.25,544 crore","Rs.20,000 crore","Rs.12,650 crore","Rs.30,000 crore","Rs.25,544 crore"
What is the name of the day being commemorated on 25th June 2025 to mark 50 years since the Emergency in India?,Constitution Day,National Democracy Day,Samvidhan Hatya Diwas,Emergency Remembrance Day,Bharat Swatantrata Diwas,Samvidhan Hatya Diwas
NIBE Limited recently secured a major export order from which country for Universal Rocket Launchers?,France,Israel,Germany,South Korea,USA,Israel
Who has been conferred the Chintha Raveendran Award for 2025?,Bhalchandra Nemade,Sarankumar Limbale,Shanta Gokhale,Laxman Gaikwad,Namdeo Dhasal,Sarankumar Limbale
"The Signal Star Naval Flare system, recently handed over to the Indian Navy, has been developed by which organization?",Bharat Electronics Limited (BEL),Hindustan Aeronautics Limited (HAL),Indian Space Research Organisation (ISRO),Defence Research and Development Organisation (DRDO),Mazagon Dock Shipbuilders Limited (MDL),Defence Research and Development Organisation (DRDO)
Which state government has launched ‘New Programme for Removal of Unused Drugs’ (nPROUD) ?,Kerala,Tamil Nadu,Odisha,Andhra Pradesh,Telangana,Kerala
"What was India’s Consumer Price Index (CPI) inflation rate in June 2025, marking a 6-year low?",2.10%,1.97%,2.82%,2.05%,3.00%,2.10%
