question,option1,option2,option3,option4,option5,answer
Which exercise was recently completed successfully by the Election Commission of India in Bihar?,Special Intensive Revision (SIR) of electoral rolls,Voter Awareness Campaign,Electoral Photo Verification Drive,Digital Voting Implementation,By-Election Preparatory Exercise,Special Intensive Revision (SIR) of electoral rolls
Which public sector bank became the second PSB to be approved as a Trading-Cum-Clearing Member (TCM) on the India International Bullion Exchange (IIBX)?,Punjab National Bank,Indian Bank,Canara Bank,Union Bank of India,Bank of Baroda,Bank of Baroda
Which institute signed an MoU with iDG10 Solutions Private Limited to establish India’s first industry-anchored long-term collaboration in subsea pipeline design technology?,IIT Madras,IIT Delhi,IIT Ropar,IIT Kharagpur,IIT Bombay,IIT Ropar
Which government received the People First Integration Award at the National Workshop and Conference on DigiLocker 2025?,Government of Kerala,Government of Himachal Pradesh,Government of Maharashtra,Government of Tamil Nadu,Government of Gujarat,Government of Himachal Pradesh
What is Samudra Shakti 2025 and where was it held?,"A bilateral naval exercise between India and Indonesia, held at Visakhapatnam","A multilateral air force exercise, held in New Delhi","A coastal security drill by Indian Coast Guard, held in Chennai","An international army exercise, held in Rajasthan","A UN peacekeeping exercise, held in Mumbai","A bilateral naval exercise between India and Indonesia, held at Visakhapatnam"
Which organization signed an MoU with the Indian Army Purchase Organization to enable real-time verification of UDINs?,Institute of Company Secretaries of India (ICSI),Reserve Bank of India (RBI),Securities and Exchange Board of India (SEBI),Institute of Chartered Accountants of India (ICAI),Ministry of Finance,Institute of Chartered Accountants of India (ICAI)
Which organization partnered with Google India to provide real-time highway information through the API Setu platform?,Ministry of Road Transport & Highways,Indian Railways,Border Roads Organisation (BRO),Ministry of Electronics & IT,National Highways Authority of India (NHAI),National Highways Authority of India (NHAI)
Which bank launched the annual employee excellence award titled ‘SBI STAR’?,State Bank of India (SBI),HDFC Bank,ICICI Bank,Punjab National Bank (PNB),Axis Bank,State Bank of India (SBI)
"During his visit to Bhutan, Prime Minister Modi inaugurated which India- funded hydroelectric project and announced a $455 million line of credit?",Tala Hydroelectric Project,Punatsangchhu-I Hydroelectric Project,Chukha Hydroelectric Project,Punatsangchhu-II Hydroelectric Project,Mangdechhu Hydroelectric Project,Punatsangchhu-II Hydroelectric Project
India will celebrate 100 years of Indian Hockey in 2025. Where will the centenary celebration be held?,"Kalinga Stadium, Bhubaneswar","Major Dhyan Chand National Stadium, New Delhi","Sardar Vallabhbhai Patel Stadium, Gujarat","Chhatrasal Stadium, Delhi","Indira Gandhi Indoor Stadium, Delhi","Major Dhyan Chand National Stadium, New Delhi"
What measure has the Reserve Bank of India (RBI) proposed to boost long-term lending by NBFCs for high-quality infrastructure projects?,Increasing interest rates on NBFC loans,Lowering risk weights on high-quality infrastructure projects,Mandating higher collateral for project loans,Limiting NBFC exposure to infrastructure sector,Introducing tax incentives for NBFCs,Lowering risk weights on high-quality infrastructure projects
Which company received in-principle approval from the Reserve Bank of India to issue Prepaid Payment Instruments?,Paytm Payments Bank,Junio Payments Private Limited,PhonePe,MobiKwik,Razorpay,Junio Payments Private Limited
ICAI has signed an MoU with which organisation for real-time verification of UDIN?,CAG,"Army Purchase Organisation (APO), DGST, Indian Army",Ministry of Finance,RBI,MCA,"Army Purchase Organisation (APO), DGST, Indian Army"
What import duty has India imposed on yellow peas effective from 1 November 2025?,10%,20%,25%,30%,35%,30%
By how much is India planning to expand its rare earth magnet manufacturing incentive scheme?,"Over ₹7,000 crore / $788 million","₹1,000 crore / $120 million","₹5,000 crore / $600 million","₹3,500 crore / $400 million","₹10,000 crore / $1,200 million","Over ₹7,000 crore / $788 million"
"Which country has become the first in the world to implement a generational smoking ban prohibiting anyone born after January 1, 2007, from buying, using, or selling tobacco products?",New Zealand,United Kingdom,Maldives,Australia,Singapore,Maldives
The historic cultural festival ‘Kartik Naach’ is celebrated in which country?,India,Nepal,Sri Lanka,Bhutan,Myanmar,Nepal
Which Indian cricketer became the first capped Indian male player to sign with a Big Bash League (BBL) team?,Ravichandran Ashwin,Virat Kohli,Rohit Sharma,Rishabh Pant,Shikhar Dhawan,Ravichandran Ashwin
Who addressed a special session of the Uttarakhand Assembly to mark the state’s Silver Jubilee?,Narendra Modi,Yogi Adityanath,Droupadi Murmu,Ram Nath Kovind,Rajnath Singh,Droupadi Murmu
Which new feature has the Reserve Bank of India (RBI) launched to enable digital rupee payments without Internet or telecom connectivity?, e ₹ Connect,e ₹ Smart Pay,Offline Digital Rupee,UPI Lite+,BharatPay e ₹,Offline Digital Rupee
"According to the Reserve Bank of India (RBI), what percentage of total payment transaction volume in India was conducted through digital modes in the first half of 2025?",96.7%,97.7%,99.8%,95.5%,98.6%,99.8%
"Where will the tri-service exercise ‘Cold Start 1’, aimed at testing drones and counter-drone technologies, be conducted?",Rajasthan,Gujarat,Madhya Pradesh,Punjab,Haryana,Madhya Pradesh
What is commemorated on October 15 as World Students’ Day 2025?,Birth anniversary of Mahatma Gandhi,Birth anniversary of Dr. A.P.J. Abdul Kalam,National Education Day,International Youth Day,Teachers’ Day,Birth anniversary of Dr. A.P.J. Abdul Kalam
"What is the name of India’s first UPI platform exclusively for women, launched by Lxme?",Lxmepay,ShePay,WomenPay,FemmePay,LadyUPI,Lxmepay
Which institute has signed an MoU with the Ministry of Minority Affairs for a skilling project under the PM VIKAS scheme?,IIT Madras,IIT Delhi,IIT Palakkad,IIT Bombay,IIT Kanpur,IIT Palakkad
"Who has been appointed as the Brand Ambassador for the Viksit Bharat Buildathon, a nationwide innovation initiative by the Ministry of Education (MoE)?",Group Captain Shubansh Sukla,Rakesh Sharma,Sunita Williams,Kalpana Chawla,Dr. K. Sivan,Group Captain Shubansh Sukla
What is the purpose of the ‘Shraddhanjali’ scheme launched by Assam CM Himanta Biswa Sarma?,To provide free education to children in Assam,To ensure dignified return of mortal remains of Assamese residents dying outside the state,To promote tourism in Assam,To provide health insurance to low-income families,To support farmers with crop insurance,To ensure dignified return of mortal remains of Assamese residents dying outside the state
Who unveiled the pilot version of the India–United Kingdom Science and Technology Partnership (IN-UK-STP) Dashboard?,Prof. Ajay Kumar Sood and Dr. David Warren Smith,Ramesh Pokhriyal and Boris Johnson,Dr. K. VijayRaghavan and Dominic Raab,Prof. Ashutosh Sharma and Jeremy Hunt,Nirmala Sitharaman and Liz Truss,Prof. Ajay Kumar Sood and Dr. David Warren Smith
"By 2030, how much green energy capacity does ONGC aim to acquire?",1–1.5 GW,5–6 GW,2.5–3 GW,7–8 GW,10 GW,2.5–3 GW
Where was the 2nd World Summit for Social Development (WSSD-2025) hosted?,"Copenhagen, Denmark","New York, USA","Doha, Qatar","Geneva, Switzerland","London, UK","Doha, Qatar"
What is ‘Ola Shakti’ recently launched by Ola Electric?,A new electric scooter,A residential Battery Energy Storage System (BESS),A solar-powered charging station,A lithium mining project,An EV software platform,A residential Battery Energy Storage System (BESS)
What is the name of the scheme launched by UIDAI to foster innovation and collaboration in the digital identity domain?,DigiTech India,Innovation with Aadhaar (IWA),Digital Identity Innovation Program,Aadhaar Innovation Hub,Scheme for Innovation and Technology Association with Aadhaar (SITAA),Scheme for Innovation and Technology Association with Aadhaar (SITAA)
"As per SEBI’s latest reforms, what is the new minimum number of constituents required in the Nifty Bank index (BANKNIFTY)?",10,11,12,13,14,14
Which authority facilitated the first export consignment of fortified rice kernel from Chhattisgarh to Costa Rica?,Food Corporation of India (FCI),Agricultural and Processed Food Products Export Development Authority (APEDA),Ministry of Agriculture,FSSAI,NABARD,Agricultural and Processed Food Products Export Development Authority (APEDA)
The Institute of Chartered Accountants of India (ICAI) has collaborated with which ministry to support India’s national Artificial Intelligence Mission?,Ministry of Finance,Ministry of Electronics and Information Technology,Ministry of Corporate Affairs,Ministry of Commerce and Industry,NITI Aayog,Ministry of Electronics and Information Technology
What was the total receipt of the Government of India up to August 2025?,"₹12,82,709 crore","₹10,50,000 crore","₹14,00,000 crore","₹11,75,000 crore","₹13,50,000 crore","₹12,82,709 crore"
Which companies plan to establish India’s largest AI hub and data center campus in Visakhapatnam?,"Infosys, TCS, and Wipro","Google LLC, Adani Enterprises, and Bharti Airtel","Microsoft, Reliance, and HCL","Amazon, L&T, and Tech Mahindra","IBM, Tata Power, and Jio","Google LLC, Adani Enterprises, and Bharti Airtel"
Which actor earned an International Emmy Award nomination for Best Actor in 2025 for the biopic “Amar Singh Chamkila”?,Shahid Kapoor,Ranveer Singh,Varun Dhawan,Ayushmann Khurrana,Diljit Dosanjh,Diljit Dosanjh
Which organization released the ‘Indian Radio Software Architecture (IRSA) standard 1.0’ to enable interoperability in military communication?,Bharat Electronics Limited (BEL),Defense Research and Development Organization (DRDO),Indian Space Research Organisation (ISRO),Border Roads Organisation (BRO),Ministry of Defence (MoD),Defense Research and Development Organization (DRDO)
Which country has recently become the newest State Member of the International Union for Conservation of Nature (IUCN)?,Kazakhstan,Georgia,Azerbaijan,Armenia,Uzbekistan,Armenia
"Which ministry launched the public awareness film on the People’s Plan Campaign – Sabki Yojana, Sabka Vikas?",Ministry of Rural Development,Ministry of Panchayati Raj,Ministry of Information & Broadcasting,NITI Aayog,None of the Above,Ministry of Panchayati Raj
The Government of India has allowed candidates from which sector to apply for top management roles in public sector banks including SBI?,Defence Sector,Education Sector,Private Sector,Cooperative Sector,Agriculture Sector,Private Sector
Which Union Minister visited the India Meteorological Department to review the Web-GIS based Multi-Hazard Early Warning Decision Support System?,Dr. Harsh Vardhan,Dr. Jitendra Singh,Dr. Ashwini Kumar,Dr. S. Jaishankar,Dr. Ramesh Pokhriyal,Dr. Jitendra Singh
What is India’s rank in the WJP Rule of Law Index 2025?,76th,80th,86th,90th,70th,86th
Where was India’s first cooperative multi-feed Compressed Biogas (CBG) plant inaugurated?,"Pune, Maharashtra","Kopargaon, Ahilyanagar district, Maharashtra","Varanasi, Uttar Pradesh","Rajkot, Gujarat","Nashik, Maharashtra","Kopargaon, Ahilyanagar district, Maharashtra"
"According to RBI, which digital currency should be promoted over stablecoins for cross-border payments?",Bitcoin,Ethereum,CBDC (Central Bank Digital Currency),e-RUPI,Libra,CBDC (Central Bank Digital Currency)
"Under Ayushman Bharat–PM-JAY, what percentage of total hospital admissions were women as per NHA Annual Report 2024–25?",35%,42%,49%,55%,60%,49%
Which team won the 8th edition of the Laver Cup 2025?,Team Europe,Team World,Team USA,Team Asia,Team Australia,Team World
Who has been appointed as the first woman to lead the United Nations Tourism in its 50-year history?,Sheikha Nasser Al Nowais,Taleb Rifai,Zurab Pololikashvili,Gloria Guevara,Katherine Bennett,Sheikha Nasser Al Nowais
Where was the 31st edition of the Kolkata International Film Festival (KIFF) held?,Dhono Dhanyo Auditorium,Netaji Indoor Stadium,Rabindra Sadan,Nandan Film Centre,Science City Auditorium,Dhono Dhanyo Auditorium
Which country was recently hit by a very strong tropical storm named Typhoon Fung-wong?,Vietnam,Japan,Indonesia,Philippines,Thailand,Philippines
What is celebrated globally on 7th October as a day dedicated to cotton?,World Textile Day,World Cotton Day,International Fiber Day,Global Agriculture Day,Cotton Awareness Day,World Cotton Day
"What is the rate of interest on Government of India Floating Rate Bond 2034 (GOI FRB 2034) for the half-year October 30, 2025, to April 29, 2026?",6.25% per annum,6.54% per annum,6.75% per annum,6.99% per annum,7.25% per annum,6.54% per annum
What is observed on November 7 as a health awareness day in India?,World Diabetes Day,National Cancer Awareness Day,World Heart Day,National Mental Health Day,None of the Above,National Cancer Awareness Day
Which ministry is organizing the 29th Conference of Central and State Statistical Organizations (CoCSSO) in Chandigarh?,Ministry of Finance,Ministry of Statistics and Programme Implementation,Ministry of Home Affairs,Ministry of Planning,Ministry of Science and Technology,Ministry of Statistics and Programme Implementation
Where did Union Home Minister Amit Shah inaugurate the expanded capacity of the Dr. Vitthalrao Vikhe Patil Cooperative Sugar Factory?,Pune,Mumbai,Nagpur,Ahilyanagar,Nashik,Ahilyanagar
What is the total installed capacity of the Sawalkote Hydro Electric Project on the Chenab River?,"1,200 MW","1,500 MW","1,856 MW","2,000 MW","1,750 MW","1,856 MW"
Which company is constructing the 12.9 km ropeway from Sonprayag to Kedarnath to reduce travel time from nine hours to 36 minutes?,Larsen & Toubro,Reliance Infrastructure,Adani Enterprises Ltd,Tata Projects,GMR Group,Adani Enterprises Ltd
